taxid	length_gmean	width_gmean	volume_gmean	surface_gmean	length_amean	width_amean	volume_amean	surface_amean	shape	length_ranges	width_ranges	sources	species	genus	family	order	class	phylum	superkingdom
162	9.486832980505138	0.316227766016838	0.7368152963798779	9.424777960769381	16.5	0.35	1.5762613890152035	18.14269757448105	helical	['3.0', ' 30.0']	['0.2', ' 0.5']	['bm4']	Treponema phagedenis	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
163	10.954451150103326	0.2449489742783178	0.5123686993686074	8.429777677248872	11.0	0.25	0.5358706219013839	8.63937979737193	helical	['10.0', ' 12.0']	['0.2', ' 0.3']	['bm4']	Treponema bryantii	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
164	10.246950765959596	0.2898275349237887	0.6696530098270619	9.330054170132566	11.0	0.29	0.7201868156899462	10.02168056495144	helical	['7.0', ' 15.0']	['0.28', ' 0.3']	['bm4']	Treponema pectinovorum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
165	15.491933384829666	0.648074069840786	5.039021665938965	31.541339914940313	16.0	0.6499999999999999	5.237394927692407	32.67256359733384	helical	['12.0', ' 20.0']	['0.6', ' 0.7']	['bm4']	Treponema saccharophilum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
167	5.656854249492379	0.3	0.3927908809636758	5.331459525790038	6.0	0.3	0.4170464247640451	5.654866776461628	helical	['4.0', ' 8.0']	['0.3', ' 0.3']	['bm4']	Treponema succinifaciens	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
172	8.48528137423857	0.10000000000000002	0.06638144468457631	2.6657297628950194	9.0	0.1	0.0704240353179712	2.827433388230814	rod	['6.0', ' 12.0']	['0.1', ' 0.1']	['bm4']	Leptospira biflexa	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
173	10.360080256445404	0.10000000000000002	0.08110082979057733	3.2547152024249537	11.5	0.1	0.09005898940290741	3.612831551628262	rod	['8.0', ' 20.0', '6.0', ' 12.0']	['0.1', ' 0.1', '0.1', ' 0.1']	['pubmed', 'bm4']	Leptospira interrogans	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
174	8.48528137423857	0.10000000000000002	0.06638144468457631	2.6657297628950194	9.0	0.1	0.0704240353179712	2.827433388230814	rod	['6.0', ' 12.0']	['0.1', ' 0.1']	['bm4']	Leptospira borgpetersenii	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
183	16.522711641858308	0.1414213562373095	0.2587976670675301	7.34084736457229	17.0	0.15	0.2995312245657019	8.011061266653973	rod	['13.0', ' 21.0']	['0.1', ' 0.2']	['bm4']	Leptonema illini	Leptonema	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
195	0.316227766016838	0.316227766016838	0.016557647109660102	0.31415926535897937	0.35	0.35	0.022449297503777	0.3848451000647496	sphere/rod	['0.2', ' 0.5']	['0.2', ' 0.5']	['pubmed']	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
197	1.118033988749895	1.118033988749895	0.7317515344834091	3.9269908169872423	1.5	1.5	1.7671458676442586	7.0685834705770345	sphere/spiral	['0.5', ' 2.5']	['0.5', ' 2.5']	['pubmed']	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
198	1.7320508075688774	0.316227766016838	0.1277561287627363	1.7207211628636434	1.85	0.35	0.1667662100280581	2.034181243199391	rod-shaped	['1.2', ' 2.5']	['0.2', ' 0.5']	['bacdive']	Campylobacter hyointestinalis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
199	4.0	0.7071067811865476	1.4782362655832644	8.885765876316732	4.0	0.75	1.6566992509164924	9.42477796076938	spiral	['4.0', ' 4.0']	['0.5', ' 1.0']	['pubmed']	Campylobacter concisus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
204	3.162277660168379	0.6324555320336759	0.9272282381409692	6.283185307179585	3.5	0.65	1.0895108772496351	7.147123286916779	rod-shaped	['2.0', ' 5.0']	['0.5', ' 0.8']	['bacdive']	Campylobacter showae	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
210	3.5355339059327378	0.7071067811865476	1.2958408569628572	7.853981633974482	3.75	0.75	1.5462526341887264	8.835729338221293	rod-shaped	['2.5', ' 5.0']	['0.5', ' 1.0']	['bacdive']	Helicobacter pylori	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
287	7.415443344804141	0.6587867636800241	2.4527968357665784	15.347295621083548	7.805	0.6599999999999999	2.5949759522174163	16.183286236437098	rod-shaped	['5.37', ' 10.24']	['0.62', ' 0.7']	['bacdive']	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
294	2.23606797749979	0.5	0.4063259972151518	3.512407365520364	2.25	0.5	0.409061543436171	3.5342917352885173	rod	['2.0', ' 2.5']	['0.5', ' 0.5']	['pubmed']	Pseudomonas fluorescens	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
305	1.5	0.5	0.2617993877991494	2.356194490192345	1.5	0.5	0.2617993877991494	2.356194490192345	rod	['1.5', ' 1.5']	['0.5', ' 0.5']	['pubmed']	Ralstonia solanacearum	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
316	1.7320508075688774	0.5	0.3073624573190222	2.720699046351327	2.0	0.5	0.3599741582238304	3.141592653589793	rod	['1.0', ' 3.0']	['0.5', ' 0.5']	['pubmed']	Pseudomonas stutzeri	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
317	1.5	0.916515138991168	0.788049479951691	4.318975841337722	1.5	0.95	0.8387725135849998	4.476769531365456	rod	['1.5', ' 1.5']	['0.7', ' 1.2']	['pubmed']	Pseudomonas syringae	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
346	1.7320508075688772	0.6123724356957946	0.4500115479020364	3.3321622036187755	1.75	0.625	0.4729774095980726	3.436116964863836	rod	['1.5', ' 2.0']	['0.5', ' 0.75']	['pubmed']	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
347	1.1832159566199232	0.529150262212918	0.2214140388686074	1.9669481246914031	1.35	0.55	0.2771801018323495	2.332632545290422	rod	['0.7', ' 2.0']	['0.4', ' 0.7']	['pubmed']	Xanthomonas oryzae	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
384	1.43	0.84	0.6373034857072254	3.773681095492059	1.43	0.84	0.6373034857072254	3.773681095492059	rod	['1.43', ' 1.43']	['0.84', ' 0.84']	['pubmed']	Rhizobium leguminosarum	Rhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
436	2.449489742783178	0.1414213562373095	0.03773601441516279	1.0882796185405308	2.5	0.15	0.0432950737572843	1.1780972450961726	rod-shaped	['2.0', ' 3.0']	['0.1', ' 0.2']	['bacdive']	Komagataeibacter hansenii	Komagataeibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
446	1.55	0.7	0.5067127150852536	3.408628029144926	1.55	0.7	0.5067127150852536	3.408628029144926	ovoid-shaped	['1.55', ' 1.55']	['0.7', ' 0.7']	['bacdive']	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria
485	0.7745966692414834	0.7745966692414834	0.2433467205584167	1.884955592153876	0.8	0.8	0.268082573106329	2.010619298297468	sphere	['0.6', ' 1.0']	['0.6', ' 1.0']	['pubmed']	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
487	0.9486832980505138	0.9486832980505138	0.4470564719608244	2.827433388230814	1.05	1.05	0.6061310326019806	3.463605900582747	sphere	['0.6', ' 1.5']	['0.6', ' 1.5']	['pubmed']	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
520	0.8	0.4	0.0837758040957278	1.005309649148734	0.8	0.4	0.0837758040957278	1.005309649148734	rod	['0.8', ' 0.8']	['0.4', ' 0.4']	['pubmed']	Bordetella pertussis	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
521	1.414213562373095	0.447213595499958	0.1987280978044492	1.9869176531592203	1.5	0.45	0.2147082229187774	2.1205750411731104	rod-shaped	['1.0', ' 2.0']	['0.4', ' 0.5']	['bacdive']	Bordetella avium	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
536	1.75	0.4	0.20315632493213986	2.199114857512855	1.75	0.4	0.2031563249321399	2.199114857512855	rod-shaped	['1.75', ' 1.75']	['0.4', ' 0.4']	['bacdive']	Chromobacterium violaceum	Chromobacterium	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
550	7.372923436466706	0.6	2.028096321548927	13.897633262090288	9.35	0.6	2.587101550231195	17.624334786638737	rod	['3.6', ' 15.1']	['0.6', ' 0.6']	['pubmed']	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
562	2.85	0.65	0.8738209066266112	5.819800390775091	2.85	0.65	0.8738209066266112	5.819800390775092	rod-shaped	['2.85', ' 2.85']	['0.65', ' 0.65']	['bacdive']	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
573	2.0	0.5	0.3599741582238304	3.141592653589793	2.0	0.5	0.3599741582238304	3.141592653589793	rod	['2.0', ' 2.0']	['0.5', ' 0.5']	['pubmed']	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
615	1.3416407864998738	0.6324555320336759	0.35525829542380294	2.66572976289502	1.45	0.65	0.4092578929770203	2.96095107600838	rod	['0.9', ' 2.0']	['0.5', ' 0.8']	['pubmed']	Serratia marcescens	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
666	3.07408522978788	0.3794733192202055	0.3333650415760313	3.664772526228933	3.1	0.38	0.3372101778559188	3.700796145928776	rod	['2.7', ' 3.5']	['0.36', ' 0.4']	['pubmed']	Vibrio cholerae	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
670	1.833030277982336	0.6324555320336759	0.5096328570730556	3.6420802180984566	1.9	0.65	0.5585817187929603	3.8798669271833934	rod	['1.4', ' 2.4']	['0.5', ' 0.8']	['pubmed']	Vibrio parahaemolyticus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
672	3.0000000000000004	0.7	1.0647381101791404	6.5973445725385655	3.0	0.7	1.0647381101791404	6.5973445725385655	rod	['3.0', ' 3.0']	['0.7', ' 0.7']	['pubmed']	Vibrio vulnificus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
727	1.0	0.3	0.0636172512351933	0.942477796076938	1.0	0.3	0.0636172512351933	0.942477796076938	oval	['1.0', ' 1.0']	['0.3', ' 0.3']	['pubmed']	Haemophilus influenzae	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
747	0.8660254037844387	0.3535533905932738	0.07345183754702489	0.961912372621398	1.0	0.375	0.0966407896367954	1.1780972450961724	oval	['0.5', ' 1.5']	['0.25', ' 0.5']	['pubmed']	Pasteurella multocida	Pasteurella	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
781	1.095445115010332	0.4	0.12090253220994582	1.376576930290914	1.3	0.4	0.1466076571675237	1.6336281798666925	rod-shaped	['0.6', ' 2.0']	['0.4', ' 0.4']	['bacdive']	Rickettsia conorii	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
813	0.5477225575051662	0.5477225575051662	0.0860360581431821	0.9424777960769384	0.85	0.85	0.3215550980643052	2.2698006922186256	spherical	['0.2', ' 1.5']	['0.2', ' 1.5']	['bm4']	Chlamydia trachomatis	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria
826	4.898979485566357	0.3872983346207417	0.5619382535379379	5.960752959477659	7.0	0.4	0.8628907821859966	8.79645943005142	rod	['2.0', ' 12.0']	['0.3', ' 0.5']	['bm4']	Sebaldella termitidis	Sebaldella	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
849	1.449137674618944	0.529150262212918	0.2798932789673064	2.4090096280091	1.85	0.55	0.3959715740462136	3.196570525027615	spheroid	['0.7', ' 3.0']	['0.4', ' 0.7']	['bm4']	Fusobacterium gonidiaformans	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
851	3.0000000000000004	0.529150262212918	0.620945717137548	4.9871237292396495	3.0	0.55	0.669191960138101	5.18362787842316	rod	['3.0', ' 3.0']	['0.4', ' 0.7']	['bm4']	Fusobacterium nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
852	0.8944271909999159	0.6928203230275509	0.2501287376067124	1.9467737644673333	0.9	0.7	0.2565634000431664	1.9792033717615696	oval	['0.8', ' 1.0']	['0.6', ' 0.8']	['bm4']	Fusobacterium perfoetens	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
855	6.32455532033676	0.529150262212918	1.3520536170951456	10.513779971646771	7.0	0.55	1.6195237378490135	12.095131716320704	spindle	['4.0', ' 10.0']	['0.4', ' 0.7']	['bm4']	Fusobacterium simiae	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
856	1.1832159566199232	0.4582575694955839	0.1699580584975501	1.7034270439089167	1.35	0.5	0.2323469566717451	2.1205750411731104	rod	['0.7', ' 2.0']	['0.3', ' 0.7']	['bm4']	Fusobacterium varium	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
858	2.449489742783178	0.7483314773547882	0.9676307326562682	5.758634455116962	2.75	0.75	1.1044661672776617	6.4795348480289485	rod	['1.5', ' 4.0']	['0.7', ' 0.8']	['bm4']	Fusobacterium necrogenes	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
859	1.8	0.5916079783099616	0.4405919306518683	3.345464301234634	1.8	0.6	0.4523893421169302	3.392920065876977	rod	['1.8', ' 1.8']	['0.5', ' 0.7']	['bm4']	Fusobacterium necrophorum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
860	5.2915026221291805	0.7071067811865476	1.985408159304888	11.754763358538996	5.5	0.75	2.3193789512830896	12.959069696057895	rod	['4.0', ' 7.0']	['0.5', ' 1.0']	['bm4']	Fusobacterium periodonticum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
873	3.5	0.5	0.6544984694978736	5.497787143782138	3.5	0.5	0.6544984694978736	5.497787143782138	vibrio-shaped	['3.5', ' 3.5']	['0.5', ' 0.5']	['bacdive']	Desulfocurvibacter africanus	Desulfocurvibacter	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
923	1.0	0.5	0.1636246173744683	1.5707963267948966	1.0	0.5	0.1636246173744683	1.5707963267948966	rod-shaped	['1.0', ' 1.0']	['0.5', ' 0.5']	['bacdive']	Guyparkeria hydrothermalis	Guyparkeria	Thioalkalibacteraceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
927	1.224744871391589	0.3872983346207417	0.1290776858583086	1.490188239869415	1.25	0.4	0.1403244718603441	1.5707963267948966	rod-shaped	['1.0', ' 1.5']	['0.3', ' 0.5']	['bacdive']	Halothiobacillus neapolitanus	Halothiobacillus	Halothiobacillaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
940	2.449489742783178	0.3872983346207417	0.2733645417515183	2.98037647973883	2.5	0.4	0.2974041045398338	3.141592653589793	rod-shaped	['2.0', ' 3.0']	['0.3', ' 0.5']	['bacdive']	Hydrogenobacter thermophilus	Hydrogenobacter	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria
979	2.7386127875258306	0.565685424949238	0.6408977138051013	4.866934411168334	3.25	0.6000000000000001	0.8623671834103983	6.1261056745000975	rod-shaped	['1.5', ' 5.0']	['0.4', ' 0.8']	['bacdive']	Cellulophaga lytica	Cellulophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
983	3.162277660168379	0.5916079783099616	0.8150675609686345	5.877381679269498	3.5	0.6	0.9330530181161686	6.5973445725385655	rod-shaped	['2.0', ' 5.0']	['0.5', ' 0.7']	['bacdive']	Flavobacterium flevense	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
986	4.743416490252568	0.3464101615137754	0.4361736757754191	5.162163488590927	8.25	0.35	0.7825183701316575	9.071348787240527	rod-shaped	['1.5', ' 15.0']	['0.3', ' 0.4']	['bacdive']	Flavobacterium johnsoniae	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
991	4.743416490252568	0.529150262212918	1.0043430277922816	7.885334978735076	8.25	0.55	1.9165024183836736	14.254976665663689	rod-shaped	['1.5', ' 15.0']	['0.4', ' 0.7']	['bacdive']	Flavobacterium hydatis	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
996	5.477225575051663	0.3872983346207417	0.6300612660389653	6.664324407237551	6.5	0.4	0.8000589291142006	8.168140899333462	rod-shaped	['3.0', ' 10.0']	['0.3', ' 0.5']	['bacdive']	Flavobacterium columnare	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
