ID,designation_header,strain_number_header,is_type_strain_header,species,Cell length (µm),Cell Width (µm),Cell Shape,Reference,NCBI ID
322.0,API 201-3-84,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202",1.0,Achromobacter insolitus,1-2,,coccus-shaped,23266.0,217204
140507.0,,"CCUG 62449, LMG 3441",1.0,Achromobacter kerstersii,0.9-1.5,0.4-0.7,rod-shaped,43168.0,1353890
140854.0,,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219",1.0,Achromobacter marplatensis,1.4-2.8,0.4-1.1,,43665.0,
140508.0,,"LMG 3431, CCUG 61959, ATCC 15445",1.0,Achromobacter pestifer,0.9-1.5,0.4-0.7,rod-shaped,43168.0,1353889
323.0,API 198-2-84,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911",1.0,Achromobacter spanius,1-2,,coccus-shaped,23266.0,217203
99.0,"ADV 255.99, AIP 283.01","DSM 21505, CCUG 50930, CIP 108586, KCTC 15229",1.0,Acidaminococcus intestini,0.5-0.6,,coccus-shaped,22965.0,187327
133383.0,SK-11,"DSM 100508, NBRC 111227",1.0,Acidicapsa acidisoli,1.0-1.4,0.7-1.0,rod-shaped,25290.0,1615681
142.0,KA1,"DSM 23886, LMG 25897, VKM B-2678",1.0,Acidicapsa borealis,1.0-3.0,0.6-0.9,rod-shaped,23352.0,946336
159709.0,4GSKX,"CGMCC 1.15449, LMG 29213",1.0,Acidicapsa dinghuensis,0.5-1.5,0.4-0.8,rod-shaped,66598.0,2218256
143.0,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1.0,Acidicapsa ligni,1.0-2.0,0.5-0.8,rod-shaped,23352.0,542300
106.0,ICP,"DSM 10331, NBRC 103882",1.0,Acidimicrobium ferrooxidans,1.0-1.5,0.35-0.4,rod-shaped,22968.0,525909
26.0,Lhet2,"DSM 2389, ATCC 33463",1.0,Acidiphilium cryptum,0.6-0.8,"0.6-0.8, 0.6-0.8",,,524
132354.0,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1.0,Acidipila dinghuensis,1-1.4,0.6-1.1,coccus-shaped,43829.0,1560006
158421.0,JS278,"DSM 106790, VTT E-113202",1.0,Acidipropionibacterium virtanenii,1-5,0.7,rod-shaped,66688.0,2057246
82.0,TPB606,"DSM 21000, VKM B-2487",1.0,Acidisoma sibiricum,1.4-3.1,0.7-1.2,coccus-shaped,22964.0,512383
81.0,WM1,"DSM 19999, VKM B-2488",1.0,Acidisoma tundrae,1.9-4.1,0.8-1.5,coccus-shaped,22964.0,512382
67.0,HS-AP3,"DSM 16009, JCM 10600",1.0,Acidisphaera rubrifaciens,0.8-1.2,0.7-1.0,coccus-shaped,23249.0,50715
130138.0,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1.0,Acidithiobacillus ferridurans,1.5,1.5,rod-shaped,31013.0,1232575
132357.0,M20,"DSM 100412, JCM 30830",1.0,Acidithiobacillus ferriphilus,1-2,,rod-shaped,43830.0,1689834
133033.0,PMMR2,"DSM 27394, LMG 28340",1.0,Acidobacterium ailaaui,1.3-1.7,0.7-0.9,rod-shaped,25069.0,1382359
131.0,161,"DSM 11244, ATCC 51196, JCM 7670, NCIMB 13165",1.0,Acidobacterium capsulatum,1.1-2.3,,rod-shaped,22887.0,33075
133532.0,AL46,"NBRC 104303, DSM 108313, VTCC-D9-1",1.0,Acidocella aluminiidurans,1.4,0.3,rod-shaped,29361.0,472056
158255.0,Ok2G,"DSM 104037, NBRC 112502",1.0,Acidocella aquatica,1-2.8,0.6-0.8,rod-shaped,65256.0,1922313
2903.0,R-24608,"DSM 19327, LMG 24103",1.0,Acidovorax caeni,1.8,0.9,rod-shaped,32368.0,343013
158808.0,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC-B-910010",1.0,Acidovorax kalamii,2.0-2.8,0.71-0.76,rod-shaped,65571.0,
2905.0,N35,"DSM 23535, LMG 25767",1.0,Acidovorax radicis,1.5-2.0,0.3-0.5,rod-shaped,23078.0,999386
2904.0,BL21,"DSM 25157, JCM 15909, KCTC 22399",1.0,Acidovorax soli,1.3,0.5,rod-shaped,29733.0,592050
23868.0,NF 1078,"DSM 27981, CCUG 62584, LMG 26971",1.0,Acidovorax wautersii,3,0.45,rod-shaped,30860.0,1177982
130449.0,SAP 284.1,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548",1.0,Acinetobacter boissieri,1.5,1.5,ovoid-shaped,30741.0,1219383
140606.0,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1.0,Acinetobacter defluvii,0.7-1.0,0.6-0.9,coccus-shaped,43264.0,1871111
140912.0,114,"CCUG 65204, DSM 27228",1.0,Acinetobacter equi,1-1.5,0.8,rod-shaped,43765.0,
133403.0,BRTC-1,"ACCC 19936, JCM 31367",1.0,Acinetobacter larvae,0.5-1.1,0.2-0.8,coccus-shaped,25280.0,1789224
130450.0,SAP 763.2,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958",1.0,Acinetobacter nectaris,1.5,1.5,ovoid-shaped,30741.0,1392540
158638.0,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1.0,Acinetobacter piscicola,0.9-2.2,0.9-2.2,,,
132918.0,BQ4-1,"DSM 105039, CFCC 10780, JCM 18011, CCUG 69709",1.0,Acinetobacter puyangensis,0.9,0.6,rod-shaped,30910.0,1096779
134305.0,JC2129,"KCTC 12704, JCM 14002",1.0,Actibacter sediminis,2.8,0.8,rod-shaped,32340.0,449463
24522.0,R46,"DSM 28448, CECT 7668, KCTC 23349",1.0,Actibacterium mucosum,1,0.35,ovoid-shaped,30524.0,1454373
141146.0,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1.0,Actibacterium pelagium,1.5-2.5,0.6-1.2,rod-shaped,44067.0,2029103
141055.0,LS-811,"BCRC 80823, JCM 30681",1.0,Actibacterium ureilyticum,1.5-1.9,0.6-0.8,rod-shaped,43935.0,
17007.0,TT00-28,"DSM 45447, KCTC 19537, NBRC 103682",1.0,Actinoallomurus amamiensis,1.1,0.75,rod-shaped,29127.0,478109
132110.0,A3015,"DSM 45445, KCTC 19535, NBCR 103678",1.0,Actinoallomurus caesius,1.15,0.9,rod-shaped,29127.0,478115
17008.0,TT04-09,"DSM 45450, KCTC 19542, NBRC 103688",1.0,Actinoallomurus coprocola,1.1,0.75,rod-shaped,29127.0,478106
17010.0,TT02-47,"DSM 45448, KCTC 19539, NBRC 103685",1.0,Actinoallomurus iriomotensis,0.9,"1.15, 0.9",,,478108
,,,,,1.15,,,,
17011.0,TT02-15,"DSM 45452, KCTC 19538, NBRC 103683",1.0,Actinoallomurus luridus,1.1,0.75,rod-shaped,29127.0,478111
17012.0,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1.0,Actinoallomurus purpureus,1.1,0.75,rod-shaped,29127.0,478114
17013.0,TTN02-22,"DSM 45451, KCTC 19540, NBRC 103686",1.0,Actinoallomurus yoronensis,1.1,0.65,rod-shaped,29127.0,478110
144.0,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1.0,Actinobaculum suis,1.0-3.0,"1.0-3.0, 2.0-3.",,,1657
,,,,,2.0-3.0,,,,
7797.0,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1.0,Actinocatenispora rupis,1.25,0.45,,29428.0,519421
7795.0,TT2-10,"DSM 44816, JCM 12343, PCU 235",1.0,Actinocatenispora thailandica,0.5-1,0.3-0.4,rod-shaped,31699.0,227318
132014.0,OB1,"DSM 45618, ATCC BAA 2771",1.0,Actinocrinis puniceicyclus,15-25,1-1.5,filament-shaped,25215.0,977794
16999.0,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1.0,Actinomadura flavalba,5,0.6,rod-shaped,29310.0,561175
177.0,M1327/95/1,"DSM 15435, CCUG 37421, CIP 106647",1.0,Actinomyces bowdenii,2.0-4.0,,rod-shaped,23112.0,131109
140372.0,pika_113,"DSM 104049, CGMCC 4.7372",1.0,Actinomyces gaoshouyii,1.1-1.6,0.4-0.6,rod-shaped,43895.0,1960083
140290.0,VUL4_1,"DSM 104050, CGMCC 4.7370",1.0,Actinomyces liubingyangii,0.8-1.2,0.6-1.0,rod-shaped,43236.0,1921764
192.0,"4401292, CSUR P18","DSM 23047, CCUG 53522, KCTC 15158, CSUR P18",1.0,Actinomyces massiliensis,0.5-1.7,0.35-0.74,rod-shaped,28916.0,1167628
158436.0,VUL4_3,"DSM 103436, CGMCC 4.7369",1.0,Actinomyces tangfeifanii,0.9-1.3,0.6-0.8,rod-shaped,66727.0,1912795
193.0,7400942,"KCTC 15137, DSM 23838, CCUG 55928, CSUR P35",1.0,Actinomyces timonensis,1-3.2,0.3-0.5,rod-shaped,29427.0,521393
140287.0,VUL7,"DSM 103437, CGMCC 4.7366",1.0,Actinomyces vulturis,1.0-1.3,0.5-0.8,rod-shaped,43234.0,1857645
196.0,"2298, 2298/06","DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472",1.0,Actinomyces weissii,6,1.25,rod-shaped,30418.0,675090
140940.0,LDG1-22,"JCM 30485, TISTR 2343, PCU 344, DSM 111304",1.0,Actinoplanes lichenis,4.3-7.1,,,43831.0,
24730.0,H55,"DSM 45460, CCUG 62965",1.0,Actinopolyspora mzabensis,1.45,0.55,rod-shaped,30881.0,995066
132380.0,,"DSM 45410, CCTCC AA 209065, YIM 75728",1.0,Actinorectispora indica,0.6-1,,rod-shaped,43766.0,1034798
17634.0,GE134766,"DSM 44926, NRRL B-24431",1.0,Actinospica acidiphila,0.6-0.8,0.5,rod-shaped,31589.0,304899
17635.0,GE134769,"DSM 44927, JCM 14908, NRRL B-24432",1.0,Actinospica robiniae,1-1.2,0.6,rod-shaped,31589.0,479430
133962.0,CF5-4,"KCTC 29134, CCTCC AB 2012198",1.0,Actinotalea ferrariae,1.15,0.45,rod-shaped,30960.0,948458
158625.0,THG-T121,"KACC 19191, CGMCC 4.7389",1.0,Actinotalea solisilvae,1-1.2,0.6-0.8,rod-shaped,65350.0,
159835.0,J103,"DSM 104434, MCCC 1K03288",1.0,Acuticoccus kandeliae,1.0-1.5,,ovoid-shaped,66707.0,2073160
133587.0,6515J-31,"KACC 14117, NBRC 106133",1.0,Adhaeribacter aerolatus,1.8-2.8,1-1.2,rod-shaped,29671.0,670289
133589.0,6424S-25,"KACC 14118, NBRC 106134",1.0,Adhaeribacter aerophilus,2-4.3,0.9-1.1,rod-shaped,29671.0,670288
3764.0,MBRG1.5,"DSM 16391, NCIMB 14008",1.0,Adhaeribacter aquaticus,3.45,1.3,rod-shaped,31334.0,299567
158784.0,17mud1-7,"KCTC 52873, NBRC 112824",1.0,Adhaeribacter swui,2.0-2.5,0.5-1.0,rod-shaped,65538.0,
140958.0,HY02,"KCTC 52512, JCM 31652",1.0,Adhaeribacter terrae,1.5-2.3,0.7-0.9,rod-shaped,43858.0,
133455.0,DNG6,"CGMCC 1.6961, NBRC 104235",1.0,Adhaeribacter terreus,1.5,0.4,rod-shaped,29044.0,529703
22982.0,NR06,"DSM 22242, CCUG 57646, KCTC 15365",1.0,Adlercreutzia caecicola,1.5,0.5,rod-shaped,30824.0,747645
3077.0,B7,"DSM 21839, CCUG 56815",1.0,Adlercreutzia caecimuris,2,0.5,rod-shaped,29529.0,1235794
3073.0,FJC-B9,"DSM 19450, CCUG 54925, JCM 14793, KCTC 15235",1.0,Adlercreutzia equolifaciens,2.1,0.65,ovoid-shaped,32379.0,446660
3072.0,do03,"DSM 18785, JCM 14811, AHU 1763",1.0,Adlercreutzia equolifaciens subsp. celatus,2.5,0.45,rod-shaped,32059.0,394340
3076.0,Mt1B8,"DSM 19490, CCUG 54980",1.0,Adlercreutzia mucosicola,2,0.5,rod-shaped,28980.0,580026
140913.0,,"ACCC 06485, JCM 30465, LAM 0050",1.0,Advenella alkanexedens,0.6-0.8,0.6-0.8,coccus-shaped,43767.0,
385.0,,"DSM 23814, CCUG 45225, LMG 22250, CIP 108657",1.0,Advenella incenata,1-2,,rod-shaped,23283.0,267800
383.0,WT001,"DSM 17095, LMG 22965, MTCC 7002",1.0,Advenella kashmirensis,1.4,1.05,coccus-shaped,31452.0,310575
384.0,DPN7,"DSM 17166, LMG 22922",1.0,Advenella mimigardefordensis,1.5-2,1.5,ovoid-shaped,31724.0,1247726
133599.0,JC2436,"IMSNU 14137, KACC 13727, KCTC 22361, JCM 15496",1.0,Aequorivita aestuarii,8,,rod-shaped,29701.0,524290
140229.0,D-24,"DSM 101732, KCTC 42708",1.0,Aequorivita aquimaris,1.1-1.7,0.4-0.5,rod-shaped,43132.0,1548749
5479.0,A71,"DSM 23843, JCM 15070, KCTC 22183",1.0,Aequorivita capsosiphonis,2.5,0.35,rod-shaped,29016.0,487317
5477.0,9-3,"DSM 14238, ACAM 643, CIP 107454",1.0,Aequorivita sublithincola,0.5-20,0.4-0.5,filament-shaped,43341.0,
24014.0,,"DSM 26349, 8-1b, CGMCC 1.11023, JCM 18497",1.0,Aequorivita viscosa,4.25,2,rod-shaped,31008.0,797419
158560.0,N.8,"KCTC 33824, JCM 31580",1.0,Aeribacillus composti,1.5-5,0.5-0.6,rod-shaped,65257.0,
1766.0,T6,"DSM 22365, LMG 21773, NCIMB 13939",1.0,Aeriscardovia aeriphila,1.15,0.75,rod-shaped,29919.0,218139
11058.0,KSL-107,"DSM 16824, CIP 108938, JCM 13518, KCTC 19073",1.0,Aeromicrobium alkaliterrae,1.25,1.25,coccus-shaped,31446.0,302168
133328.0,,"9H-4, ZIM B1021, LMG 29165, CCM 8650",1.0,Aeromicrobium choanae,1.5,,coccus-shaped,25167.0,1736691
11064.0,TYLN1,"DSM 19355, CCTCC AB 206046, JCM 16538",1.0,Aeromicrobium flavum,0.3-1.2,0.2-0.4,rod-shaped,32405.0,416568
11062.0,,"DSM 22238, JCM 14732, KCTC 19207, GBS 39, Gsoil 098",1.0,Aeromicrobium ginsengisoli,0.5-1.2,0.3-0.4,coccus-shaped,32044.0,363867
11066.0,,"DSM 24822, JCM 15749, KCCM 90079, KME 001",1.0,Aeromicrobium halocynthiae,4.1-6,0.4-0.5,rod-shaped,29593.0,560557
11061.0,,"DSM 17939, CCUG 52476, KCTC 19131, Gsoil 161",1.0,Aeromicrobium panaciterrae,1-1.5,0.2-0.4,rod-shaped,31948.0,363861
11065.0,HSW-1,"DSM 19178, KACC 20565",1.0,Aeromicrobium ponti,2.4,0.7,rod-shaped,32492.0,460257
11063.0,,"DSM 19087, JCM 13811, NRRL B-24466",1.0,Aeromicrobium tamlense,2.15,0.5,rod-shaped,31828.0,375541
23547.0,266,"DSM 27583, CECT 8023, LMG 26707",1.0,Aeromonas australiensis,2.25,0.85,rod-shaped,30616.0,1114880
280.0,868E,"DSM 19111, CECT 7113, LMG 23376",1.0,Aeromonas bivalvium,0.5-2.0,0.5-2.0,,,440079
283.0,717,"DSM 23621, CECT 7401, LMG 24681",1.0,Aeromonas fluvialis,3-3.5,0.6-0.7,rod-shaped,23261.0,591962
242.0,,"CCUG 14453, CCM 3653, JCM 2385, LMG 9073, DSM 4881, ATCC 33907",1.0,Aeromonas media,1-2,,rod-shaped,23254.0,651
262.0,848T,"DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1.0,Aeromonas molluscorum,1.2-2.2,0.5-1.0,rod-shaped,23257.0,271417
288.0,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511",1.0,Aeromonas rivuli,2.0-2.5,0.5-0.7,rod-shaped,23263.0,648794
273.0,138,"DSM 21293, ATCC 49393, CCM 4103, CECT 5179, CIP 104757",1.0,Aeromonas salmonicida subsp. smithia,1-2,,rod-shaped,66548.0,80745
286.0,A2-67,"DSM 24094, CECT 7402, LMG 24682",1.0,Aeromonas sanarellii,2.5,0.7,rod-shaped,23262.0,633415
285.0,A2-50,"DSM 24096, CECT 7403, LMG 24683",1.0,Aeromonas taiwanensis,1.8-2.5,0.8-1,rod-shaped,23262.0,633417
4196.0,SY1,"DSM 16960, ATCC BAA 758, JCM 12091",1.0,Aeropyrum camini,1.2-2.1,,coccus-shaped,23223.0,1198449
4195.0,K1,"DSM 11879, JCM 9820",1.0,Aeropyrum pernix,0.8-1.0,,coccus-shaped,23222.0,56636
437.0,JC2043,"DSM 15266, KCTC 12043",1.0,Aestuariibacter halophilus,1.2-1.8,0.5-0.6,rod-shaped,23286.0,226011
438.0,JC2042,"DSM 15300, KCTC 12042",1.0,Aestuariibacter salexigens,1.0-1.8,0.4-0.6,rod-shaped,23286.0,226010
133791.0,,"KACC 16186, JCM 17789, SC 17",1.0,Aestuariibaculum suncheonense,2.5,0.6,rod-shaped,30515.0,1028745
158658.0,DBTF-13,"KACC 19432, NBRC 113038",1.0,Aestuariibius insulae,0.4-10,0.4-10,,,
158589.0,NAP41,"KACC 18431, JCM 30739",1.0,Aestuariicoccus marinus,0.9-1.3,,coccus-shaped,65303.0,
12671.0,R27,"DSM 21549, JCM 14204, KCTC 19182",1.0,Aestuariimicrobium kwangyangense,0.8-1.0,0.8-1.0,coccus-shaped,32073.0,396389
158420.0,D6,"DSM 105824, KCTC 39995",1.0,Aestuariimicrobium soli,1.2-1.3,0.6-0.7,rod-shaped,66705.0,2035834
158355.0,OITF-44,"DSM 105891, KACC 19569, KCTC 62197",1.0,Aestuariimonas insulae,0.5-10.0,0.2-0.6,rod-shaped,65458.0,2045267
131429.0,SBSr002,"DSM 24601, NCCB 100377",1.0,Aetherobacter fasciculatus,2.9-6,1-1.3,rod-shaped,43768.0,888830
130794.0,SBSr003,"DSM 24628, NCCB 100378",1.0,Aetherobacter rufus,3-6,1-1.2,rod-shaped,43768.0,888831
13876.0,AR2102,"DSM 17143, ATCC BAA 1145",1.0,Afifella pfennigii,01-02,0.6,rod-shaped,31992.0,209897
159752.0,2p52,"KCTC 52473, MCCC 1H00151",1.0,Agaribacter flavus,1.3-2,0.6-0.8,rod-shaped,66679.0,1902781
141009.0,feces2,"MCCC 1A11450, KCTC 52708",1.0,Agaribacterium haliotis,1.0-1.5,0.7,rod-shaped,43905.0,
133571.0,CC-SBABM117,"BCRC 17964, CCM 7684, DSM 22517",1.0,Agaricicola taiwanensis,0.8-1,0.5,rod-shaped,29588.0,591372
141010.0,17,"KCTC 42584, MCCC 1H00123",1.0,Agarilytica rhodophyticola,1.7-5.7,0.3-1.1,rod-shaped,43906.0,
132992.0,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1.0,Agarivorans aestuarii,1.5-1.8,0.5-0.8,rod-shaped,43596.0,1563703
133657.0,,"IAM 14998, LMG 21761, MKT 106",1.0,Agarivorans albus,1.7,0.8,rod-shaped,29979.0,1331007
132395.0,JK 623,"DSM 29029, LMG 28559",1.0,Agathobacter ruminis,1.5-2.1,0.3-0.4,rod-shaped,43769.0,1712665
132618.0,SR79,"DSM 100391, KCTC 15532",1.0,Agathobaculum butyriciproducens,0.9-1.1,0.6-0.7,rod-shaped,43140.0,1628085
140485.0,,"LMG 29287, HAMBI 3646, YIC 5082",1.0,Agrobacterium salinitolerans,0.79-1.48,0.41-0.5,rod-shaped,43242.0,1923828
13647.0,Ch11,"DSM 26438, CFBP 7420, HAMBI 3460, LMG 26191",1.0,Agrobacterium skierniewicense,2.5-3.0,0.5,rod-shaped,30286.0,1368417
7256.0,R-17892t 2,"DSM 18061, CIP 109629, LMG 22410",1.0,Agrococcus casei,0.9,0.35,rod-shaped,31785.0,343512
7258.0,SSW1-48,"DSM 22002, JCM 14256, KCTC 19198",1.0,Agrococcus jejuensis,1.3-1.5,0.3-0.4,rod-shaped,32585.0,399736
7255.0,K22-21,"DSM 17612, MTCC 7154",1.0,Agrococcus lahaulensis,1-1.5,0.6-1,rod-shaped,31776.0,341722
24181.0,DNG5,"DSM 28114, CGMCC 1.6960, JCM 17488, NBRC 104260",1.0,Agrococcus terreus,0.8-1,0.4-0.5,rod-shaped,29443.0,574649
7257.0,K 114/01,"DSM 19812, LMG 24386, CCUG 58092",1.0,Agrococcus versicolor,0.8-1.2,0.5-0.6,ovoid-shaped,31208.0,501482
7279.0,UMS-62,"DSM 21551, JCM 13584, KCTC 19181",1.0,Agromyces allii,1,0.3,rod-shaped,31970.0,393607
7281.0,P27,"DSM 23870, JCM 15913, KCTC 19593",1.0,Agromyces atrinae,1.5,0.75,rod-shaped,29397.0,592376
132611.0,AR33,"DSM 101731, LMG 29235",1.0,Agromyces aureus,1.0-6.0,0.3-0.5,rod-shaped,43114.0,453304
7282.0,BZ41,"DSM 22275, CGMCC 1.8984",1.0,Agromyces bauzanensis,0.3-0.5,,rod-shaped,29622.0,1308924
132534.0,"OAct-353, OAct353","DSM 28305, CGMCC 4.7180, NRRL B-59115",1.0,Agromyces binzhouensis,0.4-2,0.2-0.7,rod-shaped,43631.0,1817495
141074.0,CFH S0483,"KCTC 39117, CCTCC AB 2014301",1.0,Agromyces insulae,0.5-2.7,0.2-0.3,rod-shaped,43966.0,
7277.0,Z33,"DSM 16689, NCIMB 14025, HKI 0340",1.0,Agromyces subbeticus,2.5-4,0.3-0.5,coccus-shaped,31475.0,293890
7280.0,DS-10,"DSM 22016, JCM 14581, KCTC 19216",1.0,Agromyces terreus,2.85,0.35,rod-shaped,32172.0,424795
132966.0,LZD062,"DSM 28886, JCM 30117, MCCC 1K00254",1.0,Ahrensia marina,1.5-3.5,0.6-0.8,rod-shaped,43770.0,1514904
6086.0,,"DSM 19219, CCTCC AB 207002, KCTC 12885, YIM 90637",1.0,Aidingimonas halophila,1.1,0.2,rod-shaped,29288.0,574349
132956.0,Pyt,"DSM 100705, CIP 110913",1.0,Akkermansia glycaniphila,0.6-1.0,,oval-shaped,25030.0,1679444
13652.0,YBY-7,"DSM 24422, CGMCC 1.10789, LMG 26247, MCCC 1A06317",1.0,Meinhardsimonia xiamenensis,4,0.5,rod-shaped,30365.0,990712
13844.0,DS2,"DSM 17890, KCTC 12586",1.0,Albimonas donghaensis,2.1,1.2,rod-shaped,32395.0,356660
133988.0,P-50-3,"KACC 16527, CGMCC 1.11030",1.0,Albimonas pacifica,3,1,rod-shaped,31012.0,1114924
158774.0,S1-47,"KACC 18804, JCM 31536",1.0,Albirhodobacter confluentis,2.0-1.7,0.8-1.0,rod-shaped,65528.0,
134159.0,,"CCUG 50924, CIP 108999, LMG 22996",1.0,Alcaligenes aquatilis,1.75,0.9,rod-shaped,31582.0,323284
394.0,B-5,"DSM 16502, CGMCC 1.3690",1.0,Alcanivorax dieselolei,0.8-2.0,0.3-0.7,rod-shaped,23284.0,285091
133431.0,A-11-3,"CGMCC 1.7084, LMG 24624, MCCC1A01496",1.0,Alcanivorax hongdengensis,2.05,0.65,rod-shaped,28920.0,1177179
133994.0,R8-12,"MCCC 1A00382, LMG 24621, CCTCC AB 208234",1.0,Alcanivorax marinus,1.1,0.55,rod-shaped,31020.0,1177169
158801.0,MT13131,"MCCC 1A11581, KCTC 52985",1.0,Alcanivorax mobilis,0.5-1.5,0.3-0.6,rod-shaped,65562.0,
140512.0,19-m-6,"MCCC 1A05629, KCTC 52137",1.0,Alcanivorax nanhaiticus,2.4,0.5,rod-shaped,43165.0,1177154
134021.0,KYW563,"KCTC 23857, JCM 18275",1.0,Algibacter agarilyticus,0.9,0.35,rod-shaped,31072.0,1109739
134020.0,KYW560,"KCTC 23855, JCM 18285",1.0,Algibacter agarivorans,2.1,0.35,rod-shaped,31072.0,1109741
140562.0,SK-16,"NBRC 110220, KCTC 32974",1.0,Algibacter aquaticus,1.2-2.6,0.2-0.4,rod-shaped,43339.0,1563679
133907.0,KYW589,"KCTC 23928, JCM 18287",1.0,Algibacter aquimarinus,1.95,0.3,rod-shaped,30847.0,1136748
5480.0,M-3Alg 15-1,"DSM 15365, KCTC 12103, KMM 3902",1.0,Algibacter lectus,2-3,"2.5, 2-3",,,221126
,,,,,2.5,,,,
134276.0,KMM 6171T,"KCTC 127105, LMG 23988",1.0,Algibacter mikhailovii,6,0.35,rod-shaped,32229.0,425498
133987.0,WS-MY9,"KCTC 32259, CCUG 63684",1.0,Algibacter undariae,3.35,0.55,rod-shaped,31011.0,1285464
134060.0,WS-MY22,"KCTC 32381, CECT 8301",1.0,Algibacter wandonensis,3.3,0.3,rod-shaped,31156.0,1343161
