ID	designation	strain	type_strain	species	shape	reference	taxid	length	width	volume	surface
384	DPN7	DSM 17166, LMG 22922	1	Advenella mimigardefordensis	ovoid-shaped	31724	1247726	1.7320508075688772	1.5	2.177213493323113	8.16209713905398
140229	D-24	DSM 101732, KCTC 42708	1	Aequorivita aquimaris	rod-shaped	43132	1548749	1.3674794331177345	0.4472135954999579	0.1913871179474214	1.9212579332321365
5479	A71	DSM 23843, JCM 15070, KCTC 22183	1	Aequorivita capsosiphonis	rod-shaped	29016	487317	2.5	0.35	0.22930353878857995	2.748893571891069
5477	9-3	DSM 14238, ACAM 643, CIP 107454	1	Aequorivita sublithincola	filament-shaped	43341		3.1622776601683795	0.4472135954999579	0.473313364186336	4.442882938158366
24014		DSM 26349, 8-1b, CGMCC 1.11023, JCM 18497	1	Aequorivita viscosa	rod-shaped	31008	797419	4.25	2.0	11.257373675363425	26.703537555513243
158560	N.8	KCTC 33824, JCM 31580	1	Aeribacillus composti	rod-shaped	65257		2.7386127875258306	0.5477225575051661	0.6022524070022748	4.712388980384689
1766	T6	DSM 22365, LMG 21773, NCIMB 13939	1	Aeriscardovia aeriphila	rod-shaped	29919	218139	1.15	0.75	0.39760782021995816	2.7096236637211963
11058	KSL-107	DSM 16824, CIP 108938, JCM 13518, KCTC 19073	1	Aeromicrobium alkaliterrae	coccus-shaped	31446	302168	1.25	1.25	1.0226538585904275	4.908738521234052
133328		9H-4, ZIM B1021, LMG 29165, CCM 8650	1	Aeromicrobium choanae	coccus-shaped	25167	1736691	1.5	1.5	1.7671458676442586	7.0685834705770345
11064	TYLN1	DSM 19355, CCTCC AB 206046, JCM 16538	1	Aeromicrobium flavum	rod-shaped	32405	416568	0.6	0.28284271247461906	0.031775267925533035	0.533145952579004
11062		DSM 22238, JCM 14732, KCTC 19207, GBS 39, Gsoil 098	1	Aeromicrobium ginsengisoli	coccus-shaped	32044	363867	0.7745966692414834	0.34641016151377546	0.0621212199821197	0.8429777677248871
11066		DSM 24822, JCM 15749, KCCM 90079, KME 001	1	Aeromicrobium halocynthiae	rod-shaped	29593	560557	4.959838707054898	0.4472135954999579	0.7556735931502291	6.968389602581047
11061		DSM 17939, CCUG 52476, KCTC 19131, Gsoil 161	1	Aeromicrobium panaciterrae	rod-shaped	31948	363861	1.224744871391589	0.28284271247461906	0.07102914589216737	1.0882796185405308
11065	HSW-1	DSM 19178, KACC 20565	1	Aeromicrobium ponti	rod-shaped	32492	460257	2.4	0.7	0.8338310501402907	5.277875658030852
11063		DSM 19087, JCM 13811, NRRL B-24466	1	Aeromicrobium tamlense	rod-shaped	31828	375541	2.15	0.5	0.38942658935123475	3.3772121026090276
23547	266	DSM 27583, CECT 8023, LMG 26707	1	Aeromonas australiensis	rod-shaped	30616	1114880	2.25	0.85	1.115985340340824	6.00829594999048
283	717	DSM 23621, CECT 7401, LMG 24681	1	Aeromonas fluvialis	rod-shaped	23261	591962	3.24037034920393	0.648074069840786	0.9976325210289874	6.5973445725385655
262	848T	DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676	1	Aeromonas molluscorum	rod-shaped	23257	271417	1.624807680927192	0.7071067811865476	0.5455004230255094	3.609415161690042
288	WB4.1-19	DSM 22539, CECT 7518, MDC 2511	1	Aeromonas rivuli	rod-shaped	23263	648794	2.23606797749979	0.5916079783099616	0.5604623766775394	4.155936441033041
286	A2-67	DSM 24094, CECT 7402, LMG 24682	1	Aeromonas sanarellii	rod-shaped	23262	633415	2.5	0.7	0.8723155601467657	5.497787143782138
285	A2-50	DSM 24096, CECT 7403, LMG 24683	1	Aeromonas taiwanensis	rod-shaped	23262	633417	2.1213203435596424	0.8944271909999159	1.145536488619757	5.96075295947766
4196	SY1	DSM 16960, ATCC BAA 758, JCM 12091	1	Aeropyrum camini	coccus-shaped	23223	1198449	1.5874507866387544	1.5874507866387544	2.0945919662806523	7.916813487046278
4195	K1	DSM 11879, JCM 9820	1	Aeropyrum pernix	coccus-shaped	23222	56636	0.8944271909999159	0.8944271909999159	0.37465678565550536	2.5132741228718345
437	JC2043	DSM 15266, KCTC 12043	1	Aestuariibacter halophilus	rod-shaped	23286	226011	1.469693845669907	0.5477225575051661	0.30327042507211216	2.5289333031746613
438	JC2042	DSM 15300, KCTC 12042	1	Aestuariibacter salexigens	rod-shaped	23286	226010	1.3416407864998738	0.4898979485566356	0.2221121343935814	2.0648653954363714
133791		KACC 16186, JCM 17789, SC 17	1	Aestuariibaculum suncheonense	rod-shaped	30515	1028745	2.5	0.6	0.6503096792930871	4.71238898038469
158589	NAP41	KACC 18431, JCM 30739	1	Aestuariicoccus marinus	coccus-shaped	65303		1.0816653826391969	1.0816653826391969	0.6626396438496304	3.6756634047000585
12671	R27	DSM 21549, JCM 14204, KCTC 19182	1	Aestuariimicrobium kwangyangense	coccus-shaped	32073	396389	0.8944271909999159	0.8944271909999159	0.37465678565550536	2.5132741228718345
158420	D6	DSM 105824, KCTC 39995	1	Aestuariimicrobium soli	rod-shaped	66705	2035834	1.2489995996796797	0.648074069840786	0.34074457071469394	2.542944121209459
158355	OITF-44	DSM 105891, KACC 19569, KCTC 62197	1	Aestuariimonas insulae	rod-shaped	65458	2045267	2.23606797749979	0.34641016151377546	0.1998616457458165	2.433467205584167
131429	SBSr002	DSM 24601, NCCB 100377	1	Aetherobacter fasciculatus	rod-shaped	43768	888830	4.171330722922842	1.140175425099138	3.8709557385620696	14.941567908109285
130794	SBSr003	DSM 24628, NCCB 100378	1	Aetherobacter rufus	rod-shaped	43768	888831	4.242640687119285	1.0954451150103321	3.6544504117698	14.600803233505
13876	AR2102	DSM 17143, ATCC BAA 1145	1	Afifella pfennigii	rod-shaped	31992	209897	1.4142135623730951	0.6	0.3433107966696367	2.66572976289502
159752	2p52	KCTC 52473, MCCC 1H00151	1	Agaribacter flavus	rod-shaped	66679	1902781	1.61245154965971	0.6928203230275509	0.5208175436384082	3.509596314757513
141009	feces2	MCCC 1A11450, KCTC 52708	1	Agaribacterium haliotis	rod-shaped	43905		1.224744871391589	0.7	0.38153987256937666	2.6933546433399145
133571	CC-SBABM117	BCRC 17964, CCM 7684, DSM 22517	1	Agaricicola taiwanensis	rod-shaped	29588	591372	0.8944271909999159	0.5	0.14289544480112448	1.4049629462081452
141010	17	KCTC 42584, MCCC 1H00123	1	Agarilytica rhodophyticola	rod-shaped	43906		3.1128764832546763	0.5744562646538028	0.7571702075611009	5.617831787563904
132992	hydD622	DSM 105029, CGMCC 1.12692, KCTC 32543	1	Agarivorans aestuarii	rod-shaped	43596	1563703	1.6431676725154984	0.6324555320336759	0.4499857604204522	3.2648388556215924
133657		IAM 14998, LMG 21761, MKT 106	1	Agarivorans albus	rod-shaped	29979	1331007	1.7	0.8	0.7204719152232592	4.2725660088821185
132395	JK 623	DSM 29029, LMG 28559	1	Agathobacter ruminis	rod-shaped	43769	1712665	1.7748239349298849	0.34641016151377546	0.15639041887632635	1.9315047148820983
132618	SR79	DSM 100391, KCTC 15532	1	Agathobaculum butyriciproducens	rod-shaped	43140	1628085	0.99498743710662	0.648074069840786	0.25695428260918596	2.025779235250711
140485		LMG 29287, HAMBI 3646, YIC 5082	1	Agrobacterium salinitolerans	rod-shaped	43242	1923828	1.0812955192730616	0.4527692569068708	0.14979612413416388	1.5380526650539321
13647	Ch11	DSM 26438, CFBP 7420, HAMBI 3460, LMG 26191	1	Agrobacterium skierniewicense	rod-shaped	30286	1368417	2.7386127875258306	0.5	0.5050004399199948	4.301802907159107
7256	R-17892t 2	DSM 18061, CIP 109629, LMG 22410	1	Agrococcus casei	rod-shaped	31785	343512	0.9	0.35	0.07536549876268013	0.9896016858807849
7258	SSW1-48	DSM 22002, JCM 14256, KCTC 19198	1	Agrococcus jejuensis	rod-shaped	32585	399736	1.3964240043768943	0.34641016151377546	0.12072706561800145	1.5196997828041265
7255	K22-21	DSM 17612, MTCC 7154	1	Agrococcus lahaulensis	rod-shaped	31776	341722	1.224744871391589	0.7745966692414834	0.45547406329363044	2.98037647973883
24181	DNG5	DSM 28114, CGMCC 1.6960, JCM 17488, NBRC 104260	1	Agrococcus terreus	rod-shaped	29443	574649	0.8944271909999159	0.4472135954999579	0.11708024551734542	1.2566370614359172
7257	K 114/01	DSM 19812, LMG 24386, CCUG 58092	1	Agrococcus versicolor	ovoid-shaped	31208	501482	0.9797958971132712	0.5477225575051661	0.1878409403575444	1.6859555354497742
7279	UMS-62	DSM 21551, JCM 13584, KCTC 19181	1	Agromyces allii	rod-shaped	31970	393607	1.0	0.3	0.06361725123519331	0.9424777960769379
7281	P27	DSM 23870, JCM 15913, KCTC 19593	1	Agromyces atrinae	rod-shaped	29397	592376	1.5	0.75	0.5522330836388308	3.5342917352885173
132611	AR33	DSM 101731, LMG 29235	1	Agromyces aureus	rod-shaped	43114	453304	2.449489742783178	0.3872983346207417	0.27336454175151836	2.98037647973883
132534	OAct-353, OAct353	DSM 28305, CGMCC 4.7180, NRRL B-59115	1	Agromyces binzhouensis	rod-shaped	43631	1817495	0.8944271909999159	0.3741657386773941	0.084633515649608	1.051377997164677
141074	CFH S0483	KCTC 39117, CCTCC AB 2014301	1	Agromyces insulae	rod-shaped	43966		1.161895003862225	0.2449489742783178	0.050905362635158165	0.894112943921649
7277	Z33	DSM 16689, NCIMB 14025, HKI 0340	1	Agromyces subbeticus	coccus-shaped	31475	293890	3.1622776601683795	0.3872983346207417	0.3573378899324528	3.8476494904855927
7280	DS-10	DSM 22016, JCM 14581, KCTC 19216	1	Agromyces terreus	rod-shaped	32172	424795	2.85	0.35	0.26297748504424556	3.1337386719558187
132966	LZD062	DSM 28886, JCM 30117, MCCC 1K00254	1	Ahrensia marina	rod-shaped	43770	1514904	2.29128784747792	0.6928203230275509	0.7767327987843019	4.987123729239648
6086		DSM 19219, CCTCC AB 207002, KCTC 12885, YIM 90637	1	Aidingimonas halophila	rod-shaped	29288	574349	1.1	0.2	0.032463124087094536	0.6911503837897546
13652	YBY-7	DSM 24422, CGMCC 1.10789, LMG 26247, MCCC 1A06317	1	Meinhardsimonia xiamenensis	rod-shaped	30365	990712	4.0	0.5	0.7526732399225546	6.283185307179586
13844	DS2	DSM 17890, KCTC 12586	1	Albimonas donghaensis	rod-shaped	32395	356660	2.1	1.2	1.9226547039969537	7.916813487046279
133988	P-50-3	KACC 16527, CGMCC 1.11030	1	Albimonas pacifica	rod-shaped	31012	1114924	3.0	1.0	2.0943951023931953	9.42477796076938
158774	S1-47	KACC 18804, JCM 31536	1	Albirhodobacter confluentis	rod-shaped	65528		1.8439088914585775	0.8944271909999159	0.9712337326312805	5.181247337366076
134159		CCUG 50924, CIP 108999, LMG 22996	1	Alcaligenes aquatilis	rod-shaped	31582	323284	1.75	0.9	0.922450142910303	4.948008429403924
394	B-5	DSM 16502, CGMCC 1.3690	1	Alcanivorax dieselolei	rod-shaped	23284	285091	1.2649110640673518	0.458257569495584	0.18343232784058142	1.8210401090492279
133431	A-11-3	CGMCC 1.7084, LMG 24624, MCCC1A01496	1	Alcanivorax hongdengensis	rod-shaped	28920	1177179	2.05	0.65	0.6083563273982735	4.186172210908399
133994	R8-12	MCCC 1A00382, LMG 24621, CCTCC AB 208234	1	Alcanivorax marinus	rod-shaped	31020	1177169	1.1	0.55	0.21778436572541748	1.9006635554218252
158801	MT13131	MCCC 1A11581, KCTC 52985	1	Alcanivorax mobilis	rod-shaped	65562		0.8660254037844386	0.4242640687119285	0.10243848386409705	1.1542948471456778
140512	19-m-6	MCCC 1A05629, KCTC 52137	1	Alcanivorax nanhaiticus	rod-shaped	43165	1177154	2.4	0.5	0.4385139745635753	3.7699111843077517
134021	KYW563	KCTC 23857, JCM 18275	1	Algibacter agarilyticus	rod-shaped	31072	1109739	0.9	0.35	0.07536549876268013	0.9896016858807849
134020	KYW560	KCTC 23855, JCM 18285	1	Algibacter agarivorans	rod-shaped	31072	1109741	2.1	0.35	0.19081902878210502	2.309070600388498
140562	SK-16	NBRC 110220, KCTC 32974	1	Algibacter aquaticus	rod-shaped	43339	1563679	1.7663521732655694	0.28284271247461906	0.1050593363061251	1.56953918667611
133907	KYW589	KCTC 23928, JCM 18287	1	Algibacter aquimarinus	rod-shaped	30847	1136748	1.95	0.3	0.13076879420567514	1.837831702350029
