taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	kingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
taxid160	10.95445115010332	0.15540120384668107	0.2067798967193108	5.348042803869422	helical	Treponema pallidum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000008605	1138011.0	52.78	1009.0	92.47344709321793	2.0	-0.0842534976969347	0.0350896395704454
taxid162	9.486832980505136	0.31622776601683805	0.7368152963798776	9.424777960769381	helical	Treponema phagedenis	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000513775	3250767.0	39.97	2796.0	83.2306344933365	2.0	-0.0735281147399649	0.0322965761485405
taxid163	10.95445115010332	0.2449489742783178	0.5123686993686073	8.429777677248868	helical	Treponema bryantii	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	N2729	3309485.0	39.97	2867.0	92.90818964301715	0.0	-0.423079106311413	0.15666776339990698
taxid165	15.491933384829665	0.648074069840786	5.039021665938965	31.541339914940327	helical	Treponema saccharophilum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000255555	3453898.0	53.18	2837.0	88.33810378882063	1.0	-0.7466902482085909	0.284573822895406
taxid167	5.656854249492381	0.3	0.39279088096367604	5.33145952579004	helical	Treponema succinifaciens	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000195275	2897425.0	39.13	2753.0	90.0514077154715	4.0	-0.37230726093135497	0.153254817404854
taxid172	8.48528137423857	0.10000000000000002	0.06638144468457634	2.6657297628950194	rod	Leptospira biflexa	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	G000017685	3951448.0	38.89	3693.0	93.30270827301788	2.0	-0.26373628994632503	0.126391176024654
taxid173	10.360080256445404	0.10000000000000002	0.08110082979057741	3.2547152024249546	rod	Leptospira interrogans	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	N1848	4620652.5	35.0	4052.0	76.31694239168212	1.0	-0.1690688213412585	0.0852939393085334
taxid174	8.48528137423857	0.10000000000000002	0.06638144468457634	2.6657297628950194	rod	Leptospira borgpetersenii	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	G000013945	3931782.0	40.23	3612.0	81.96085133916377	2.0	-0.19122140617762398	0.0903319036339301
taxid183	16.522711641858304	0.14142135623730953	0.25879766706753005	7.340847364572286	rod	Leptonema illini	Leptonema	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	N592	4475256.0	54.3	4235.0	91.4870086331629	1.0	-0.1767927255979725	0.08595204009546105
taxid195	0.31622776601683805	0.31622776601683805	0.016557647109660175	0.31415926535897937	sphere/rod	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	N3456	1762969.0	31.34	1953.0	92.73771722032758	2.0	-0.20022621892401302	0.0901821337025599
taxid197	1.118033988749895	1.118033988749895	0.7317515344834091	3.9269908169872414	sphere/spiral	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	G000509875	1412401.0	30.33	1707.0	92.87610246665078	0.0	-0.121396776185512	0.0613365209688339
taxid198	1.7320508075688772	0.31622776601683805	0.12775612876273626	1.7207211628636432	rod-shaped	Campylobacter hyointestinalis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	G001643955	1753385.0	33.96	1786.0	91.63612098883014	3.0	-0.24989411454631197	0.102234871252464
taxid199	4.0	0.7071067811865476	1.4782362655832644	8.885765876316732	spiral	Campylobacter concisus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	G001298465	1840041.0	37.62	1850.0	92.2438684790176	3.0	-0.28807693193091	0.11118506061197199
taxid210	3.5355339059327378	0.7071067811865476	1.2958408569628572	7.853981633974483	rod-shaped	Helicobacter pylori	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	N4165	1647774.0	38.86	1562.0	91.27082503914043	2.0	-0.0778440811683325	0.0333553119531761
taxid305	1.5	0.5	0.2617993877991494	2.3561944901923453	rod	Ralstonia solanacearum	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000009125	5810922.0	66.98	5062.0	87.48269207537119	4.0	-0.490312215769781	0.1905470490436
taxid316	1.7320508075688772	0.5	0.3073624573190221	2.7206990463513265	rod	Pseudomonas stutzeri	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N9190	4547930.0	62.96	4197.0	89.69861659406618	1.0	-0.49671792581002705	0.19600228487503898
taxid317	1.5	0.916515138991168	0.7880494799516908	4.318975841337722	rod	Pseudomonas syringae	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000012245	6093698.0	59.23	5207.0	88.02088649618015	5.0	-0.6519490670990021	0.2379523083875
taxid347	1.1832159566199232	0.5291502622129179	0.22141403886860744	1.9669481246914031	rod	Xanthomonas oryzae	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000007385	4941439.0	63.69	4831.0	85.11399209825315	2.0	-0.32158054484165	0.12423441202761698
taxid384	1.43	0.84	0.6373034857072254	3.7736810954920585	rod	Rhizobium leguminosarum	Rhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	N10293	6903379.0	60.12	6617.0	86.57964955703571	3.0	-0.5202168329995239	0.17566695695663298
taxid436	2.449489742783178	0.14142135623730953	0.03773601441516288	1.0882796185405308	rod-shaped	Komagataeibacter hansenii	Komagataeibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000164395	3636659.0	59.5	3145.0	86.11219803671447	1.0	-0.30226651240256397	0.11003523255565
taxid446	1.55	0.7	0.5067127150852536	3.4086280291449262	ovoid-shaped	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N7894	3436178.0	38.27	3077.0	88.58077964663876	1.0	-0.15046290136184803	0.0679806068120132
taxid485	0.7745966692414834	0.7745966692414834	0.2433467205584167	1.8849555921538759	sphere	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000006845	2153922.0	52.69	2142.0	83.31778030959339	4.0	-0.7239648871894241	0.29299011147744203
taxid487	0.9486832980505138	0.9486832980505138	0.4470564719608244	2.827433388230814	sphere	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000008805	2272360.0	51.53	2107.0	82.05931278494604	4.0	-0.620942481440344	0.25755456338458
taxid520	0.8	0.4	0.08377580409572784	1.005309649148734	rod	Bordetella pertussis	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000195715	4086189.0	67.72	3888.0	90.43869483276472	3.0	-0.499264517082545	0.21974665109605104
taxid536	1.75	0.4	0.20315632493214	2.1991148575128547	rod-shaped	Chromobacterium violaceum	Chromobacterium	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000007705	4751080.0	64.83	4298.0	88.58223814374838	8.0	-0.9574184158706079	0.338231218840828
taxid550	7.372923436466705	0.6	2.0280963215489267	13.897633262090284	rod	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000025565	5598796.0	54.58	5457.0	88.99650924948864	8.0	-0.882708817610514	0.29632888041829497
taxid562	2.85	0.65	0.8738209066266112	5.819800390775093	rod-shaped	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N10459	5013473.5	50.65	5012.0	87.77891223114793	7.0	-0.8114051628013614	0.2812897228028095
taxid573	2.0	0.5	0.3599741582238304	3.1415926535897927	rod	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000240185	5682322.0	57.12	5455.0	87.70896827036553	8.0	-1.1297743960514	0.348256244380596
taxid615	1.3416407864998738	0.6324555320336759	0.3552582954238029	2.66572976289502	rod	Serratia marcescens	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000513215	5113802.0	59.51	4680.0	87.64093721266487	7.0	-1.19416214956093	0.3799505295619679
taxid666	3.07408522978788	0.3794733192202055	0.3333650415760313	3.6647725262289335	rod	Vibrio cholerae	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000006745	4033464.0	47.49	3594.0	86.53316355370968	8.0	-0.965386001004989	0.33447194399382896
taxid670	1.833030277982336	0.6324555320336759	0.5096328570730556	3.6420802180984566	rod	Vibrio parahaemolyticus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N10175	5168910.0	45.245	4799.0	86.56620387759168	5.5	-0.9302470538307965	0.299523010049481
taxid672	3.0000000000000004	0.7	1.0647381101791404	6.5973445725385655	rod	Vibrio vulnificus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000009745	5260086.0	46.68	4639.0	87.03524999401152	9.0	-1.15377292495158	0.362032342535
taxid727	1.0	0.3	0.0636172512351933	0.942477796076938	oval	Haemophilus influenzae	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N9432	1890764.5	38.144999999999996	1865.0	88.93274340052854	3.5	-0.5429843162693064	0.2220189655683285
taxid747	0.8660254037844386	0.3535533905932738	0.07345183754702489	0.961912372621398	oval	Pasteurella multocida	Pasteurella	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000754275	2271840.0	40.35	2077.0	88.95481195858864	6.0	-0.583202487045008	0.22617287360892496
taxid781	1.095445115010332	0.4	0.12090253220994587	1.376576930290914	rod-shaped	Rickettsia conorii	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000007025	1268755.0	32.44	1435.0	80.68602685309617	1.0	-0.0673006632026363	0.0322911616901101
taxid813	0.5477225575051662	0.5477225575051662	0.08603605814318219	0.9424777960769384	spherical	Chlamydia trachomatis	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria	species	N2451	1040680.5	41.32	896.5	90.06538704629563	2.0	-0.0916798494236173	0.04454056930288105
taxid826	4.898979485566356	0.3872983346207417	0.5619382535379379	5.960752959477659	rod	Sebaldella termitidis	Sebaldella	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	G000024405	4486650.0	33.38	4202.0	86.50877603557221	4.0	-0.293842382832431	0.13964820644689901
taxid851	3.0000000000000004	0.5291502622129179	0.620945717137548	4.9871237292396495	rod	Fusobacterium nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	N755	2174500.0	26.99	2022.0	90.88916992412048	5.0	-0.199716917860841	0.0967617621820106
taxid852	0.8944271909999159	0.6928203230275509	0.2501287376067124	1.9467737644673333	oval	Fusobacterium perfoetens	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	G000622245	2103008.0	25.97	1949.0	90.94059556597028	1.0	-0.345985275056437	0.18545787530206603
taxid859	1.8	0.5916079783099616	0.4405919306518683	3.345464301234634	rod	Fusobacterium necrophorum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	N443	2459180.5	34.06	2362.0	91.1689851325242	1.0	-0.3927965021936175	0.17001577401316648
taxid860	5.2915026221291805	0.7071067811865476	1.9854081593048882	11.754763358538995	rod	Fusobacterium periodonticum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	G000158215	2546312.0	28.05	2386.0	90.31026048653895	3.0	-0.258875956055556	0.122192760310191
taxid873	3.5	0.5	0.6544984694978736	5.497787143782138	vibrio-shaped	Desulfocurvibacter africanus	Desulfocurvibacter	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria	species	G000212675	4200534.0	61.42	3785.0	85.1987390174678	3.0	-0.14953689808270199	0.0711987511484967
taxid927	1.224744871391589	0.3872983346207417	0.12907768585830864	1.490188239869415	rod-shaped	Halothiobacillus neapolitanus	Halothiobacillus	Halothiobacillaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000024765	2582886.0	54.71	2416.0	89.93997412197054	2.0	-0.30949485852402897	0.134931154528443
taxid940	2.449489742783178	0.3872983346207417	0.2733645417515184	2.98037647973883	rod-shaped	Hydrogenobacter thermophilus	Hydrogenobacter	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria	species	N2767	1743033.5	44.0	1903.5	96.89960123433052	1.0	-0.02567432129178835	0.0100909571241698
taxid979	2.7386127875258306	0.5656854249492381	0.6408977138051014	4.8669344111683355	rod-shaped	Cellulophaga lytica	Cellulophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000190595	3765936.0	32.11	3303.0	91.38046955657238	4.0	-0.227453823495087	0.10719390227811501
taxid986	4.743416490252568	0.34641016151377546	0.4361736757754192	5.1621634885909256	rod-shaped	Flavobacterium johnsoniae	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000016645	6096872.0	34.11	5199.0	88.14816843784813	6.0	-0.541145997786981	0.22135490709504801
taxid991	4.743416490252568	0.5291502622129179	1.004343027792282	7.885334978735076	rod-shaped	Flavobacterium hydatis	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000737695	5877671.0	32.66	5067.0	87.56167196156437	1.0	-0.396240526967704	0.170406429665787
taxid996	5.47722557505166	0.3872983346207417	0.6300612660389651	6.66432440723755	rod-shaped	Flavobacterium columnare	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000240075	3162432.0	31.46	2734.0	86.85938543500698	5.0	-0.5412468219344979	0.224669096075255
taxid1063	1.7320508075688772	1.3416407864998738	1.8163958159225289	7.3004016167525005	ovoid-shaped	Cereibacter sphaeroides	Cereibacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	species	N8868	4580052.0	68.51	4427.5	88.52490448333502	3.5	-0.2955236496592955	0.12506278568528298
taxid1126	3.2403703492039297	3.2403703492039297	17.814866446946194	32.98672286269284	sphere/spheroid	Microcystis aeruginosa	Microcystis	Microcystaceae	Chroococcales		Cyanobacteria	Bacteria	species	N6752	4983728.0	42.73	4934.0	81.59487789160461	1.0	-0.277741998647922	0.13473897797731302
taxid1148	2.39791576165636	2.39791576165636	7.219388101549009	18.064157758141306	sphere/spheroid	Synechocystis sp. PCC 6803	Synechocystis	Merismopediaceae	Synechococcales		Cyanobacteria	Bacteria	species	N5888	3570114.0	47.73	3301.0	87.26698725855849	2.0	-0.145256541088218	0.0695168673005124
taxid1184	2.0346989949375804	2.0346989949375804	4.410614836186082	13.006193585861745	sphere/spheroid	Leptolyngbya boryana	Leptolyngbya	Leptolyngbyaceae	Pseudanabaenales		Cyanobacteria	Bacteria	species	G000353285	7262454.0	47.02	6812.0	87.34518662699962	3.0	-0.25270006542074597	0.11822598761068501
taxid1245	0.7745966692414834	0.7745966692414834	0.2433467205584167	1.8849555921538759	coccus-shaped	Leuconostoc mesenteroides	Leuconostoc	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	species	N7711	1885300.5	37.675	1854.0	88.57458413867911	4.0	-0.72663718617346	0.2401463581699775
taxid1274	1.2000000000000002	1.2000000000000002	0.9047786842338608	4.523893421169302	sphere	Dermacoccus nishinomiyaensis	Dermacoccus	Dermacoccaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000725405	3113642.0	69.04	2809.0	88.25542563981344	3.0	-0.28403360599626803	0.100847702491146
taxid1276	0.938083151964686	0.938083151964686	0.4322376870047302	2.764601535159018	sphere	Kytococcus sedentarius	Kytococcus	Kytococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000023925	2785024.0	71.63	2624.0	90.74205464656679	2.0	-0.33842266784026503	0.12361466795880498
taxid1280	1.0	1.0	0.5235987755982988	3.1415926535897927	sphere	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G001456215	2709797.0	32.89	2512.0	83.78742023849018	5.0	-0.667860242279865	0.260861896238755
taxid1282	0.8660254037844386	0.8660254037844386	0.34008738079391576	2.3561944901923444	sphere	Staphylococcus epidermidis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	N6905	2408837.0	31.94	2284.0	83.45154872551758	0.0	-0.5322950930733971	0.209035710410087
taxid1309	0.6708203932499369	0.6708203932499369	0.15805833144841633	1.413716694115407	sphere	Streptococcus mutans	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	species	N7689	1811946.5	36.985	1761.0	86.92654906008819	0.0	-0.49031840944088806	0.213355190793219
taxid1311	0.4472135954999579	0.4472135954999579	0.046832098206938184	0.6283185307179586	sphere	Streptococcus agalactiae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	species	G000007265	2160267.0	35.65	2106.0	87.79150910512449	7.0	-0.770767409635859	0.29395507648115804
taxid1314	0.7745966692414834	0.7745966692414834	0.2433467205584167	1.8849555921538759	sphere	Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	species	N9653	1648050.0	38.105000000000004	1754.5	86.74351234399172	3.0	-0.884928576693692	0.3223112005050275
taxid1328	0.75	0.75	0.22089323345553236	1.7671458676442586	coccus-shaped	Streptococcus anginosus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	species	G000463505	2233640.0	38.23	2190.0	88.24040579502515	4.0	-0.861382281831567	0.31962519810887796
taxid1381	1.5491933384829668	0.7745966692414834	0.6083668013960418	3.7699111843077517	rods	Atopobium minutum	Atopobium	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	species	N2655	1718724.0	48.709999999999994	1590.5	90.21522412781674	2.0	-0.5766874880070499	0.19738813200368002
taxid1382	0.4242640687119285	0.4242640687119285	0.039985946443425305	0.5654866776461628	coccus	Lancefieldella parvula	Lancefieldella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	species	N2961	1550444.0	48.36	1348.5	88.58489744684665	1.0	-0.6137442069275121	0.2106573205496155
taxid1390	2.32379000772445	0.7937253933193772	1.018901256745978	5.794514144646295	rod-shaped	Bacillus amyloliquefaciens	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	N9016	3906472.5	46.415	3794.0	89.47278674593969	0.5	-1.1777709955242401	0.39682468041311647
taxid1392	5.47722557505166	1.224744871391589	5.971748174427963	21.074444193122183	rod	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	N8055	5227978.0	35.38	5472.5	84.2481926088287	11.0	-0.918992122630215	0.3431895195148525
taxid1411	3.5	0.7	1.2571606602115153	7.6969020012949905	rod-shaped	Alkalihalobacillus akibai	Alkalihalobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G000513135	4740369.0	37.02	4916.0	84.34742105519635	1.0	-0.6475861977613161	0.244689781955886
taxid1418	4.5	0.7	1.6420057602762648	9.896016858807847	rod-shaped	Caldalkalibacillus mannanilyticus	Caldalkalibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G000615945	4534596.0	39.61	4866.0	89.0301363120331	1.0	-0.606645800169571	0.23313130223523798
taxid1423	3.464101615137755	1.0	2.4588996585521765	10.882796185405306	rod	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	N8423	4168037.0	43.4	4235.0	88.87254241630957	1.0	-1.0343046997263001	0.362634297727748
taxid1426	4.58257569495584	0.7745966692414834	2.0378145603896534	11.151547670782113	rod-shaped	Parageobacillus thermoglucosidasius	Parageobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G001295365	3873116.0	43.89	3773.0	83.78602654813335	10.0	-0.44440525575390294	0.17719712498714302
taxid1449	1.307669683062202	0.3872983346207417	0.13884703507623547	1.5910856447342554	rod-shaped	Amphibacillus xylanus	Amphibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G000307165	2569486.0	35.72	2403.0	84.88312448481912	6.0	-0.38798151940181397	0.161428675971387
