taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	kingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime	hash
taxid147	15.811388300841891	0.3	1.1105725964314843	14.901882398694156	helical	Spirochaeta aurantia	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N949	2516433.5	61.400000000000006	2270.5	94.2261578512547	2.0	-0.0507294052662155	0.0232046342126976	1.5
taxid148	41.7473652557061	0.2449489742783178	1.9630087556246016	32.1258457310467	helical	Sediminispirochaeta bajacaliforniensis	Sediminispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	G000143985	4653970.0	48.97	4288.0	93.30079480529528	2.0	-0.110158033651017	0.0441712240454097	1.81
taxid149	21.213203435596427	0.4	2.6489746020758744	26.657297628950204	helical	Spirochaeta halophila	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N949	2516433.5	61.400000000000006	2270.5	94.2261578512547	2.0	-0.0507294052662155	0.0232046342126976	0.48
taxid150	12.247448713915894	0.4	1.5223046353750915	15.39059796194237	helical	Spirochaeta isovalerica	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N949	2516433.5	61.400000000000006	2270.5	94.2261578512547	2.0	-0.0507294052662155	0.0232046342126976	0.71
taxid151	6.2048368229954285	0.4472135954999579	0.9512374398888244	8.717565823576441	helical	Oceanispirochaeta litoralis	Oceanispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	family	N769	3445611.5	56.625	2933.0	92.79106131371033	2.0	-0.11467652270312051	0.0478183767558875	1.24
taxid152	25.980762113533157	0.2449489742783178	1.2204669213676111	19.99297322171265	helical	Treponema stenostreptum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N952	2830702.0	48.715	2561.0	91.25057008033882	1.0	-0.1957309160594985	0.0788657794925122	1.16
taxid154	28.28427124746191	0.22360679774997896	1.107793728401658	19.869176531592203	helical	Spirochaeta thermophila	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	N949	2516433.5	61.400000000000006	2270.5	94.2261578512547	2.0	-0.0507294052662155	0.0232046342126976	1.24
taxid156	11.31370849898476	0.26457513110645897	0.6171550188276325	9.403810686831198	helical	Treponema zuelzerae	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N952	2830702.0	48.715	2561.0	91.25057008033882	1.0	-0.1957309160594985	0.0788657794925122	1.34
taxid158	8.289525201649111	0.1773816942221055	0.20336246991638102	4.619429330939323	helical	Treponema denticola	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000008185	2843201.0	37.87	2578.0	91.79931352021894	2.0	-0.217862977038096	0.0989929762808683	1.57
taxid159	4.69041575982343	0.28284271247461906	0.2887836699493171	4.167793630437726	helical	Brachyspira hyodysenteriae	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria	species	G001676785	3074045.0	27.04	2670.0	87.28017969808509	1.0	-0.226028412068488	0.139544261566126	0.04
taxid160	10.95445115010332	0.15540120384668107	0.2067798967193108	5.348042803869422	helical	Treponema pallidum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000008605	1138011.0	52.78	1009.0	92.47344709321793	2.0	-0.0842534976969347	0.0350896395704454	1.45
taxid162	9.486832980505136	0.31622776601683805	0.7368152963798776	9.424777960769381	helical	Treponema phagedenis	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000513775	3250767.0	39.97	2796.0	83.2306344933365	2.0	-0.0735281147399649	0.0322965761485405	1.0
taxid163	10.95445115010332	0.2449489742783178	0.5123686993686073	8.429777677248868	helical	Treponema bryantii	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	N2729	3309485.0	39.97	2867.0	92.90818964301715	0.0	-0.423079106311413	0.15666776339990698	0.38
taxid164	10.246950765959596	0.2898275349237888	0.669653009827062	9.33005417013257	helical	Treponema pectinovorum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N952	2830702.0	48.715	2561.0	91.25057008033882	1.0	-0.1957309160594985	0.0788657794925122	1.94
taxid165	15.491933384829665	0.648074069840786	5.039021665938965	31.541339914940327	helical	Treponema saccharophilum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000255555	3453898.0	53.18	2837.0	88.33810378882063	1.0	-0.7466902482085909	0.284573822895406	0.25
taxid167	5.656854249492381	0.3	0.39279088096367604	5.33145952579004	helical	Treponema succinifaciens	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000195275	2897425.0	39.13	2753.0	90.0514077154715	4.0	-0.37230726093135497	0.153254817404854	1.36
taxid172	8.48528137423857	0.10000000000000002	0.06638144468457634	2.6657297628950194	rod	Leptospira biflexa	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	G000017685	3951448.0	38.89	3693.0	93.30270827301788	2.0	-0.26373628994632503	0.126391176024654	0.14
taxid173	10.360080256445404	0.10000000000000002	0.08110082979057741	3.2547152024249546	rod	Leptospira interrogans	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	N1848	4620652.5	35.0	4052.0	76.31694239168212	1.0	-0.1690688213412585	0.0852939393085334	1.36
taxid174	8.48528137423857	0.10000000000000002	0.06638144468457634	2.6657297628950194	rod	Leptospira borgpetersenii	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	G000013945	3931782.0	40.23	3612.0	81.96085133916377	2.0	-0.19122140617762398	0.0903319036339301	1.3
taxid183	16.522711641858304	0.14142135623730953	0.25879766706753005	7.340847364572286	rod	Leptonema illini	Leptonema	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	N592	4475256.0	54.3	4235.0	91.4870086331629	1.0	-0.1767927255979725	0.08595204009546105	1.4
taxid195	0.31622776601683805	0.31622776601683805	0.016557647109660175	0.31415926535897937	sphere/rod	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	N3456	1762969.0	31.34	1953.0	92.73771722032758	2.0	-0.20022621892401302	0.0901821337025599	1.15
taxid197	1.118033988749895	1.118033988749895	0.7317515344834091	3.9269908169872414	sphere/spiral	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	G000509875	1412401.0	30.33	1707.0	92.87610246665078	0.0	-0.121396776185512	0.0613365209688339	0.4
taxid198	1.7320508075688772	0.31622776601683805	0.12775612876273626	1.7207211628636432	rod-shaped	Campylobacter hyointestinalis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	G001643955	1753385.0	33.96	1786.0	91.63612098883014	3.0	-0.24989411454631197	0.102234871252464	1.79
taxid199	4.0	0.7071067811865476	1.4782362655832644	8.885765876316732	spiral	Campylobacter concisus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	G001298465	1840041.0	37.62	1850.0	92.2438684790176	3.0	-0.28807693193091	0.11118506061197199	0.23
taxid204	3.1622776601683795	0.6324555320336759	0.9272282381409694	6.283185307179588	rod-shaped	Campylobacter showae	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	genus	N2178	1751734.0	31.74	1786.0	92.7263059388888	3.0	-0.19202326803295397	0.0874896195899703	1.46
taxid210	3.5355339059327378	0.7071067811865476	1.2958408569628572	7.853981633974483	rod-shaped	Helicobacter pylori	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	N4165	1647774.0	38.86	1562.0	91.27082503914043	2.0	-0.0778440811683325	0.0333553119531761	2.11
taxid287	7.4154433448041415	0.6587867636800242	2.45279683576658	15.347295621083546	rod-shaped	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N6276	5045115.0	62.165000000000006	4601.5	89.02287347525258	4.0	-0.665008983716977	0.2459643882670585	0.32
taxid294	2.23606797749979	0.5	0.4063259972151518	3.5124073655203647	rod	Pseudomonas fluorescens	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N6276	5045115.0	62.165000000000006	4601.5	89.02287347525258	4.0	-0.665008983716977	0.2459643882670585	0.6
taxid305	1.5	0.5	0.2617993877991494	2.3561944901923453	rod	Ralstonia solanacearum	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000009125	5810922.0	66.98	5062.0	87.48269207537119	4.0	-0.490312215769781	0.1905470490436	1.16
taxid316	1.7320508075688772	0.5	0.3073624573190221	2.7206990463513265	rod	Pseudomonas stutzeri	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N9190	4547930.0	62.96	4197.0	89.69861659406618	1.0	-0.49671792581002705	0.19600228487503898	2.15
taxid317	1.5	0.916515138991168	0.7880494799516908	4.318975841337722	rod	Pseudomonas syringae	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000012245	6093698.0	59.23	5207.0	88.02088649618015	5.0	-0.6519490670990021	0.2379523083875	2.06
taxid346	1.7320508075688772	0.6123724356957945	0.4500115479020361	3.3321622036187737	rod	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N9166	4965572.0	63.69	4831.0	85.45315894525577	2.0	-0.334073137380726	0.133033504092219	1.22
taxid347	1.1832159566199232	0.5291502622129179	0.22141403886860744	1.9669481246914031	rod	Xanthomonas oryzae	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000007385	4941439.0	63.69	4831.0	85.11399209825315	2.0	-0.32158054484165	0.12423441202761698	1.28
taxid384	1.43	0.84	0.6373034857072254	3.7736810954920585	rod	Rhizobium leguminosarum	Rhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	N10293	6903379.0	60.12	6617.0	86.57964955703571	3.0	-0.5202168329995239	0.17566695695663298	1.39
taxid436	2.449489742783178	0.14142135623730953	0.03773601441516288	1.0882796185405308	rod-shaped	Komagataeibacter hansenii	Komagataeibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000164395	3636659.0	59.5	3145.0	86.11219803671447	1.0	-0.30226651240256397	0.11003523255565	0.69
taxid446	1.55	0.7	0.5067127150852536	3.4086280291449262	ovoid-shaped	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N7894	3436178.0	38.27	3077.0	88.58077964663876	1.0	-0.15046290136184803	0.0679806068120132	1.51
taxid485	0.7745966692414834	0.7745966692414834	0.2433467205584167	1.8849555921538759	sphere	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000006845	2153922.0	52.69	2142.0	83.31778030959339	4.0	-0.7239648871894241	0.29299011147744203	0.71
taxid487	0.9486832980505138	0.9486832980505138	0.4470564719608244	2.827433388230814	sphere	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000008805	2272360.0	51.53	2107.0	82.05931278494604	4.0	-0.620942481440344	0.25755456338458	0.18
taxid520	0.8	0.4	0.08377580409572784	1.005309649148734	rod	Bordetella pertussis	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000195715	4086189.0	67.72	3888.0	90.43869483276472	3.0	-0.499264517082545	0.21974665109605104	1.37
taxid521	1.4142135623730951	0.4472135954999579	0.1987280978044492	1.9869176531592203	rod-shaped	Bordetella avium	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N7451	4692555.5	67.39	4354.0	90.56208414210602	3.0	-0.5204682677370596	0.22583154071180603	1.21
taxid536	1.75	0.4	0.20315632493214	2.1991148575128547	rod-shaped	Chromobacterium violaceum	Chromobacterium	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000007705	4751080.0	64.83	4298.0	88.58223814374838	8.0	-0.9574184158706079	0.338231218840828	0.31
taxid550	7.372923436466705	0.6	2.0280963215489267	13.897633262090284	rod	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000025565	5598796.0	54.58	5457.0	88.99650924948864	8.0	-0.882708817610514	0.29632888041829497	0.29
taxid562	2.85	0.65	0.8738209066266112	5.819800390775093	rod-shaped	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N10459	5013473.5	50.65	5012.0	87.77891223114793	7.0	-0.8114051628013614	0.2812897228028095	1.01
taxid573	2.0	0.5	0.3599741582238304	3.1415926535897927	rod	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000240185	5682322.0	57.12	5455.0	87.70896827036553	8.0	-1.1297743960514	0.348256244380596	0.58
taxid615	1.3416407864998738	0.6324555320336759	0.3552582954238029	2.66572976289502	rod	Serratia marcescens	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000513215	5113802.0	59.51	4680.0	87.64093721266487	7.0	-1.19416214956093	0.3799505295619679	0.01
taxid666	3.07408522978788	0.3794733192202055	0.3333650415760313	3.6647725262289335	rod	Vibrio cholerae	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000006745	4033464.0	47.49	3594.0	86.53316355370968	8.0	-0.965386001004989	0.33447194399382896	0.06
taxid670	1.833030277982336	0.6324555320336759	0.5096328570730556	3.6420802180984566	rod	Vibrio parahaemolyticus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N10175	5168910.0	45.245	4799.0	86.56620387759168	5.5	-0.9302470538307965	0.299523010049481	2.3
taxid672	3.0000000000000004	0.7	1.0647381101791404	6.5973445725385655	rod	Vibrio vulnificus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000009745	5260086.0	46.68	4639.0	87.03524999401152	9.0	-1.15377292495158	0.362032342535	1.86
taxid727	1.0	0.3	0.0636172512351933	0.942477796076938	oval	Haemophilus influenzae	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N9432	1890764.5	38.144999999999996	1865.0	88.93274340052854	3.5	-0.5429843162693064	0.2220189655683285	0.83
taxid747	0.8660254037844386	0.3535533905932738	0.07345183754702489	0.961912372621398	oval	Pasteurella multocida	Pasteurella	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000754275	2271840.0	40.35	2077.0	88.95481195858864	6.0	-0.583202487045008	0.22617287360892496	0.53
taxid781	1.095445115010332	0.4	0.12090253220994587	1.376576930290914	rod-shaped	Rickettsia conorii	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000007025	1268755.0	32.44	1435.0	80.68602685309617	1.0	-0.0673006632026363	0.0322911616901101	0.91
taxid813	0.5477225575051662	0.5477225575051662	0.08603605814318219	0.9424777960769384	spherical	Chlamydia trachomatis	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria	species	N2451	1040680.5	41.32	896.5	90.06538704629563	2.0	-0.0916798494236173	0.04454056930288105	2.26
taxid826	4.898979485566356	0.3872983346207417	0.5619382535379379	5.960752959477659	rod	Sebaldella termitidis	Sebaldella	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	G000024405	4486650.0	33.38	4202.0	86.50877603557221	4.0	-0.293842382832431	0.13964820644689901	0.74
taxid849	1.4491376746189435	0.5291502622129179	0.2798932789673064	2.4090096280091	spheroid	Fusobacterium gonidiaformans	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	genus	N151	2459939.0	33.84	2386.0	90.94059556597028	1.0	-0.39103156650088505	0.16972294517691597	2.16
taxid851	3.0000000000000004	0.5291502622129179	0.620945717137548	4.9871237292396495	rod	Fusobacterium nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	N755	2174500.0	26.99	2022.0	90.88916992412048	5.0	-0.199716917860841	0.0967617621820106	0.75
taxid852	0.8944271909999159	0.6928203230275509	0.2501287376067124	1.9467737644673333	oval	Fusobacterium perfoetens	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	G000622245	2103008.0	25.97	1949.0	90.94059556597028	1.0	-0.345985275056437	0.18545787530206603	1.47
taxid855	6.324555320336758	0.5291502622129179	1.3520536170951452	10.513779971646773	spindle	Fusobacterium simiae	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	genus	N151	2459939.0	33.84	2386.0	90.94059556597028	1.0	-0.39103156650088505	0.16972294517691597	0.88
taxid856	1.1832159566199232	0.458257569495584	0.16995805849755022	1.7034270439089167	rod	Fusobacterium varium	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	genus	N151	2459939.0	33.84	2386.0	90.94059556597028	1.0	-0.39103156650088505	0.16972294517691597	0.87
taxid858	2.449489742783178	0.7483314773547882	0.9676307326562682	5.7586344551169635	rod	Fusobacterium necrogenes	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	genus	N151	2459939.0	33.84	2386.0	90.94059556597028	1.0	-0.39103156650088505	0.16972294517691597	0.04
taxid859	1.8	0.5916079783099616	0.4405919306518683	3.345464301234634	rod	Fusobacterium necrophorum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	N443	2459180.5	34.06	2362.0	91.1689851325242	1.0	-0.3927965021936175	0.17001577401316648	0.36
taxid860	5.2915026221291805	0.7071067811865476	1.9854081593048882	11.754763358538995	rod	Fusobacterium periodonticum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	species	G000158215	2546312.0	28.05	2386.0	90.31026048653895	3.0	-0.258875956055556	0.122192760310191	0.59
taxid873	3.5	0.5	0.6544984694978736	5.497787143782138	vibrio-shaped	Desulfocurvibacter africanus	Desulfocurvibacter	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria	species	G000212675	4200534.0	61.42	3785.0	85.1987390174678	3.0	-0.14953689808270199	0.0711987511484967	0.07
taxid927	1.224744871391589	0.3872983346207417	0.12907768585830864	1.490188239869415	rod-shaped	Halothiobacillus neapolitanus	Halothiobacillus	Halothiobacillaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000024765	2582886.0	54.71	2416.0	89.93997412197054	2.0	-0.30949485852402897	0.134931154528443	1.59
taxid940	2.449489742783178	0.3872983346207417	0.2733645417515184	2.98037647973883	rod-shaped	Hydrogenobacter thermophilus	Hydrogenobacter	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria	species	N2767	1743033.5	44.0	1903.5	96.89960123433052	1.0	-0.02567432129178835	0.0100909571241698	0.37
taxid979	2.7386127875258306	0.5656854249492381	0.6408977138051014	4.8669344111683355	rod-shaped	Cellulophaga lytica	Cellulophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000190595	3765936.0	32.11	3303.0	91.38046955657238	4.0	-0.227453823495087	0.10719390227811501	2.3
taxid983	3.1622776601683795	0.5916079783099616	0.8150675609686346	5.877381679269497	rod-shaped	Flavobacterium flevense	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	genus	N8152	3800950.0	34.599999999999994	3342.0	89.96040755237209	1.0	-0.493533747393993	0.2033681146209545	0.08
taxid986	4.743416490252568	0.34641016151377546	0.4361736757754192	5.1621634885909256	rod-shaped	Flavobacterium johnsoniae	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000016645	6096872.0	34.11	5199.0	88.14816843784813	6.0	-0.541145997786981	0.22135490709504801	2.43
taxid991	4.743416490252568	0.5291502622129179	1.004343027792282	7.885334978735076	rod-shaped	Flavobacterium hydatis	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000737695	5877671.0	32.66	5067.0	87.56167196156437	1.0	-0.396240526967704	0.170406429665787	0.01
taxid996	5.47722557505166	0.3872983346207417	0.6300612660389651	6.66432440723755	rod-shaped	Flavobacterium columnare	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000240075	3162432.0	31.46	2734.0	86.85938543500698	5.0	-0.5412468219344979	0.224669096075255	1.18
taxid1063	1.7320508075688772	1.3416407864998738	1.8163958159225289	7.3004016167525005	ovoid-shaped	Cereibacter sphaeroides	Cereibacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	species	N8868	4580052.0	68.51	4427.5	88.52490448333502	3.5	-0.2955236496592955	0.12506278568528298	0.98
