taxid	length	width	volume	surface	family	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
txid2178	1.7320508075688772	0.34641016151377546	0.15235914659567426	1.884955592153876	Methanothermaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	family	G000166095	1243342.0	31.64	1318.0	94.48293389912027	2.0	-0.0302509380224745	0.0143804581235767
txid2183	1.4142135623730951	1.4142135623730951	1.4809609793861225	6.283185307179588	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	family	N356	1720048.0	32.8	1727.0	86.37172505685024	2.0	-0.45101006245118397	0.21104019201108198
txid2206	1.1600690042697237	1.1600690042697237	0.817429094921494	4.227830026901243	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	family	N834	4049464.0	41.61	3469.0	75.77737777737434	1.0	-0.227105127378535	0.0963424288688114
txid2232	2.2	0.4	0.2597049926967563	2.7646015351590183	Archaeoglobaceae	Archaeoglobales	Archaeoglobi	Euryarchaeota	Archaea	family	N263	2027697.0	43.69	2288.5	91.58233249068479	0.5	-0.06883981298483945	0.029326203550604
txid2259	1.15	1.15	0.7963282878380625	4.1547562843725006	Thermococcaceae	Thermococcales	Thermococci	Euryarchaeota	Archaea	family	N69	1954027.5	44.665	2129.0	91.78819779242181	1.0	-0.3540610184663945	0.13581315205292
txid2267	5.885661912765424	0.5802531803146307	1.4946453673865732	10.729085684655496	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	family	N471	2077567.0	48.47	2417.0	89.3636563768896	1.0	-0.049689457405528	0.0160429701218731
txid2307	1.0355052539420049	0.5375873648797165	0.17933547560102533	1.7488446477730908	Pyrodictiaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	family	N1648	1755215.0	54.405	1932.5	87.9208093615122	1.0	-0.164191298869316	0.06806691335987575
txid28056	1.0835873995636014	0.5961401575554759	0.2437030196008877	2.029374490517689	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Bacteria	family	N3999	8360800.0	71.09	7958.0	89.37597450676472	2.0	-0.266478603552869	0.10135283204736
txid28256	1.8264736788681275	0.7112339104346129	0.6231622749383108	4.081085989824413	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria	family	N7128	3750691.0	59.06	3488.0	89.75624512788029	1.0	-0.34335711116932804	0.15103256631404002
txid31953	1.9502402532610352	0.6951645776485121	0.6331056372904547	4.259176358690091	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	family	N4737	2092884.0	59.305	1691.5	86.88472023831355	2.0	-0.472591509764536	0.1722016737623785
txid31957	1.1053434308146153	0.6841398408198909	0.3049334464220654	2.375702143200765	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	family	N4004	2964110.5	67.85499999999999	2639.0	89.9529567477418	1.0	-0.31191291908953955	0.11349233796914798
txid31977	0.7277645464270726	0.5709367862549524	0.13577488901965465	1.3053554706354729	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria	family	N931	1971402.0	45.35	1864.0	87.52985295048418	1.0	-0.534126807173154	0.200118508432823
txid31989	1.5880834394628798	0.6748988480490404	0.4784036399753988	3.36714544668715	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N6192	3921814.5	64.67	3884.0	90.16152953313667	1.0	-0.32153255063363645	0.13553622051146852
txid32011	1.3908836687549284	0.3726457944336756	0.13624625042781174	1.6283093055072049	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria	family	N3863	2900280.5	46.93	2725.5	90.48861154681997	2.0	-0.457544196865057	0.1870954993402135
txid32033	1.722953093011426	0.4785035330883846	0.2780550170096418	2.590051952943429	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	family	N5794	3503106.0	67.475	3141.5	89.34453781603646	1.0	-0.280260766669997	0.107860968117478
txid33925	0.410773182286208	0.3336937523709218	0.0247515817779686	0.4306257848720552	Entomoplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria	family	N3739	1022566.0	30.06	1922.0	68.77857875861669	1.0	-0.252430493433837	0.12133989369804599
txid33958	2.660234551083532	0.7599181786001717	1.0649521947487368	6.350919913123287	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	family	N3758	1983655.0	40.11	2061.0	87.84757512059116	1.0	-0.6162778382429459	0.2316515020842715
txid41294	2.744485103070817	0.7860536338501567	1.1846880553734076	6.7773970647924395	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N9142	6793945.0	63.29	6732.0	85.76679949156242	1.0	-0.26906556303303597	0.103165087717456
txid41295	3.038918018182131	0.6847573630240207	1.0130903037329684	6.5374076612093175	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N5318	4328223.5	64.91499999999999	3862.5	89.03071443763719	1.0	-0.28562062021530954	0.1226193161065735
txid45401	2.371222635054651	0.9210425122388258	1.3684954682134909	6.861228468434295	Hyphomicrobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N6199	3969942.0	62.25	3671.0	87.64639382640854	1.0	-0.20492997994264397	0.0725761690505485
txid45404	2.0388530744973314	0.734135169260655	0.7451721243203682	4.7023162393374855	Beijerinckiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N8875	4270439.0	60.44	3874.5	84.67383139615477	1.5	-0.1527444312604325	0.06672416418203644
txid49546	2.271900868797052	0.453163727677028	0.3366677057134166	3.2344049346374897	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	family	N6134	3819763.0	35.5	3429.0	90.29981488534405	1.0	-0.330980267965289	0.14853278679114998
txid53434	9.219544457292887	0.648074069840786	2.8861183306216525	18.770851795240677	Halobacteroidaceae	Halanaerobiales	Clostridia	Firmicutes	Bacteria	family	N584	2767037.0	33.44	2693.0	87.82997758019869	1.0	-0.12224930070076499	0.0628845155986841
txid64898	2.533780910013467	0.411372263514311	0.3185009449407923	3.2745674370910227	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria	family	N1884	1559514.0	44.0	1636.0	96.54111163895487	1.0	-0.0290950626553603	0.0137921062583884
txid68298	3.949311129933685	0.490909125335733	0.7135050010636712	6.09077178129175	Syntrophomonadaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	family	N1554	2572237.0	45.459999999999994	2546.0	87.19638390782838	1.0	-0.04533380578810155	0.02284022412522975
txid69657	1.6049261846250231	0.5698375301958939	0.353761965871726	2.873134680665831	Hyphomonadaceae	Hyphomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N6195	3618770.0	59.93	3503.0	91.30618973625229	1.0	-0.419510347042592	0.160072110258317
txid72276	3.3480908371877933	0.5155756920464333	0.6482333287446835	5.422999175780302	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria	family	N4246	3359675.0	64.42	3177.0	90.48542954336216	1.0	-0.143158380763539	0.0590337394808917
txid72293	4.0511851967299295	0.665378247633105	1.3229639473891377	8.468384502141808	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	family	N1621	1809093.0	38.765	1789.0	91.28463383268718	2.0	-0.09646989411235848	0.04345376241280715
txid72294	1.6313295559979217	0.4358233933346712	0.21338655517029484	2.233583101253868	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	family	N1888	1807760.5	33.54	1908.5	93.29019383778174	2.5	-0.2057831033149295	0.09042113603776535
txid75682	1.8716401226312844	0.6935606645720545	0.6124218182195107	4.0780887544986895	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	family	N4968	5609999.5	61.144999999999996	4975.5	88.52713429550818	1.0	-0.6894857294752165	0.26640622733821906
txid75787	1.518305521557238	0.3921179863229191	0.1668060093492577	1.870362591855656	Rhodocyclaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria	family	N4962	5818755.0	65.03	5178.0	90.40808925709034	4.0	-0.347022770196257	0.15224110048522
txid76892	1.905045038380448	0.5579978337517342	0.4152297062698879	3.3395475627860374	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N5754	4042929.0	67.42	3724.0	90.22780821513014	1.0	-0.41155648041157	0.147070974628571
txid80864	1.6396170604226732	0.6121397138889739	0.4149108695498909	3.1531371214625064	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	family	N5358	4585682.0	65.5	4148.0	90.67019776031424	1.0	-0.351500160367953	0.14241689993183299
txid81852	1.0592640828253197	1.0124956546943482	0.5789930022220547	3.369359003870755	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	family	N4487	2904787.0	37.83	2758.0	87.3496911249634	3.0	-0.722281691340575	0.267089209746249
txid82115	1.7935943475571197	0.5699768275401915	0.4042350603703059	3.211672839857544	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N9986	5739470.5	59.435	5485.0	86.81868438224126	3.0	-0.46889476338276653	0.16268786922113002
txid83676	0.9333704237308168	0.4881560152060619	0.1430519648979456	1.431405075796327	Nocardiopsaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Bacteria	family	N4006	5978026.0	71.02	5597.0	85.65067431483706	1.0	-0.3081247352163085	0.1080350151377315
txid83763	3.1	0.95	1.9728874615309155	9.251990364821939	Succinivibrionaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	family	N5002	2861669.0	39.65	2374.0	86.14848334639186	1.0	-0.8208631352464971	0.274698089431434
txid83778	1.239665540532398	1.0358989814322277	0.7399386858598059	4.034333605374323	Kineosporiaceae	Kineosporiales	Actinomycetia	Actinobacteria	Bacteria	family	N3314	4956672.0	74.25	4708.0	89.89565541824898	2.0	-0.25833785337251103	0.09113112879478599
txid84107	1.6507226655885423	0.5946035575013605	0.4031482705080664	3.0835535181598077	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	family	N1546	2234797.0	60.39	1900.0	86.68150572232989	1.0	-0.660651552270694	0.21961055219797002
txid84566	1.6784267288084809	0.5333380810231241	0.3300215268118194	2.8122560106844063	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria	family	N5267	5360390.0	40.44	4818.0	89.14569340796258	1.0	-0.5969891175746764	0.24226505897030648
txid84642	1.9519615753448	0.7229024597501916	0.6980315342919402	4.433031726007608	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	family	N6721	4337245.0	59.18	4075.0	88.08019837477477	1.0	-1.0181890145074999	0.32354846057880393
txid85002	2.1213203435596424	1.224744871391589	2.018165466403381	8.162097139053978	Sphaerobacteraceae	Sphaerobacterales	Thermomicrobia	Chloroflexi	Bacteria	family	N2351	3940934.0	65.33500000000001	3873.0	84.97521035280216	1.5	-0.0512413518212155	0.0218016452979835
txid85015	1.4689056786354793	0.5441479120665044	0.29012323108115795	2.511081159416501	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	family	N4357	4407722.0	71.44	4226.0	92.41183023879124	1.0	-0.24326217955959	0.0993347935859936
txid85016	1.8347895697102965	0.598439850351298	0.4523007751401781	3.4495039054161376	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	family	N5109	3971656.5	73.495	3694.5	90.76200064216422	1.0	-0.25410848184476	0.0965344338295788
txid85017	0.9823297926144496	0.6029062680706443	0.21778050056596296	1.8606170118694452	Promicromonosporaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	family	N5520	4016749.5	72.575	3629.0	91.30335352181426	1.0	-0.30576618592327653	0.1169785457056165
txid85018	2.449489742783178	2.449489742783178	7.695298980971184	18.849555921538755	Dermatophilaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	family	N4723	3693436.0	70.45	3227.0	88.72285086678232	1.0	-0.26896282812121497	0.09414797933300935
txid85019	1.3567598397129186	0.6350058081146843	0.3534238267876719	2.7066403395871794	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	family	N4011	3664641.0	64.16	3231.0	90.57868555813594	1.0	-0.307971288820341	0.11164976191706501
txid85020	1.0279672663129016	0.7923651672009738	0.3681189508070994	2.5589071851159746	Dermabacteraceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	family	N3663	3224472.5	71.045	2902.0	90.10597177369439	1.5	-0.2376509306170475	0.10749333382122342
txid85022	1.7711531053497365	0.4966097133897474	0.3071510371015344	2.7632564183357884	Jonesiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	family	N5519	3024033.5	59.925	2736.0	90.53279694510547	2.5	-0.49613356473693204	0.16196833646361547
txid85023	1.2360739849764482	0.44947431619462186	0.16886926638117528	1.7454170708429046	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	family	N3662	3471800.0	69.54	3262.0	91.85985741471865	1.0	-0.34837521604592897	0.12228598489858801
txid85026	1.1414719010058842	0.5070456378343473	0.1915611497663276	1.8182858064965333	Gordoniaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	family	N5922	4934225.0	67.555	4559.0	91.18100847437053	1.0	-0.3082819205124045	0.1109413336642825
txid85028	2.9072085728648633	0.8434326653017492	1.4650404990087504	7.703294121954203	Tsukamurellaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	family	N5482	4491563.0	69.76	4351.5	92.8202790428659	1.5	-0.370638128512972	0.12937542208860953
txid85029	1.4832396974191326	1.095445115010332	1.0537762485046795	5.1044838738971325	Dietziaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	family	N4350	3505372.0	69.49	3300.0	90.29709257676504	1.0	-0.2699379242339	0.101922447756995
txid85030	1.4581343067485213	1.0666142563460326	0.9569749454511076	4.886014876544574	Geodermatophilaceae	Geodermatophilales	Actinomycetia	Actinobacteria	Bacteria	family	N3651	4914496.0	73.815	4703.5	90.7430963444236	1.0	-0.201293208864152	0.07528361035627909
txid85031	1.2765575633606778	0.9061739875158198	0.6112775980078948	3.6341417835074807	Nakamurellaceae	Nakamurellales	Actinomycetia	Actinobacteria	Bacteria	family	N3309	5940579.0	69.93	5283.0	90.73247604542969	1.5	-0.22068691404095953	0.08491288247013365
txid85032	10.000000000000002	0.4	1.2398819006167718	12.56637061435917	Acidothermaceae	Acidothermales	Actinomycetia	Actinobacteria	Bacteria	family	G000015025	2443540.0	66.91	2200.0	90.2135017229102	1.0	-0.105380982045404	0.0437917442293465
txid85033	3.0926777901782696	0.4188568541790524	0.39584531523228106	4.069585477579361	Sporichthyaceae	Sporichthyales	Actinomycetia	Actinobacteria	Bacteria	family	G000384115	5500153.0	71.41	5201.0	91.82362745181815	1.0	-0.16591648170199302	0.0587765860560986
txid88404	0.4349118552081964	0.4349118552081964	0.043072726251179534	0.5942269782077136	Methanocorpusculaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	family	N371	1824805.5	51.96	1922.5	89.01669824614588	0.5	-0.416082667270726	0.16079272899918098
txid89374	3.8720147370667273	0.6971768444093576	1.3891335459157963	8.48066344485462	Saprospiraceae	Saprospirales	Saprospiria	Bacteroidetes	Bacteria	family	N5263	4495250.0	46.06	3570.0	83.39403911426452	3.0	-0.5903871813590621	0.252459643230899
txid90627	1.43	0.29	0.08806931405563384	1.3028184734436872	Gallionellaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria	family	N4229	1737255.0	59.295	1978.0	91.71085785313392	1.5	-0.252360642052027	0.10209937157148916
txid90964	1.1207373686511946	1.1207373686511946	0.7370724536499749	3.9460045195264977	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	family	N3046	2541845.0	33.12	2420.0	85.07872070229115	1.0	-0.559634916598558	0.22472920048241102
txid92712	1.3273374412771697	1.3273374412771697	1.2244545165144791	5.534935481076929	Simkaniaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria	family	G000237205	2628375.0	41.6	2356.0	90.82528178056783	1.0	-0.0943577814853904	0.0472436280467146
txid92713	0.5536458913036575	0.5536458913036575	0.08885765876316731	0.9629728332736603	Parachlamydiaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria	family	N3072	2827665.5	38.415	2418.5	86.72763128130302	1.5	-0.1910481214214075	0.0929558429048622
txid92714	0.31622776601683805	0.31622776601683805	0.016557647109660175	0.31415926535897937	Waddliaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria	family	N3071	2121811.5	43.78	1965.5	93.79543867082111	1.5	-0.07805441254636955	0.03782497070875625
txid114378	10.000000000000002	0.229128784747792	0.4091847825660182	7.198293068896202	Thermofilaceae	Thermofilales	Thermoprotei	Crenarchaeota	Archaea	family	N351	1752224.5	47.224999999999994	1893.5	90.4827187274311	1.0	-0.137707003302065	0.05773661289335476
txid117942	1.7368487567540067	0.5425826830234938	0.3582048587077918	2.9605868348728586	Desulfurellaceae	Desulfurellales	Deltaproteobacteria	Proteobacteria	Bacteria	family	N1153	1742311.0	37.03	1737.0	95.1824240047651	2.0	-0.0706865220911723	0.0257952888290907
txid118882	1.1031362714339747	0.6112937691443083	0.2625645678245183	2.1185026243743867	Brucellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N10169	4673590.0	53.84	4768.5	87.29126252728344	2.0	-0.5882038335855075	0.203325251963008
txid118883	1.0996977297284891	1.0996977297284891	0.6963356140893181	3.7992382557409146	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	family	N799	2223173.5	36.71	2401.5	88.05134479549176	1.0	-0.0601120201579516	0.0210095436427054
txid119045	2.6303592273417262	0.9808701585876092	1.72263727864455	8.105437450897632	Methylobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N9367	6472445.0	69.36	6504.0	85.51918771732055	1.0	-0.260662983666878	0.0909743466920886
txid119060	1.5215672256253752	0.5913368273371685	0.3609667809225232	2.8266754343344846	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	family	N4969	6295596.0	63.655	5717.5	87.44877260313233	2.5	-0.46032010573832993	0.18118621740393148
txid134623	0.6251506518108881	0.6251506518108881	0.12792419340073338	1.2277763098879202	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria	family	N2741	4935390.5	63.24	4102.5	88.83722368260464	1.0	-0.343239071758263	0.119276623168797
txid135621	1.8754032165085184	0.6183832236035013	0.4952145823766331	3.6433611927192753	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	family	N6276	5045115.0	62.165000000000006	4601.5	89.02287347525258	4.0	-0.665008983716977	0.2459643882670585
