taxid	length	width	volume	surface	genus	family	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
txid286	1.8754032165085184	0.6183832236035013	0.4952145823766331	3.6433611927192753	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N6276	5045115.0	62.165000000000006	4601.5	89.02287347525258	4.0	-0.665008983716977	0.2459643882670585
txid338	1.4315691227432643	0.5692425097622216	0.3156562598120044	2.5601152703688013	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N9166	4965572.0	63.69	4831.0	85.45315894525577	2.0	-0.334073137380726	0.133033504092219
txid374	2.3198567525225475	0.6880859706539415	0.7556587620113643	5.014801470589274	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N9862	8613869.0	63.29	8152.0	84.82741677766455	1.0	-0.287044707886712	0.10544194437947599
txid379	1.9028601979423048	0.6106254330159299	0.4923512338724486	3.6503259332209437	Rhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N10231	6973926.0	59.845	6608.0	87.21358616341865	1.0	-0.5466015372098575	0.18980651741020801
txid404	1.4186124135047642	0.5785015217038156	0.3216857266785431	2.5782090834796683	Methylobacillus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N4592	3110258.0	54.58	3224.5	89.66353047272433	1.5	-0.537969487920933	0.21101863433186
txid407	2.7620642747102306	1.069457026512089	2.1402641265895994	9.27997895912444	Methylobacterium	Methylobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N9720	7647492.5	70.33500000000001	6994.5	84.22167723253796	6.5	-0.24122069362695353	0.0860054332162607
txid416	2.5	1.25	2.5566346464760685	9.817477042468106	Methylomonas	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N7086	5051681.0	51.66	4813.0	88.84286415299944	3.0	-0.413010265198729	0.18665812781014898
txid429	2.179449471770337	1.019803902718557	1.5025416379366223	6.9825386315710025	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N7475	4988792.0	51.13	4488.0	86.47701841370335	3.0	-0.7400925805626359	0.274995606578581
txid434	1.8806776324239327	0.7380950394588512	0.6748280845995627	4.36090392276358	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N7812	3340249.0	55.64	3156.0	88.81071441081188	1.0	-0.514974343760211	0.188848932214521
txid441	1.4142135623730951	0.8944271909999159	0.7012481948039204	3.9738353063184406	Gluconobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N8198	2491301.0	56.24	2316.0	90.47959279107585	1.0	-0.48615567373247703	0.16910992346862397
txid469	1.07448453799587	0.8259367132468965	0.4227687735791367	2.7880259654722312	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N5831	3449279.5	40.045	3257.5	86.25315776020534	4.0	-0.7685101931583629	0.28520197537618
txid482	0.9334285283717804	0.7621949592607242	0.30089167034052994	2.235100290741006	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N5335	2272360.0	51.35	2157.0	84.33468665887806	1.0	-0.7239648871894241	0.29299011147744203
txid497	1.4895599935375132	0.8590768476137379	0.6946486585317496	4.020128054837997	Psychrobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N5834	3098053.0	42.8	2632.0	83.43511012305166	2.0	-0.4204845969633739	0.164488350875331
txid507	1.75	0.9	0.922450142910303	4.948008429403924	Alcaligenes	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	genus	G000967305	4248684.0	56.83	3832.0	89.5072686036429	3.0	-0.48879313601716995	0.19268461012871899
txid517	1.2624234794600828	0.477176072225849	0.19669222099708086	1.8924900028603888	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N7451	4692555.5	67.39	4354.0	90.56208414210602	3.0	-0.5204682677370596	0.22583154071180603
txid532	3.25	1.0	2.2907446432425576	10.210176124166829	Beijerinckia	Beijerinckiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N9364	4369576.5	57.11	3928.0	83.20488999419366	2.0	-0.156498422912004	0.06912260351258329
txid535	1.9343147231255249	0.5187959817671257	0.37152963114646254	3.15263442760646	Chromobacterium	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N6626	4708174.0	63.72	4274.5	88.57516464937123	1.0	-0.91147491955149	0.324437956823955
txid544	4.4721359549995805	1.4142135623730951	6.284334241347668	19.869176531592203	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N10485	5227599.0	52.695	4994.0	88.63861639892045	7.5	-0.8384222221370146	0.28645872870852046
txid547	3.353152823477478	0.7871958685061722	1.468530285298301	8.292510423591398	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N10377	4921738.0	54.79	4632.5	88.73857150498858	6.5	-0.866411229988374	0.292339231989305
txid551	1.9851434891520083	0.7999674446048034	0.8570990812687926	4.989006729353866	Erwinia	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N10106	4844653.5	54.739999999999995	4592.5	87.62832540557469	1.0	-0.8033098135289375	0.29380787761342153
txid561	2.85	0.65	0.8738209066266112	5.819800390775093	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N10459	5013473.5	50.65	5012.0	87.77891223114793	7.0	-0.8114051628013614	0.2812897228028095
txid570	1.70293863659264	0.5916079783099616	0.4105484794514387	3.1650668977299192	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N10484	5709150.0	55.394999999999996	5385.5	87.72060426325856	8.0	-0.9752350147934895	0.32066136154682745
txid583	1.0	0.5291502622129179	0.18112274563497707	1.6623745764132156	Proteus	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N9436	3897819.5	37.605000000000004	3538.5	85.18289166586976	4.0	-0.75132604681495	0.2739745612070615
txid586	3.2710854467592263	0.6361603571427569	0.9723152671812482	6.5374497506285465	Providencia	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N9622	4402109.0	40.5	4150.0	84.60125617184056	7.0	-0.701450987007959	0.250208959050132
txid590	2.0	0.8660254037844386	1.0080535546992144	5.441398092702653	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	G000195995	5133713.0	51.87	5065.0	86.93386248900161	7.0	-0.883858091393052	0.304094463664543
txid613	1.5826222900655589	0.7599238417485749	0.5894855116836601	3.778306810141389	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N9902	5267389.0	55.33	4887.0	86.77525994173277	7.0	-0.8259356481854008	0.294480618751279
txid626	2.359611061770567	0.7621991222319221	0.947609324036042	5.6501339045807	Xenorhabdus	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N9219	4214574.5	44.76	3726.0	84.69483793634197	7.0	-0.7433606435420841	0.26116862190957046
txid629	1.7	0.7	0.564439480094966	3.738495257771853	Yersinia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N10012	4399336.0	47.62	4330.0	84.47103500935881	1.0	-0.598628003806249	0.22444196018215
txid642	2.2800011521824928	0.7242151485429285	0.8354918125447378	5.1874335192733865	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N7540	4470046.5	60.620000000000005	4187.0	87.19025944489968	5.0	-1.13058201296343	0.349849646583408
txid657	2.2442060144907034	0.968195767322182	1.3989919544509648	6.8261491663953535	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N7542	5078735.0	46.24	4691.0	85.31918767006168	1.0	-1.0336213957893101	0.345958024615087
txid662	1.822322741325883	0.6919992313545339	0.5927433556896086	3.9616926492483366	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N9610	5156544.0	45.035	4651.0	86.65773759335582	5.5	-0.9156343469860926	0.299523010049481
txid724	1.0	0.3	0.0636172512351933	0.942477796076938	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N8958	1997176.0	39.22	1916.0	90.31954229330056	1.0	-0.553435185598665	0.224265735468928
txid745	0.8660254037844386	0.3535533905932738	0.07345183754702489	0.961912372621398	Pasteurella	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	G000262245	2253160.0	36.08	2169.0	89.25251646576366	1.0	-0.543474950829762	0.220607716820016
txid773	1.2728803992068294	0.5121069099588174	0.22667973138521635	2.0478498352658128	Bartonella	Bartonellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N10087	1806441.0	38.21	1586.5	81.4846192504041	2.0	-0.18173428268782998	0.0803530117734753
txid780	1.1762057847982872	0.37837050802802574	0.11710844765453393	1.3981393593369753	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N3846	1323280.0	32.28	1491.0	80.95539757037137	1.0	-0.0651779349869388	0.0322911616901101
txid810	0.5477225575051662	0.5477225575051662	0.08603605814318219	0.9424777960769384	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria	genus	N1867	1171629.0	39.08	1003.0	90.59595238950679	1.0	-0.0619114716022424	0.0290173242581921
txid816	2.158506206656897	0.8063399740394984	0.9479031854323076	5.467910090718537	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	genus	N8534	5025334.0	42.86	4200.0	90.11660981907025	1.0	-0.5233873311032761	0.20536057985325898
txid832	1.2649110640673518	0.34641016151377546	0.1083322630041479	1.376576930290914	Fibrobacter	Fibrobacteraceae	Fibrobacterales	Fibrobacteria	Fibrobacteres	Bacteria	genus	N2762	3716335.0	49.64	3073.0	91.29158803627217	1.0	-0.6643491475262455	0.22335861260287054
txid836	3.5	0.85	1.8252980566591444	9.34623814442963	Porphyromonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	genus	N7397	2194453.0	47.56	1832.5	87.61005282839486	1.0	-0.37037450094610747	0.140678825984476
txid838	1.8785960716099932	0.6319511602850446	0.5137648132811966	3.72963900491419	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	genus	N8538	3112461.0	46.709999999999994	2648.5	87.91953970877607	0.0	-0.504856008797439	0.193444338395252
txid848	2.7757842335187997	0.5774625685005995	0.6590417375372073	5.0356949710500665	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	genus	N151	2459939.0	33.84	2386.0	90.94059556597028	1.0	-0.39103156650088505	0.16972294517691597
txid862	3.7724967272159504	0.5356162266845176	0.8069217357726709	6.347934983849066	Syntrophomonas	Syntrophomonadaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	genus	N2085	2758814.5	45.459999999999994	2714.5	86.5208588406134	1.0	-0.04533380578810155	0.02284022412522975
txid890	2.7386127875258306	0.7	0.9641445222388728	6.022524070022751	Desulfuromonas	Desulfuromonadaceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria	Bacteria	genus	N6994	4180686.5	59.925	3799.5	88.74813945539276	1.0	-0.14021243847154502	0.0716317636518797
txid893	2.085918983714929	1.1247884236391408	1.6996541049012843	7.3708597419339315	Desulfobulbus	Desulfobulbaceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	Bacteria	genus	N4558	3906911.0	58.945	3428.0	86.98828644556139	1.0	-0.1767811414060435	0.08405732684501484
txid904	0.5477225575051661	0.5477225575051661	0.08603605814318215	0.9424777960769378	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	genus	N1563	2305157.0	55.795	2068.0	88.23816973668295	1.0	-0.652739912484881	0.26616781306008297
txid906	1.203890745503445	0.968506899726977	0.645084055578532	3.663023186355925	Megasphaera	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria	genus	N1322	2006642.5	47.53	2052.0	89.27932235605911	1.0	-0.2968506287615875	0.12058762185911699
txid919	2.1213203435596424	0.6324555320336759	0.6002018522851141	4.214888838624436	Thiobacillus	Thiobacillaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N3164	3201518.0	62.7	3140.0	91.67374903301213	2.0	-0.171867349149044	0.0786344808333553
txid933	1.3957103900346208	0.5594791470775811	0.2970574931038354	2.453178152729495	Thiomicrospira	Piscirickettsiaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N4250	2108215.0	45.69	1997.0	93.40693554686683	2.0	-0.41269653144322405	0.17052293166737698
txid939	2.449489742783178	0.3872983346207417	0.2733645417515184	2.98037647973883	Hydrogenobacter	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria	genus	N2767	1743033.5	44.0	1903.5	96.89960123433052	1.0	-0.02567432129178835	0.0100909571241698
txid958	0.95	0.5	0.15380714033200027	1.4922565104551515	Bdellovibrio	Bdellovibrionaceae	Bdellovibrionales	Oligoflexia	Proteobacteria	Bacteria	genus	N1897	3539424.0	45.43	3396.0	92.5332610793164	1.0	-0.600469761008731	0.22346093652094898
txid963	2.014144868087349	0.5089488987828736	0.37432887695348704	3.220436615689487	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N7855	5296829.0	60.995	4735.0	88.2378868759522	1.0	-0.663871260406723	0.25625485651279356
txid1016	4.0	0.4	0.4858996637552214	5.026548245743669	Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	genus	N7381	2657104.0	39.59	2424.0	89.94247766707234	1.0	-0.30198786223268104	0.133936377610683
txid1021	3.7416573867739413	1.5811388300841898	6.3118741547331165	18.585912784636854	Beggiatoa	Thiotrichaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N5366	4265221.0	40.615	3567.5	87.32198795021768	1.5	-0.14437052375868298	0.068914345288633
txid1030	5.093868863643822	1.5748015748023625	8.898686505975277	25.20133070473105	Thiothrix	Thiotrichaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N6234	3936903.0	51.35	3801.0	92.93210809438627	1.0	-0.33305953514826503	0.152736510772105
txid1041	1.4058996445565213	0.5050550614856995	0.2464328489774352	2.2307090110742998	Erythrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N9964	3264748.5	61.370000000000005	3121.0	91.90832671687276	1.0	-0.4324296771388375	0.15939596283392948
txid1051	1.35	1.0	0.7984881327874057	4.241150082346222	Ectothiorhodospira	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N7472	3195818.0	63.39	2983.0	90.77753547194061	1.5	-0.257978510648849	0.1002994461193907
txid1056	2.3	2.3	6.3706263027044985	16.619025137490002	Thiocapsa	Chromatiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	G000223985	5595540.0	64.11	4944.0	85.68304399575376	2.0	-0.0878034479245706	0.0342293701095465
txid1060	1.9243414480917245	0.8444806191831192	0.9062212999769548	5.1053050129455695	Rhodobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N9130	2834045.0	50.53	3249.0	90.338229802607	1.0	-0.246965029379394	0.114546226105827
txid1068	3.25	1.3	3.738626157465753	13.273228961416875	Rhodomicrobium	Hyphomicrobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	G000166055	4014469.0	62.25	3671.0	86.28827374180744	2.0	-0.135388800283379	0.053222699661554004
txid1073	3.339082927310057	0.9181139139058238	2.0018368437630274	9.631050207088617	Rhodopseudomonas	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N9724	5513844.0	64.96	4981.0	86.69364485720398	1.0	-0.247438944909235	0.0968613337840514
txid1107	5.2915026221291805	0.6	1.4395884510072787	9.9742474584793	Chloroflexus	Chloroflexaceae	Chloroflexales	Chloroflexia	Chloroflexi	Bacteria	genus	N2353	4890986.0	56.43	4060.0	84.99212633199113	3.0	-0.10896599482739501	0.0479895895616028
txid1125	3.2403703492039297	3.2403703492039297	17.814866446946194	32.98672286269284	Microcystis	Microcystaceae	Chroococcales		Cyanobacteria	Bacteria	genus	N6752	4983728.0	42.73	4934.0	81.59487789160461	1.0	-0.277741998647922	0.13473897797731302
txid1142	2.739554397333348	2.739554397333348	10.765604161640148	23.578150166580237	Synechocystis	Merismopediaceae	Synechococcales		Cyanobacteria	Bacteria	genus	N5451	3570608.5	47.73	3301.0	87.26639441673552	2.0	-0.14524228057170852	0.06950926002455775
txid1152	1.9238997433415004	1.9238997433415004	3.728601177672891	11.628260330853578	Pseudanabaena	Pseudanabaenaceae	Pseudanabaenales		Cyanobacteria	Bacteria	genus	N911	5181050.5	43.825	4409.0	83.616905315668	1.5	-0.1758635921312815	0.08333606387305946
