taxid	length	width	volume	surface	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
txid200783	1.8307935074996569	0.4755787773842296	0.29376447134145345	2.7353424311708032	Aquificae	Bacteria	phylum	N1372	1608794.0	39.0	1700.0	95.28880622265942	1.5	-0.07997713983786145	0.038343273016031396
txid200795	7.994853271248862	0.4670281988207633	1.2114944881724703	11.730147523447485	Chloroflexi	Bacteria	phylum	N916	1762356.0	52.68	1866.0	89.56816046296267	1.0	-0.0812605841210858	0.0337124535665594
txid200918	2.6291670967500305	0.6693060539599819	0.8220897903145069	5.528315428164656	Thermotogae	Bacteria	phylum	N37	2016657.0	41.55	1988.0	94.013656263925	1.0	-0.0666135314596317	0.0288180008270473
txid200930	2.308667154536208	0.4045391320890646	0.27813501578854993	2.9340785426920477	Deferribacteres	Bacteria	phylum	N964	2542933.0	38.29	2468.0	91.48626801904486	2.0	-0.19743005531608301	0.0936556652141579
txid200938	3.7416573867739413	0.12247448713915887	0.043599406408210535	1.4396586137792406	Chrysiogenetes	Bacteria	phylum	N963	2876769.0	53.08	2603.0	91.30657644818328	2.5	-0.15615987744033552	0.07238422967421079
txid200940	1.4217842556092035	0.5240921009721671	0.2660863837585448	2.340944877914135	Thermodesulfobacteria	Bacteria	phylum	N3841	1787382.0	37.1	1780.0	93.52278428271387	1.0	-0.10660686594818199	0.0418535073575966
txid201174	1.3415521730827842	0.5911898488072937	0.3027687345872133	2.4916349155236994	Actinobacteria	Bacteria	phylum	N434	3814797.0	68.09	3552.0	89.77034207758963	1.0	-0.34459772226623603	0.123747844695566
txid203682	1.7707327059128388	1.5618990376697792	2.3658731522447582	8.688720738440281	Planctomycetes	Bacteria	phylum	N1602	5083525.0	53.78	4288.0	87.42803024335501	1.0	-0.138469522812917	0.0638103331839057
txid203691	10.313332551147033	0.2561848957229769	0.5241904999835305	8.30046485784119	Spirochaetes	Bacteria	phylum	N153	2727508.0	39.15	2443.0	89.35356641091343	1.0	-0.132645793413643	0.0568214961043702
txid204428	0.6689093073995175	0.5900553340859005	0.12576921565721436	1.2399662152588509	Chlamydiae	Bacteria	phylum	N1604	1177839.0	40.3	1012.5	90.6635739194943	1.0	-0.0796260136442679	0.0377580225969997
txid256845	0.864003606105582	0.864003606105582	0.3377110628453616	2.3452059259398017	Lentisphaerae	Bacteria	phylum	N1864	3948693.0	53.935	3367.0	92.30319762343913	1.0	-0.11562207622887441	0.0469479979641389
txid508458	2.970510194290134	0.7142571613250063	1.0701338315016036	6.665542828398363	Synergistetes	Bacteria	phylum	N95	1990119.0	55.900000000000006	1942.5	92.00335818143127	1.0	-0.107198278715145	0.04406435559817785
txid651137	0.7208434242404262	0.2736785217080362	0.03680294950362839	0.6197713966545495	Thaumarchaeota	Archaea	phylum	N71	1415322.0	34.15	1773.0	90.22044408171956	1.0	-0.0727052034857203	0.0355661829965603
txid1134404	4.723156822715971	0.2719393264843193	0.2676846733101311	4.035099571200831	Ignavibacteriae	Bacteria	phylum	N3795	3658997.0	37.13	3296.0	91.65339175075151	0.0	-0.0800537691062151	0.0383889994817629
txid1930617	6.619501839293746	0.2449489742783178	0.3080849782131785	5.0939045758454045	Calditrichaeota	Bacteria	phylum	N3086	3327399.0	44.83	2995.5	87.74024656096853	1.0	-0.04373794876409265	0.018450506667428153
txid1936987	2.7503952508347305	0.3647520251607472	0.2676248199740394	3.1516841960579867	Balneolaeota	Bacteria	phylum	N4161	3624230.0	42.95	3146.0	90.741957829863	1.0	-0.176140311497246	0.0814424532516649
