taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	kingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	B	MCB	ENC	ENCprime	SCUO
taxid1517578	0.6324555320336759	0.6324555320336759	0.13246117687728132	1.2566370614359177	coccus-shaped	Brachybacterium horti	Brachybacterium	Dermabacteraceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	genus	N4373	3614992.0	72.37	3122.0	89.99770953849968	1.0	0.18558180173524105	0.0277651820474895	0.269518572177731	0.0493728575572491	-0.0223828255804151	-0.164843746371433
taxid238836	1.25	0.65	0.342891748169936	2.552544031041707	rod-shaped	Shewanella donghaensis	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N6292	4961143.0	45.245000000000005	4251.5	85.45548102719445	5.5	0.1334124631337	-0.00968547408512047	0.0757560654878554	0.20725761930593548	-0.0323319164401848	-0.9802060994829855
taxid470933	2.1213203435596424	0.9	1.1586739387600238	5.9978919665137935	rod-shaped	Pantoea eucalypti	Pantoea	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N10187	4548084.0	55.05	4261.0	86.35315549075098	6.0	0.146175062570251	-0.0380997490220017	0.0944254092819123	0.0920762807718052	-0.0223513135555366	-0.31528565836913597
taxid326320	13.25	0.45	2.0834649779525813	18.731746197029146	rod-shaped	Dokdonia donghaensis	Dokdonia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	N9688	3256767.0	38.125	2874.0	91.23863773174254	2.0	0.11435392688016	-0.0739286265647227	0.0236676959636136	0.15050480521109602	-0.02844010459455805	-0.5427926233218434
taxid1765746	1.8973665961010275	0.7483314773547882	0.7247942896471751	4.460619068312843	rod-shaped	Cribrihabitans pelagius	Cribrihabitans	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	G900109035	4175922.0	65.97	4014.0	90.96513296943763	1.0	0.101333250921285	-0.0872295802221589	0.0750003291740799	0.12251672180409501	-0.013954550230922999	-0.30352533284890304
taxid1242689	1.3	0.6	0.31101767270538955	2.4504422698000385	coccus-shaped	Litoreibacter halocynthiae	Litoreibacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	G000442275	3682761.0	60.26	3600.0	91.4819071886555	1.0	0.151901325566072	0.0336888376523385	0.14344081984507598	0.141966848414964	-0.0361371402349888	-0.451057612668354
taxid1652145	1.5811388300841898	0.3872983346207417	0.1710643599487759	1.9238247452427963	rod-shaped	Rectinema cohabitans	Rectinema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	family	N770	2834709.0	49.39	2578.0	91.64538582267174	1.0	0.0903392272570017	-0.0599711515630344	0.13998956077166	0.0469372066458425	-0.0381884484342409	-0.342146330899961
taxid1960083	1.3266499161421599	0.4898979485566356	0.2192864219023788	2.041793549558854	rod-shaped	Actinomyces gaoshouyii	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	family	N4377	2225110.0	56.57	1933.0	89.62339779677353	1.0	0.162383985040165	0.0990430825638785	0.0661285250068441	0.17956233050851503	-0.0388901903778596	-0.95554666625827
taxid930197	2.25	0.45	0.3339905689847649	3.1808625617596658	rod-shaped	Sphingomonas cynarae	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N6608	3927122.0	66.41	3646.5	90.82856528351041	1.0	0.187050196547284	0.0828182281789476	0.04174360158071225	0.125941178924889	-0.0259240423095648	-0.40256518565102606
taxid47834	5.47722557505166	0.12247448713915887	0.06404608742107593	2.107444419312217	helical	Spiroplasma kunkelii	Spiroplasma	Spiroplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria	species	G001274875	1514561.0	24.98	2581.0	54.28404666434696	1.0	0.0622444295887425	0.0417134453000116	0.211119713030225	0.0122978953887021	-0.0128913325685299	0.0228382010334577
taxid1792845	1.19582607431014	0.34641016151377546	0.1018211561153104	1.301393143991059	rod-shaped	Mucilaginibacter pedocola	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria	species	G002013915	7035113.0	46.14	6165.0	89.1306365654681	4.0	0.110842413835166	-0.0559866893745644	0.0335734460988437	0.14696849528084902	-0.0357698687097823	-0.975820287512288
taxid1076412	4.5	0.8	2.127905424031487	11.309733552923255	rod-shaped	Pelosinus defluvii	Pelosinus	Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria	genus	N2388	5397240.0	39.165	4979.5	85.52375907689242	4.5	0.0711578517404408	-0.0968377178827269	0.0068832598548022985	0.1360999706044635	-0.013351788344225651	-0.5951680893794005
taxid745377	1.4142135623730951	0.6324555320336759	0.3780577053771961	2.809925892416292	rod-shaped	Natrarchaeobaculum aegyptiacum	Natrarchaeobaculum	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	family	N495	4121225.5	63.975	4038.0	84.85224522543058	1.0	0.1536969868236695	0.130349276048417	0.1239433143292935	0.08929851060679055	-0.03665319852006455	-0.2114448017463585
taxid1639133	4.4721359549995805	1.4142135623730951	6.284334241347668	19.869176531592203	rod-shaped	Citrobacter portucalensis	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N10485	5227599.0	52.695	4994.0	88.63861639892045	7.5	0.16114302750056247	0.0551152837240874	0.1104972164352463	0.22692892782291899	-0.0386766153941793	-0.9368732371887452
taxid1209958	2.61	0.33	0.21382464998495526	2.7058537525368895	rod-shaped	Mesorhizobium abyssinicae	Mesorhizobium	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N10297	6564160.0	63.02	6301.0	87.872736050001	1.0	0.155689448211098	0.0633705508950894	-0.004490068771879879	0.18320494915535201	-0.00795500033168111	-0.570146769540182
taxid505252	2.7	0.8	1.2231267397976264	6.785840131753954	rod-shaped	Marivita cryptomonadis	Marivita	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	G900129875	4193223.0	60.37	4171.0	91.4899112210345	1.0	0.138160936343614	0.00466336188137138	0.0347574236099768	0.16189022184495003	-0.0313063389848811	-0.626928013885154
taxid1079178	0.95	0.4	0.1026253600172666	1.1938052083641213	rod-shaped	Kangiella marina	Kangiella	Kangiellaceae	Kangiellales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N4258	2673657.5	43.735	2462.5	90.4756266328462	2.0	0.120890039955622	-0.0353763723090494	0.04713277178560509	0.20389843253081052	-0.0233733517083261	-1.0165297613745274
taxid502682	0.6928203230275509	0.34641016151377546	0.05441398092702653	0.7539822368615503	rod-shaped	Aurantiacibacter gangjinensis	Aurantiacibacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G001886695	2724951.0	62.71	2657.0	92.22452073450128	1.0	0.115778550809035	-0.0130834253264718	-0.27094080652850305	0.137581367778254	-0.0045024595736925	-0.597214631987944
taxid444919	2.2627416997969525	0.99498743710662	1.5014994126273793	7.0729803328046765	rod-shaped	Psychromonas aquimarina	Psychromonas	Psychromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N7539	4269789.0	38.864999999999995	3777.0	84.33649134358856	2.0	0.10441514152849879	-0.06234074587114535	0.10454128850982476	0.169797328390859	-0.0266562656758412	-0.6230437987165804
taxid879969	2.5	0.75	0.9940195505498954	5.8904862254808625	rod-shaped	Macellibacteroides fermentans	Macellibacteroides	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	genus	G001704385	4081835.0	41.71	3371.0	90.6043972870045	1.0	0.126314475203414	-0.022710852505549002	0.0353335609110611	0.17779460741573602	-0.026605608875927004	-0.9506640005820021
taxid237017	6.0	0.6	1.6399113651738724	11.309733552923255	rod-shaped	Algoriphagus winogradskyi	Algoriphagus	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	genus	N9065	4883113.5	41.93	4094.5	90.99428991592501	1.0	0.046849944888755046	-0.1369787594064755	-0.10923937291109584	0.16416729089412901	-0.00520201718889083	-0.8030476171151939
taxid390270	1.3674794331177345	0.7	0.4364705692595733	3.0072443387124665	rod-shaped	Yoonia tamlensis	Yoonia	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N6192	3921814.5	64.67	3884.0	90.16152953313667	1.0	0.1776049910383335	0.0248069104291323	0.11446004906186649	0.108485651766359	-0.02664953852631395	-0.28682139539687
taxid391905	2.7	1.0	1.8587756533739608	8.482300164692441	rod-shaped	Methylocystis heyeri	Methylocystis	Methylocystaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N9135	4475912.0	62.82	4333.0	86.64222083051085	1.0	0.180139112662094	0.169402331176658	-0.0238790729884355	0.21483609454046695	-0.0300012918795178	-0.607963530597577
taxid1293441	2.5	0.9	1.3995795271742528	7.0685834705770345		Lysinibacillus contaminans	Lysinibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	genus	N6066	4763528.0	37.64	4723.0	84.81698934449871	1.0	0.18835741862286298	0.0846919448679606	0.0419036338356365	0.24174020556484804	-0.0214469803801321	-0.8934074167425259
taxid2006564	5.5677643628300215	0.2	0.1728220810894653	3.49832952383717	rod-shaped	Carboxylicivirga sediminis	Carboxylicivirga	Marinilabiliaceae	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria	family	N6984	4952013.5	40.195	4267.0	87.08226804989107	1.0	0.0637493187387992	-0.136727991324958	0.00245639584935454	0.08937276015792385	-0.02353320796502725	-0.40364465109450653
taxid1773	2.3784142300054425	0.3662841501484707	0.23705103227043514	2.7368783463909128	rods	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	species	G000195835	4345492.0	65.63	4009.0	90.52961091632432	1.0	0.0619748712119708	-0.0900649638351381	-0.0513905249974532	0.110991124635567	0.0028714227589324397	-0.48323001331591203
taxid1761453	1.8547236990991407	0.4242640687119285	0.2422124124170809	2.472096083317663	rod-shaped	Euzebyella marina	Euzebyella	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	family	N6134	3819763.0	35.5	3429.0	90.29981488534405	1.0	0.10154807617657101	-0.108826182056736	-0.0762245700668028	0.135741253883887	-0.0186798435370286	-0.4737541732822271
taxid2125	0.4898979485566356	0.15811388300841894	0.008584270781860217	0.2433467205584167	spherical	Mycoplasma sualvi	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	genus	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	0.12057485208444951	0.07370886506221225	0.191272254874232	0.057675555263385	-0.0169959736474729	-0.10583098117238046
taxid84379	4.69041575982343	0.28284271247461906	0.2887836699493171	4.167793630437726	helical	Brachyspira alvinipulli	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria	species	G000518245	3420763.0	26.86	3234.0	89.13914819588496	1.0	0.0681802435734843	-0.265067330821583	-0.0569563866973466	-0.045442161739014005	-0.00860551544618523	0.0299371646838298
taxid88916	9.486832980505136	0.31622776601683805	0.7368152963798776	9.424777960769381	helical	Borreliella spielmanii	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000181895	1252559.0	27.7	1211.0	86.81291659714233	2.0	0.0959765922199052	-0.0620372302097856	0.13856204192717803	0.055248637282603	-0.0244041183420483	-0.0984079220692826
taxid1615953	3.464101615137755	0.7071067811865476	1.267789461964031	7.695298980971184	rod-shaped	Paenibacillus lacus	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	family	N3029	5982226.0	47.28	5629.0	86.29303919433326	1.0	0.11928931680908801	-0.039871623523598	-0.0169976295307748	0.18516354762617898	-0.0224743243134588	-1.00459433455524
taxid415217	1.161895003862225	0.648074069840786	0.3120116190917215	2.365600493620524	rods	Microbacterium lacus	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	genus	N7235	3489832.0	69.97999999999999	3360.0	92.18519725611162	1.0	0.19996245554666547	0.09628837228750595	0.06758049261073029	0.10092478036222952	-0.0269742233039597	-0.313801809575949
taxid228602	1.5427248620541512	0.5477225575051661	0.3204779529138825	2.654599318612472	rods	Nocardia arthritidis	Nocardia	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	species	G001612765	7124189.0	68.46	6553.0	87.74101866191366	1.0	0.141719609272276	0.0737833013632781	-0.051675011176249	0.162462838706186	-0.00431806599259178	-0.508059952940824
taxid1630136	1.05	0.4	0.11519173063162574	1.3194689145077132	rod-shaped	Sulfurovum riftiae	Sulfurovum	Sulfurovaceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	genus	N3807	2217891.0	39.67	2189.0	91.61522296996515	1.0	0.0920999996197434	0.0168388501163107	-0.00879099002978993	0.21470843445078197	-0.0320227007655016	-0.904767728320113
taxid2024555	2.29128784747792	0.7937253933193772	1.0028191604586112	5.713467997337784		Virgibacillus profundi	Virgibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	genus	N6059	4353177.0	37.22	4151.0	84.26046625124211	1.0	0.0744100071659499	-0.0955394636686479	-0.165779711184486	0.162061758890331	0.0027104098320313397	-0.542246206918594
