taxid	length	width	volume	surface	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas
txid117747	1.7014141897006825	0.5355846751762564	0.3376231227825088	2.862780597411169	Sphingobacteriia	Bacteroidetes	Bacteria	class	N4895	5504212.133891262	40.770557929875366	4810.264326045818	89.63050831452074	1.9309927124840585
txid118001	3.7416573867739413	0.12247448713915887	0.043599406408210535	1.4396586137792406	Chrysiogenetes	Chrysiogenetes	Bacteria	class	N963	2876769.145039377	53.22503937645	2603.14503937645	91.45161582463328	2.6450393764499998
txid134549	1.4	0.9	0.6997897635871264	3.9584067435231383	Spartobacteria	Verrucomicrobia	Bacteria	class	N3069	2728480.875892843	55.51303569952857	2474.018749985243	90.0100546619725	0.7330356995285714
txid171536	0.4472135954999579	0.4472135954999579	0.046832098206938184	0.6283185307179586	Methanonatronarchaeia	Euryarchaeota	Archaea	class	G001914405	2141311.0	35.38	2076.0	73.84420105253278	1.0
txid183924	1.1164350423896134	1.1164350423896134	0.728616498468221	3.915766546929732	Thermoprotei	Crenarchaeota	Archaea	class	N250	2136974.617939518	43.33249080014423	2450.6884523386057	89.26294480494856	1.643580543733974
txid183925	3.747017185944873	0.4195087760643951	0.4942714936274297	4.938290206482548	Methanobacteria	Euryarchaeota	Archaea	class	N170	2162206.3183320793	35.92156737318823	2128.7006850202474	85.4883235717861	1.906567373188235
txid183963	2.160784494239191	0.8161649090908871	0.9461055536221292	5.540376082719144	Halobacteria	Euryarchaeota	Archaea	class	N117	3482307.232917937	63.25625127046001	3523.4614893656985	86.37364020414807	1.5567274609361903
txid183968	1.15	1.15	0.7963282878380625	4.1547562843725006	Thermococci	Euryarchaeota	Archaea	class	N69	1963420.9348676824	47.39960452441579	2160.4611834717844	91.92996636530961	1.1980255770473685
txid183980	2.2	0.4	0.2597049926967563	2.7646015351590183	Archaeoglobi	Euryarchaeota	Archaea	class	N179	2040334.8828221937	44.5861555273619	2321.6923460035523	91.740868746709	0.9304412416476191
txid187857	1.8307935074996564	0.4755787773842296	0.29376447134145345	2.735342431170804	Aquificae	Aquificae	Bacteria	class	N1372	1648779.021305188	40.025680188118756	1750.6463051881187	95.32535430918568	2.08380518811875
txid188708	2.629167096750032	0.6693060539599819	0.8220897903145069	5.528315428164654	Thermotogae	Thermotogae	Bacteria	class	N37	2012486.7990569544	41.21905695427143	1968.7419140971283	93.55717653084633	1.7419140971285714
txid188787	2.1038913264610497	1.00177025842021	1.30919236133426	6.621270181284902	Deinococci	Deinococcus-Thermus	Bacteria	class	N433	3240692.1033017095	67.07574073394146	3240.030130977844	90.57983985064318	2.5179358558926825
txid189775	2.1213203435596424	1.224744871391589	2.018165466403381	8.162097139053978	Thermomicrobia	Chloroflexi	Bacteria	class	N2053	3434308.446550117	63.911550117025	3277.4465501170253	87.58004595825051	1.9465501170250001
txid200643	2.557896715173612	0.6203691349945423	0.6875142506801389	4.985205428653887	Bacteroidia	Bacteroidetes	Bacteria	class	N5276	3564013.900852511	45.67119733875594	2990.2150287563804	89.4289603067746	1.6824617065720302
txid203486	10.000000000000002	0.4898979485566356	1.854174396229992	15.39059796194237	Dictyoglomia	Dictyoglomi	Bacteria	class	N21	1904804.4107785325	34.2674451992	1856.0774451992002	93.99001523924441	2.410778532533333
txid203490	2.0088452889693715	0.4592449636317307	0.28845499252695184	2.89828284234262	Fusobacteriia	Fusobacteria	Bacteria	class	N65	2314016.8445688593	30.743457748469446	2254.3723466373585	90.34303495821035	2.427902192913889
txid203683	1.8109003580369527	1.5648777970772536	2.4463079806419707	8.902763897741556	Planctomycetia	Planctomycetes	Bacteria	class	N2151	7265474.098508364	58.122701910458055	5769.775927716908	87.4634418977707	2.0339922330387097
txid203692	12.000008461448493	0.2436633969592678	0.5453631712532994	9.185900131195467	Spirochaetia	Spirochaetes	Bacteria	class	N153	2659319.7137622423	41.084428908885926	2539.5582066866637	88.5653206376276	2.017465945922963
txid204432	1.7440265728082052	0.651758333280223	0.5019499150959496	3.5709976398080814	Acidobacteriia	Acidobacteria	Bacteria	class	N3115	5074623.364844206	58.39924420463201	4377.804844204631	89.51086287091272	1.324844204632
txid224756	2.7897048295149105	0.7324320741192052	0.9798405498292478	6.419119804787322	Methanomicrobia	Euryarchaeota	Archaea	class	N119	3107312.6453283792	47.43959067413525	2935.883033297085	82.91521941413478	2.087951329872951
txid292625	100.00000000000004	0.30476168981692764	7.287045259642579	95.743708582447	Anaerolineae	Chloroflexi	Bacteria	class	N1304	2757249.832351216	53.89809195654998	2670.832351215809	90.34874130119975	1.0916104750685183
txid301297	0.686383738883785	0.4210105254861512	0.07100047155509077	0.9078410414992856	Dehalococcoidia	Chloroflexi	Bacteria	class	N3293	1468573.3570928208	48.516447659229016	1531.2603186269707	90.51463013186556	1.1958024979387094
txid388447	1.4142135623730951	0.8512160931922469	0.6432949737058543	3.781853457129655	Ktedonobacteria	Chloroflexi	Bacteria	class	N1305	3446432.2479321603	55.3804321602125	3115.8729321602127	85.92716958239106	0.8729321602125
txid414999	0.8386633119926828	0.7683631365144628	0.2659710414182265	2.024435937595205	Opitutae	Verrucomicrobia	Bacteria	class	N2154	3403790.248286425	54.13703642470625	2916.998286424706	90.19109453688529	1.24828642470625
txid533205	3.358571124749333	0.8366600265340756	1.6931449571926307	8.82781945618518	Holophagae	Acidobacteria	Bacteria	class	N1380	3359326.426305134	65.39297180066667	2969.759638467333	91.97319916873623	2.0929718006666667
txid649775	2.970510194290134	0.7142571613250063	1.0701338315016036	6.665542828398363	Synergistia	Synergistetes	Bacteria	class	N95	2141569.1644800142	54.65698001410938	2075.1332300141094	91.9667251186886	2.351980014109375
txid693071	4.95	0.3	0.3428262983229862	4.665265090580842	Caldisericia	Caldiserica	Bacteria	class	N59	1389820.213927478	35.678927477900004	1410.7139274779001	91.81461675955714	0.7139274779
txid768503	2.5609480522712165	0.5874405036180579	0.629370338443358	4.726226482005185	Cytophagia	Bacteroidetes	Bacteria	class	N4896	5517608.610749907	45.31589009401309	4709.778974206163	88.78925143446214	1.9098153276579437
txid795747	4.723156822715971	0.2719393264843193	0.2676846733101311	4.03509957120083	Ignavibacteria	Ignavibacteriae	Bacteria	class	N4155	3424888.512062423	36.9384260593091	3165.1029715138548	91.65817453482904	0.6484260593090909
txid908620	1.6416335302928233	0.475414303570666	0.2528671769035677	2.4518750293284466	Nitriliruptoria	Actinobacteria	Bacteria	class	G000969705	5558097.0	72.06	5218.0	91.08646358636778	1.0
txid909932	2.0490370721295443	0.6019580218072609	0.4849343905329189	3.8749481435730933	Negativicutes	Firmicutes	Bacteria	class	N752	2641563.103317782	48.055509562301374	2477.336194493808	88.6534638624893	1.9800301102465752
txid1077257	2.7386127875258306	0.5916079783099616	0.6986065964643196	5.089961841984629	Chthonomonadetes	Armatimonadetes	Bacteria	class	N1097	3388193.643477722	57.5709777222625	3019.643477722262	91.08687179843605	1.7684777222625
txid1313211	0.8	0.8	0.26808257310632905	2.010619298297468	Lentisphaeria	Lentisphaerae	Bacteria	class	N2152	4607542.8205431085	47.62454310772	3945.8205431077195	91.6681037413385	1.42054310772
txid1497346	1.2239044681850937	0.5352382817656428	0.23396316899531755	2.0579961635826853	Thermoleophilia	Actinobacteria	Bacteria	class	N1108	5129505.850473509	71.7038068424	4874.850473509066	92.22374854466212	1.4338068424
txid1553900	1.8493242008906927	0.5477225575051662	0.38452439575899466	3.1821712894685095	Oligoflexia	Proteobacteria	Bacteria	class	N1383	3603824.4923057174	44.075382639964104	3422.0820493066312	93.22212960772295	1.2615364861179486
txid1562566	2.4459875888944125	0.6915457968880453	0.8153671381430487	5.314043043462315	Blastocatellia	Acidobacteria	Bacteria	class	N2183	3486899.003336843	56.99667017615	3148.003336842817	90.57445725790659	1.0033368428166665
txid1737404	3.797162516886913	0.7615701165500472	1.5690689211425688	9.084874916122844	Tissierellia	Firmicutes	Bacteria	class	N2116	2231082.550391491	35.18896291956786	2159.3003914909964	89.76683167091285	2.103962919567857
txid1807140	1.3643500455889714	1.0298835719535588	0.8352306945089237	4.414320004923943	Acidithiobacillia	Proteobacteria	Bacteria	class	N1389	3428091.7716916706	56.7926440519762	3720.819310718643	89.99611298415944	1.3907392900714286
txid1853221	2.7503952508347305	0.3647520251607473	0.26762481997403953	3.1516841960579867	Balneolia	Balneolaeota	Bacteria	class	N4161	3742084.521122065	44.18540777970001	3238.806836351129	90.22298468796859	1.378264922557143
txid1853222	8.563390382741254	0.5544265176609817	1.993255181912104	14.915561581186438	Rhodothermia	Rhodothermaeota	Bacteria	class	G000419585	3399024.0	63.47	2771.0	88.25895315831839	1.0
txid1853228	2.2987659968352987	0.5218141023037286	0.4402251391049432	3.7684299706366793	Chitinophagia	Bacteroidetes	Bacteria	class	N4894	5187014.172946361	43.74949808458965	4406.62122222252	90.67554691496674	1.4488084294172414
txid1937959	2.4832670271478183	0.6121682952562003	0.6606385247120354	4.775777971901473	Saprospiria	Bacteroidetes	Bacteria	class	N4893	6229794.113851823	47.48685182309	4881.11385182309	87.07852832217974	2.1138518230900005
txid1962850	6.92820323027551	0.2449489742783178	0.3226362360716736	5.33145952579004	Calditrichia	Calditrichaeota	Bacteria	class	N3086	3422696.5576410317	46.08430769818333	3039.5576410315166	87.7159523275778	1.0576410315166667
txid2008785	2.2803508501982757	0.3741657386773941	0.23699366986663356	2.680498461852394	Hydrogenophilalia	Proteobacteria	Bacteria	class	N4599	2240027.514548932	65.54454893190001	2163.0145489319	94.0048209902397	1.0145489318999998
txid2811502	3.3503689588345082	0.34641016151377546	0.3043242053006995	3.6461382524904526	Thermodesulfovibrionia	Nitrospirae	Bacteria	class	N2804	2037236.5677411947	46.10867869484689	2155.1614911948473	91.71003211712771	0.5989911948468749
