N2	k__Archaea
N2067	g__Denitrobacterium
N2070	g__Enorma
N2073	g__Atopobium
N2075	g__Solirubrobacter
N2077	g__Patulibacter
N2084	s__Thermacetogenium phaeum
N2085	g__Syntrophomonas
N2086	o__Thermoanaerobacterales_3; f__Thermoanaerobacteraceae_3; g__Carboxydothermus
N2087	o__Eubacteriales_5
N2088	g__Desulfitibacter
N2098	s__Phascolarctobacterium succinatutens
N2100	s__Acidaminococcus fermentans
N2104	g__Anaerovibrio
N2109	g__Thermoanaerobacterium
N2116	c__Tissierellia; o__Tissierellales
N2117	g__Christensenella
N2122	f__Oscillospiraceae_1
N2125	g__Alicyclobacillus
N2128	p__Firmicutes_9; c__Erysipelotrichia_2; o__Erysipelotrichales_2; f__Turicibacteraceae; g__Turicibacter
N2130	o__Bacillales_6; f__; g__Exiguobacterium
N2144	s__Treponema endosymbiont of Eucomonympha sp.
N2150	c__Phycisphaerae
N2151	c__Planctomycetia
N2152	c__Lentisphaeria
N2154	c__Opitutae
N2164	p__Candidatus Glassbacteria
N2165	p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales
N2167	c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae
N2172	g__Persephonella
N2173	g__Sulfurihydrogenibium
N2177	g__Sulfurospirillum
N2178	g__Campylobacter
N2183	c__Blastocatellia
N2191	p__candidate division NC10
N2197	o__Rickettsiales
N2202	c__Betaproteobacteria_7; o__Ferrovales; f__Ferrovaceae; g__Ferrovum
N2211	s__Desulfurococcus mucosus
N2212	s__Desulfurococcus amylolyticus
N2213	g__Pyrodictium
N2214	s__Aeropyrum camini
N2215	g__Acidilobus
N2216	s__Metallosphaera sedula
N2229	g__Natronococcus
N2230	g__Natrialba
N2235	s__Methanohalophilus halophilus
N2237	s__Methanosarcina thermophila
N2241	s__Methanosarcina siciliae
N2317	p__Candidatus Wolfebacteria
N2329	p__Candidatus Nomurabacteria
N2346	f__Leptolyngbyaceae; g__Phormidesmis
N2347	o__Oscillatoriales_3; f__Coleofasciculaceae; g__Geitlerinema
N2351	f__Sphaerobacteraceae
N2352	g__Roseiflexus
N2353	g__Chloroflexus
N2365	s__Denitrobacterium detoxificans
N2366	g__Adlercreutzia
N2369	s__Collinsella aerofaciens
N2371	g__Lancefieldella
N2386	s__Veillonella parvula
N2388	g__Pelosinus
N2394	g__Caldanaerobacter; s__Caldanaerobacter subterraneus
N2395	g__Thermoanaerobacter
N2397	g__Candidatus Arthromitus
N2401	c__Clostridia_4; o__Eubacteriales_3
N2403	f__Peptoniphilaceae
N2409	f__Oscillospiraceae_2
N2418	f__Thermoactinomycetaceae
N2420	s__Turicibacter sanguinis
N2425	o__Bacillales_1
N2427	s__Leptospira weilii
N2435	s__Treponema socranskii
N2438	p__Candidatus Omnitrophica
N2445	o__Opitutales
N2446	o__Puniceicoccales; f__Puniceicoccaceae; g__Coraliomargarita
N2447	c__Verrucomicrobiae_2; o__Verrucomicrobiales_2; f__Verrucomicrobia subdivision 3
N2449	o__Parachlamydiales
N2451	s__Chlamydia trachomatis
N2455	p__candidate division WOR-3
N2463	f__Gemmatimonadaceae
N2467	p__Candidatus Latescibacteria
N2468	p__candidate division Zixibacteria
N2481	f__Arcobacteraceae
N2496	s__Leptospirillum ferriphilum
N2499	p__Nitrospirae_1
N2505	s__Candidatus Pelagibacter ubique
N2508	f__Anaplasmataceae
N2509	o__Holosporales_1; f__Candidatus Paracaedibacteraceae
N2513	s__Acidithiobacillus thiooxidans
N2518	o__Cardiobacteriales; f__Cardiobacteriaceae
N2519	o__; f__
N2546	s__Methanosarcina barkeri
N2611	p__Candidatus Colwellbacteria
N2655	s__Atopobium minutum
N2661	f__Ilumatobacteraceae
N2662	f__Acidimicrobiaceae_2
N2665	o__Frankiales; f__Frankiaceae; g__Frankia
N2679	g__Proteiniclasticum
N2680	g__Clostridium
N2681	g__Acetobacterium
N2683	c__Clostridia_7; o__Eubacteriales_6; f__Eubacteriales Family XIII. Incertae Sedis; g__Eubacterium
N2685	f__Peptostreptococcaceae
N2715	p__Tenericutes_1; c__Mollicutes_1
N2716	p__Tenericutes_2; c__Mollicutes_2
N2717	p__Firmicutes_5; c__Erysipelotrichia_1
N2718	s__Exiguobacterium aurantiacum
N2721	f__Sporolactobacillaceae
N2723	o__Bacillales_3
N2729	s__Treponema bryantii
N2735	o__Gemmatales; f__Gemmataceae
N2736	o__Isosphaerales; f__Isosphaeraceae
N2737	o__Planctomycetales; f__Planctomycetaceae
N2738	o__Pirellulales
N2741	f__Opitutaceae
N2745	c__Methylacidiphilae; o__Methylacidiphilales; f__Methylacidiphilaceae
N2750	s__Chlamydia muridarum
N2751	s__Chlamydia pecorum
N2752	s__Chlamydia pneumoniae
N2753	s__Chlamydia ibidis
N2762	g__Fibrobacter
N2767	g__Hydrogenobacter; s__Hydrogenobacter thermophilus
N2768	g__Thermocrinis
N2779	g__Arcobacter
N2780	g__Aliarcobacter
N2789	f__Nannocystaceae
N2790	f__Polyangiaceae
N2791	f__Anaeromyxobacteraceae; g__Anaeromyxobacter
N2794	s__Bdellovibrio bacteriovorus
N2797	o__Bacteriovoracales; f__Bacteriovoracaceae
N2801	p__Candidatus Schekmanbacteria
N2802	p__Nitrospinae; c__Nitrospinia; o__Nitrospinales
N2803	c__Nitrospira_1; o__Nitrospirales_1; f__Nitrospiraceae_1
N2804	c__Thermodesulfovibrionia; o__Thermodesulfovibrionales; f__Thermodesulfovibrionaceae
N2809	p__Proteobacteria_5; c__Deltaproteobacteria_2; o__Desulfovibrionales
N2816	f__Candidatus Midichloriaceae
N2824	s__Acidithiobacillus ferrivorans
N2828	c__Betaproteobacteria_3; o__Neisseriales
N2829	c__Betaproteobacteria_2; o__Nitrosomonadales_1
N2831	c__Betaproteobacteria_1; o__Burkholderiales
N2835	g__Wohlfahrtiimonas
N2919	p__Candidatus Liptonbacteria
N2931	p__Candidatus Vogelbacteria
N2946	s__Chloroflexus aurantiacus
N2951	o__Anaerolineales
N2961	s__Lancefieldella parvula
N2963	g__Fannyhessea; s__Fannyhessea vaginae
N2965	s__Ferrimicrobium acidiphilum
N2968	g__Ilumatobacter
N2969	g__Acidimicrobium
N2983	f__Peptococcaceae_3
N2987	g__Selenomonas_2
N2991	g__Caloramator
N2993	s__Proteiniclasticum ruminis
N2998	f__Clostridiaceae_2
N3003	f__Tissierellaceae
N3019	g__Anaerostipes
N3028	f__Bacillaceae_7; g__Caldalkalibacillus
N3029	f__Paenibacillaceae
N3033	o__Acholeplasmatales_2; f__; g__
N3035	o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma
N3036	o__Entomoplasmatales
N3038	o__Erysipelotrichales_1
N3040	s__Exiguobacterium enclense
N3042	g__Sporolactobacillus
N3045	f__; g__Gemella
N3046	f__Staphylococcaceae
N3047	o__Bacillales_4; f__Listeriaceae
N3048	o__Lactobacillales
N3055	o__Sedimentisphaerales
N3069	c__Spartobacteria
N3070	c__Verrucomicrobiae_1; o__Verrucomicrobiales_1
N3071	f__Waddliaceae; g__Waddlia; s__Waddlia chondrophila
N3072	f__Parachlamydiaceae
N3082	g__Gemmatimonas
N3086	p__Calditrichaeota; c__Calditrichia; o__Calditrichales; f__Calditrichaceae
N3087	p__Candidatus Marinimicrobia
N3108	f__Thiovulaceae
N3115	c__Acidobacteriia
N3124	g__Bacteriovorax
N3131	f__Nitrospinaceae
N3151	g__Neorickettsia
N3152	g__Wolbachia
N3154	g__Candidatus Paracaedibacter
N3159	o__Rhodospirillales
N3161	s__Acidithiobacillus ferrooxidans
N3164	f__Thiobacillaceae; g__Thiobacillus; s__Thiobacillus denitrificans
N3166	c__Betaproteobacteria_5; o__Rhodocyclales_2
N3172	g__Cardiobacterium
N3173	s__Wohlfahrtiimonas chitiniclastica
N3192	g__Natronorubrum
N3193	g__Natrinema
N3269	p__Candidatus Lloydbacteria
N3270	p__Candidatus Yonathbacteria
N3278	o__Spirulinales; f__Spirulinaceae
N3280	o__Oscillatoriales_1
N3293	c__Dehalococcoidia
N3297	g__Olsenella_1
N3307	o__Geodermatophilales
N3309	o__Nakamurellales; f__Nakamurellaceae; g__Nakamurella
N3311	o__Jiangellales; f__Jiangellaceae; g__Jiangella
N3312	o__Propionibacteriales
N3314	o__Kineosporiales; f__Kineosporiaceae
N3315	o__Micrococcales_2
N3316	o__Micrococcales_1
N3318	s__Syntrophomonas wolfei
N3319	g__Desulfotomaculum
N3322	g__Desulfitobacterium
N3323	g__Desulfosporosinus
N3336	g__Alkaliphilus
N3337	f__Eubacteriales Family XII. Incertae Sedis
N3341	g__Peptoclostridium
N3345	f__Gottschalkiaceae
N3346	f__Thermohalobacteraceae
N3348	g__Peptoniphilus
N3353	g__Ruminiclostridium
N3362	g__Epulopiscium
N3372	s__Alicyclobacillus hesperidum
N3383	o__; f__; g__Candidatus Izimaplasma
N3384	o__Acholeplasmatales_1
N3391	f__Erysipelotrichaceae_1
N3393	f__Bacillaceae_6
N3399	g__Brochothrix
N3400	g__Listeria
N3408	f__Sedimentisphaeraceae
N3411	g__Planctopirus
N3414	f__Pirellulaceae
N3421	g__Methylacidiphilum
N3434	s__Chlamydia gallinacea
N3436	s__Chlamydia psittaci
N3446	p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae
N3456	s__Campylobacter coli
N3458	f__Sulfurovaceae
N3464	o__Bryobacterales
N3465	o__Acidobacteriales
N3487	p__Candidatus Dadabacteria
N3488	p__Proteobacteria_3; c__Deltaproteobacteria_1
N3495	f__Rickettsiaceae
N3499	g__Anaplasma
N3508	f__Chromobacteriaceae_2
N3517	f__Sutterellaceae
N3527	o__; f__; g__Candidatus Thioglobus
N3528	o__Thiotrichales_2; f__Piscirickettsiaceae_2
N3538	g__Halobiforma
N3592	p__Candidatus Harrisonbacteria
N3616	g__Spirulina
N3617	o__Synechococcales_4; f__Prochloraceae; g__Prochloron; s__Prochloron didemni
N3619	f__Oscillatoriaceae_2; g__Oscillatoria
N3620	f__Microcoleaceae
N3627	f__; g__
N3633	o__; f__; g__Dehalogenimonas
N3634	o__Dehalococcoidales; f__Dehalococcoidaceae; g__Dehalococcoides; s__Dehalococcoides mccartyi
N3636	s__Lancefieldella rimae
N3640	g__Parafannyhessea; s__Parafannyhessea umbonata
N3641	g__Olsenella_2; s__Olsenella uli
N3651	f__Geodermatophilaceae
N3654	o__Corynebacteriales
N3657	o__Streptosporangiales
N3662	f__Microbacteriaceae
N3663	o__Micrococcales_4; f__Dermabacteraceae
N3670	s__Selenomonas artemidis
N3688	g__Gottschalkia
N3694	g__Anaerococcus
N3695	s__Ruminiclostridium cellobioparum
N3697	g__Pseudobacteroides; s__Pseudobacteroides cellulosolvens
N3698	g__Acetivibrio
N3701	g__Butyricicoccus
N3709	g__Cellulosilyticum
N3728	g__Aneurinibacillus
N3729	g__Brevibacillus
N3739	f__Entomoplasmataceae
N3740	f__Spiroplasmataceae; g__Spiroplasma
N3744	g__Erysipelothrix
N3746	g__Fictibacillus
N3747	f__Bacillaceae_4
N3749	f__Bacillaceae_2
N3755	f__Carnobacteriaceae_1
N3758	f__Lactobacillaceae
N3771	f__Rubritaleaceae
