Table S10. Related to section “What forces may be behind a prokaryotic cell size optimum? “ Estimates of ordinary least squares regression between KEGG pathways and volume-to-surface ratio. The fraction of total number of base pairs of all genes in a pathway divided by genome size was used as a measure of ecological/evolutionary relevance of a pathway. ɑ: Intercept, β: slope, P: p-value, R2: coefficient of determination, and AIC: Akaike Information Criterion value. 								
Pathway name	ɑ	Standard error	P-value	β	Standard error	P-value	R2	AIC
Other types of O-glycan biosynthesis	0.00082385921851	6.53493240836077E-05	1.52532871894828E-34	0.00068517399956	7.20017991482014E-05	7.87551431812637E-21	0.06178138250028	-16202.3133561644
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	-2.71017487454084E-06	3.84609207742475E-06	0.481144589354961	-4.55745381152135E-06	4.23761918195096E-06	0.282352979899559	0.000115168086969	-23912.8941997389
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	6.7401719432657E-06	5.72306723006443E-06	0.239114365256085	1.50139593970064E-06	6.30566793137064E-06	0.811837410864407	-0.000694089625579	-22831.0426416903
Glycosaminoglycan biosynthesis - keratan sulfate	0	0		0	0			-inf
Glycosaminoglycan degradation	0.000623749991744	0.000151054770297	3.86047265388452E-05	-0.00046840293626	0.000166431946831	0.004957590292649	0.005063015818967	-13921.5621011731
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	-2.15503810927518E-06	1.76295568433332E-06	0.221768128281589	-3.60393960139553E-06	1.94242224951166E-06	0.063757777612702	0.001792700032109	-26036.2333655299
Glycosphingolipid biosynthesis - lacto and neolacto series	0	0		0	0			-inf
Glycosphingolipid biosynthesis - globo and isoglobo series	0.000478522492238	0.000119666533922	6.70894389782406E-05	-0.000242444657327	0.000131848429361	0.066160718988541	0.00174784753467	-14555.6070819517
Glycosphingolipid biosynthesis - ganglio series	0.000188264532929	8.09919416188255E-05	0.020246280633495	-0.000192134199288	8.92368145323224E-05	0.031487733757318	0.002666227427448	-15618.165170043
Other glycan degradation	0.001763435048202	0.000348807780943	4.87543155508033E-07	-0.000121398463061	0.000384315953332	0.752140636378355	-0.000662363883746	-11643.578793451
Lipopolysaccharide biosynthesis	0.001578353882563	0.000271447120444	7.56634529247511E-09	-0.001086425290953	0.000299080079552	0.000291072038878	0.008887558016817	-12326.1302213814
O-Antigen repeat unit biosynthesis	0.000249374317832	2.08309996521659E-05	1.80542190559011E-31	8.74548801191068E-05	2.29515679625481E-05	0.000144934197549	0.009842762173231	-19314.3891630153
O-Antigen nucleotide sugar biosynthesis	0.004445049945715	0.000188732753849	3.91383461999328E-103	-5.26669348306565E-06	0.000207945499451	0.979797634505736	-0.000735362808883	-13315.4012131194
Peptidoglycan biosynthesis	0.006636386901611	0.000344502869701	2.65186834247557E-73	-0.000454646940404	0.000379572807799	0.231209256540597	0.000319523575145	-11677.3821656812
Teichoic acid biosynthesis	0.003145931761233	0.000239115741512	2.67575523595775E-37	0.001184894585496	0.000263457408855	7.46235020474879E-06	0.013940654533901	-12671.3332907912
Lipoarabinomannan (LAM) biosynthesis	0.000411429535282	9.49527343107931E-05	1.57916989733047E-05	0.000127734001951	0.000104618797521	0.222317888657353	0.000360687107514	-15185.2866786438
Arabinogalactan biosynthesis - Mycobacterium	0.000669727684103	0.00011922816498	2.35092794565978E-08	-6.60379364968004E-05	0.000131365435038	0.615253811821284	-0.00054977902915	-14565.5967686722
Exopolysaccharide biosynthesis	0.00266688922885	0.000129274839686	1.77537729752547E-82	0.000723143845326	0.000142434847988	4.36619180271366E-07	0.017891759277242	-14345.3824281793
Thiamine metabolism	0.003343382500928	0.000129470640249	5.73525096444697E-120	0.000189967626741	0.000142650580791	0.183182448030315	0.000568369461909	-14341.2627872436
Riboflavin metabolism	0.002110154625843	9.76459812171987E-05	2.90237483097008E-89	2.15675628306803E-05	0.000107586213413	0.841144796817378	-0.000706243054829	-15109.1543330887
Vitamin B6 metabolism	0.001427716208648	6.13440418433497E-05	4.0900163466835E-101	8.0260804336912E-05	6.75887844546454E-05	0.235243082560549	0.000301471900641	-16374.4772648838
Nicotinate and nicotinamide metabolism	0.0037641805704	0.000148087089007	6.31248541600846E-117	-0.00022298392127	0.000163162159496	0.171964245615293	0.000637611341025	-13975.5718844797
Pantothenate and CoA biosynthesis	0.00396568259678	0.000147689772792	9.19069911109499E-128	-3.21993584789576E-05	0.000162724397015	0.843171167112561	-0.000707003052792	-13982.8847985506
Biotin metabolism	0.002674906114649	0.000123662152945	2.08549018570641E-89	0.000300204140293	0.000136250797134	0.027739452476479	0.002826269063851	-14466.2049418809
Lipoic acid metabolism	0.002752686071715	0.000230037275862	1.90754956625813E-31	-0.001259731148357	0.000253454767367	7.53796204795885E-07	0.017130327532735	-12776.6919593189
Folate biosynthesis	0.004750254555673	0.000185061880439	8.42022585697066E-119	0.000453466668662	0.000203900935965	0.0263152398189	0.002893061344816	-13368.8660718951
One carbon pool by folate	0.0027325395471	0.000108565058021	4.60805971647714E-115	-0.000784629107722	0.000119616837844	7.65246595016809E-11	0.029976099422491	-14820.619325627
Retinol metabolism	0.000253462018256	2.9067456643066E-05	7.98492780947694E-18	4.45362042526763E-05	3.20264854198864E-05	0.164572777892912	0.000686134365491	-18407.4814374443
Porphyrin metabolism	0.010778237163198	0.000468845951524	4.67913656268208E-99	0.003449240291449	0.000516573851474	3.54079096080538E-11	0.031052150599605	-10838.5384377345
Ubiquinone and other terpenoid-quinone biosynthesis	0.00283966305683	0.000124358021684	6.02163163361357E-98	0.000726201238181	0.000137017504394	1.34939366111477E-07	0.019530558275318	-14450.9307031541
Terpenoid backbone biosynthesis	0.003214612973242	0.00014356948051	8.98699975445788E-95	-0.00085596605976	0.000158184664409	7.39160931570088E-08	0.020371161375367	-14059.9033564699
Monoterpenoid biosynthesis	0	0		0	0			-inf
Sesquiterpenoid and triterpenoid biosynthesis	0.00016428784694	1.79327514061841E-05	1.83385718017721E-19	0.000122514239991	1.97582818648706E-05	7.44520315840202E-10	0.026797483031416	-19722.1815552006
Diterpenoid biosynthesis	0	0		0	0			-inf
Carotenoid biosynthesis	0.00112216225232	7.81617439920736E-05	1.26078627341522E-43	0.000723062614047	8.61185065172251E-05	1.14502125705911E-16	0.048615126506876	-15714.9849215479
Brassinosteroid biosynthesis	0	0		0	0			-inf
Insect hormone biosynthesis	0.000149548457377	2.70426999766087E-05	3.83385879150799E-08	3.58269839958708E-05	2.97956111933111E-05	0.229408417247397	0.000327705496305	-18604.0156150764
Zeatin biosynthesis	0.00013211145856	1.59781104288843E-05	3.20003190496574E-16	-0.000164646790381	1.76046610122E-05	3.40677569176684E-20	0.059778979023734	-20036.3249652369
Limonene degradation	0.000158844384239	3.66975445950773E-05	1.61146126924643E-05	-3.58190807100365E-05	4.04333062693408E-05	0.37583860697606	-0.000158271812417	-17773.0087477796
Pinene, camphor and geraniol degradation	0.00084650356235	0.000126635319445	3.37119266503057E-11	-0.000266612855421	0.000139526628065	0.05623555803356	0.001945695014286	-14401.5351727058
Type I polyketide structures	5.80211132023494E-06	1.44989940829844E-05	0.689091719987723	-1.48114164392822E-06	1.59749725716883E-05	0.926142548452136	-0.000729505078457	-20300.741171904
Biosynthesis of 12-, 14- and 16-membered macrolides	6.08476912822062E-08	5.69317624621297E-07	0.914901315377344	-5.12123705577949E-07	6.27273408475792E-07	0.414398351490008	-0.000245240259787	-29112.933243222
Biosynthesis of ansamycins	0.00039936856442	4.52477303816317E-05	3.26179608289436E-18	-0.000349077334006	4.98538897002522E-05	3.95478309892307E-12	0.03411019662734	-17202.9058176781
Biosynthesis of enediyne antibiotics	0.000188575065775	0.00012299518616	0.125461644302641	-0.000221632360069	0.00013551593401	0.10218195015449	0.001229930194248	-14480.9256716182
Biosynthesis of type II polyketide backbone	-2.42072875671333E-06	5.67897397969609E-06	0.669984713074136	-7.56829094475076E-06	6.2570860462275E-06	0.226659985667523	0.000340342784986	-22852.0954380447
Biosynthesis of type II polyketide products	6.91168393969967E-05	1.68977554384165E-05	4.56122199813875E-05	-1.11779243448357E-05	1.86179246716567E-05	0.548349726927459	-0.000470469580149	-19883.9988198176
Tetracycline biosynthesis	1.01096654213992E-05	5.8938953160894E-06	0.086522330103146	3.60564192686145E-06	6.49388609141015E-06	0.578824354280375	-0.000508870980894	-22750.9825452189
Polyketide sugar unit biosynthesis	0.00093984528723	6.51122743815165E-05	4.77860759644084E-44	0.000125028350453	7.17406180988569E-05	0.081597658470257	0.001495769320157	-16212.2051558477
Nonribosomal peptide structures	0.000191878966405	0.000184123863013	0.297541882949514	8.44730903734898E-06	0.000202867429602	0.966792158524165	-0.000734558406203	-13382.6980736569
Biosynthesis of siderophore group nonribosomal peptides	0.000452705180787	0.00014081396353	0.001335502977634	7.04563804314608E-05	0.000155148639432	0.649813674566231	-0.000583997754882	-14112.6543313903
Biosynthesis of vancomycin group antibiotics	0.00027365042802	3.29733092350746E-05	2.49995898835973E-16	3.03641150430878E-05	3.63299486580445E-05	0.40342140811389	-0.000221710426403	-18064.2938463901
Phenylpropanoid biosynthesis	0.000398051554263	3.62150340039557E-05	5.54076469365335E-27	-1.83648467907473E-05	3.99016767359677E-05	0.645408615346588	-0.000579871076838	-17809.0358099803
Stilbenoid, diarylheptanoid and gingerol biosynthesis	0.000130534495821	1.13121235504642E-05	1.87298834543703E-29	4.78012906461632E-05	1.24636828190924E-05	0.000131183614121	0.00997963277111	-20976.3531193561
Flavonoid biosynthesis	0.000130534495821	1.13121235504642E-05	1.87298834543703E-29	4.78012906461632E-05	1.24636828190924E-05	0.000131183614121	0.00997963277111	-20976.3531193561
Flavone and flavonol biosynthesis	3.87897641525444E-05	1.90994881496598E-05	0.042456207682941	-9.77787450251612E-06	2.10437908711318E-05	0.642260733785505	-0.000576880986496	-19550.6062525254
Anthocyanin biosynthesis	0	0		0	0			-inf
Isoflavonoid biosynthesis	0	0		0	0			-inf
Degradation of flavonoids	0.00076893810511	0.000189829550213	5.39577627791109E-05	-0.000322224358799	0.000209153948239	0.12364488709053	0.001008888962949	-13299.6284432253
Indole alkaloid biosynthesis	1.83320066483547E-05	1.33306858770533E-05	0.169304295203084	-2.45463542461212E-05	1.46877321301648E-05	0.09490950439895	0.001316616195755	-20529.4182617096
Indole diterpene alkaloid biosynthesis	0	0		0	0			-inf
Isoquinoline alkaloid biosynthesis	0.000528263300981	3.60032293332814E-05	2.34089216286427E-45	9.93898191783846E-05	3.96683106289666E-05	0.012343273350275	0.003865616491064	-17825.0022411839
Tropane, piperidine and pyridine alkaloid biosynthesis	0.000902263992335	4.73762236713477E-05	7.27698511189089E-72	0.000100363318432	5.21990608016144E-05	0.054726090101143	0.001979008744854	-17077.780973485
Biosynthesis of various alkaloids	4.60730866966975E-06	3.0509978812147E-06	0.131250639811315	9.65309092951975E-07	3.36158544446082E-06	0.774034451123945	-0.000675117079075	-24543.2791220886
Caffeine metabolism	1.20200424503926E-05	5.65828701974451E-06	0.033823075083008	-7.7028128145632E-07	6.23429318101722E-06	0.901685489700493	-0.000724593799859	-22862.0290485499
Betalain biosynthesis	6.76537462838608E-05	1.80389581960171E-05	0.000183956908846	-5.28111616678648E-05	1.98753003659334E-05	0.007973358451571	0.004436344662289	-19706.1080504842
Glucosinolate biosynthesis	0.000669971582508	3.91476204285397E-05	1.30068418104208E-59	2.98364063222652E-06	4.31327965935732E-05	0.94486180126847	-0.000732311656849	-17597.0864548991
Benzoxazinoid biosynthesis	0	0		0	0			-inf
Penicillin and cephalosporin biosynthesis	0.000458641312998	5.04501898103335E-05	3.3821713368023E-19	9.15531813380889E-07	5.55859526422165E-05	0.98686140558848	-0.000735635409171	-16906.6596763141
Carbapenem biosynthesis	0.000533158822411	3.66905991368675E-05	1.40721662431451E-44	6.39764145828602E-05	4.04256537726391E-05	0.113752253015573	0.001105047255865	-17773.5239682591
Monobactam biosynthesis	0.001642107262582	9.31105193214965E-05	7.58387384653815E-63	-0.000205683385886	0.000102589047473	0.045169049750162	0.002215467433981	-15238.6162845526
Clavulanic acid biosynthesis	1.63783037721349E-08	1.37723104326033E-06	0.990513368226127	-3.90989275343381E-07	1.51743134834309E-06	0.796704303680062	-0.000686948513087	-26708.3408230258
Streptomycin biosynthesis	0.001734679496839	8.26164405555317E-05	5.33140670675302E-85	-5.76207500151788E-05	9.10266853197776E-05	0.526833985969391	-0.000440855344224	-15564.1088757169
Neomycin, kanamycin and gentamicin biosynthesis	0.000326933030823	2.76719348107208E-05	9.87992729150006E-31	7.2458000009069E-05	3.04889013042359E-05	0.017613869422962	0.003405953800436	-18541.4052096519
Acarbose and validamycin biosynthesis	0.000540563501988	4.12621665956084E-05	5.14631348121847E-37	6.8998113984718E-05	4.54626007735842E-05	0.129325258497035	0.0009574512041	-17453.8918957385
Novobiocin biosynthesis	0.001047664927293	5.71237293148425E-05	2.65058584036649E-67	5.46650498194208E-05	6.29388496728955E-05	0.38525090863134	-0.000180646132948	-16568.4971893087
Staurosporine biosynthesis	4.07609616001729E-05	5.02215071825241E-05	0.417149760795871	-5.79215195066072E-05	5.53339904242882E-05	0.2953954865914	7.03705794823373E-05	-16919.0261149886
Phenazine biosynthesis	0.000764167429155	4.08676680390337E-05	1.30502772299933E-69	0.000104594654396	4.50279427838793E-05	0.020332451110402	0.003221782615724	-17480.0415485264
Prodigiosin biosynthesis	0.001607350987073	9.41718345018302E-05	2.47933194341336E-59	0.000558011359794	0.00010375840314	8.85804232484669E-08	0.020118371841642	-15207.7652108957
Aflatoxin biosynthesis	0	0		0	0			-inf
Biosynthesis of various antibiotics	9.05476139990001E-05	3.68213671204979E-05	0.014052268535914	-0.000133040200079	4.05697337646574E-05	0.001067006169673	0.007120832887823	-17763.8398081144
Biosynthesis of various plant secondary metabolites	0.001038620051737	0.000139682068085	1.83569506695913E-13	-0.000498702028442	0.000153901518522	0.001222536043967	0.006936963795532	-14134.6228142237
Biosynthesis of various other secondary metabolites	0.000155693169589	3.61527524747459E-05	1.77739527031219E-05	2.47608833238205E-05	3.98330550291683E-05	0.534298342468646	-0.000451374938504	-17813.7210538606
Benzoate degradation	0.003106443056801	0.000348366040652	1.50746755571141E-18	-0.000480486130781	0.000383829244461	0.210849918119585	0.000416782010186	-11647.0281978814
Aminobenzoate degradation	0.001607638866986	0.000171712008815	3.11814210995016E-20	-0.000301715567936	0.000189192065005	0.11099886839495	0.001133458832188	-13572.6664360697
Fluorobenzoate degradation	0.000270339512529	4.30943629073595E-05	4.74417945796335E-10	4.07806627609618E-05	4.7481312255129E-05	0.390559194857873	-0.000192925656151	-17335.6313924753
Chloroalkane and chloroalkene degradation	0.001189833570261	7.31556777779562E-05	1.74700866023658E-54	0.000464238334633	8.06028293602537E-05	1.0414432456862E-08	0.023109737096766	-15895.1556744373
