Pathway name,ko,Number of genes,Alpha,Standard error,P-value alpha,Beta,Standard error,P-value beta,R squared adj,AIC
Pyrimidine metabolism,ko00240,111,35194.58013827058,884.6788072977688,3.8572916902904135e-230,7615.00475835599,974.7379439185745,1.1158791010568096e-14,0.04227576822242973,28495.616280600487
"Alanine, aspartate and glutamate metabolism",ko00250,70,45073.11845880767,1316.216391918663,8.090625883979805e-186,11299.48624980081,1450.2054859090758,1.305780885439056e-14,0.04205770356588767,29577.044779024825
"Glycine, serine and threonine metabolism",ko00260,109,39708.76200548347,1659.6678730735375,7.325422391129146e-106,7069.884250930856,1828.6198751937636,0.00011574689704023915,0.010151634270587406,30208.157505009305
Cysteine and methionine metabolism,ko00270,125,40409.34010490186,1132.0740153499235,2.0146014017572304e-197,9796.289621323212,1247.3176580960155,8.134411240949737e-15,0.04271430709740609,29166.812461965394
"Valine, leucine and isoleucine degradation",ko00280,69,23101.587534382008,2503.149852007417,1.0138975289047551e-19,-3997.0714507692264,2757.9672079163497,0.1474896326388121,0.0008084763485111113,31326.715426299685
"Valine, leucine and isoleucine biosynthesis",ko00290,19,18031.675570167055,626.9103000155445,1.7219571496182133e-142,4930.060679773371,690.7289423209287,1.5424939300295242e-12,0.03542237689825101,27558.101825092053
Lysine biosynthesis,ko00300,48,19681.54270002281,475.95878781409317,1.1926064637981584e-242,4630.745795995896,524.4107651238594,3.150366026469168e-18,0.05356778032251752,26808.266502240185
Lysine degradation,ko00310,98,13724.568632997758,1307.186478719381,7.546562568595757e-25,-621.8597966489966,1440.2563394470776,0.6659769153096131,-0.000598574604467661,29558.30612391789
Arginine biosynthesis,ko00220,60,22584.906540994758,825.0516794594575,9.233650308206114e-132,5681.430639666582,909.0408530518744,5.485190131791189e-10,0.027224463067797577,28305.678867748717
Arginine and proline metabolism,ko00330,107,28730.51984057603,1440.5951088713396,7.943504478374032e-78,9383.17803835061,1587.2457923226505,4.2785610907662e-09,0.024353242355784843,29822.82789785716
Histidine metabolism,ko00340,47,14539.260125128138,575.0820056816867,6.653899866637959e-116,3108.582502414456,633.6245959309656,1.0415670006504453e-06,0.016679678928387176,27323.21821572709
Tyrosine metabolism,ko00350,84,12858.020971486796,761.1730727082419,2.9386729501533472e-58,3933.2608405604124,838.659488322171,3.008076675474242e-06,0.015203175079499753,28086.325773322085
Phenylalanine metabolism,ko00360,74,17586.986098961526,1439.7624763045053,1.236866356551575e-32,1570.3940972404057,1586.3283988578803,0.3223722225359579,-1.4697745235769943e-05,29821.25418636959
Tryptophan metabolism,ko00380,80,18649.846238773785,1608.2914033107375,1.0262078163628148e-29,-306.0798780129047,1772.0133485207098,0.8628893765015705,-0.0007138653760530023,30122.563859553848
"Phenylalanine, tyrosine and tryptophan biosynthesis",ko00400,74,26083.38218191653,701.8503226214983,3.462290800649398e-209,7036.796558272294,773.2977604609935,3.1349158834310683e-19,0.05673789892763215,27865.46107549882
beta-Alanine metabolism,ko00410,46,9563.45221320304,791.0715455281974,4.965293867517736e-32,1829.5937572082205,871.6015862705167,0.035990667823029385,0.002498369297998071,28191.19804516894
Taurine and hypotaurine metabolism,ko00430,29,7563.943023314513,469.2729510252109,1.2765210179531936e-53,1235.0843730534762,517.0443189614649,0.017042046455420123,0.0034484188094899837,26769.759223019915
Phosphonate and phosphinate metabolism,ko00440,44,2030.6753951794694,266.2598939808647,4.5050124014939206e-14,616.5719650410679,293.36480027098787,0.03576110215904312,0.002506382806666374,25227.16995530758
Selenocompound metabolism,ko00450,33,14473.780894400927,560.5456492998356,6.000076626434333e-120,1659.3067919767889,617.6084576276276,0.007304923827126025,0.004551371757678613,27253.529663947902
Cyanoamino acid metabolism,ko00460,36,7455.159244617371,647.9527313598072,2.672914174063821e-29,79.46805124196473,713.9134654431728,0.9113843600562037,-0.0007267110733801818,27647.966695352345
D-Amino acid metabolism,ko00470,55,17090.967492168835,904.2940080591167,6.43053640901791e-71,5249.487884683233,996.3499462655809,1.5958336740413092e-07,0.019296353658319054,28555.309436129013
Glutathione metabolism,ko00480,57,20436.138838222963,983.4475213025305,1.652644259711233e-83,7601.828016770605,1083.5611828368308,3.6009939735100485e-12,0.034240844520931346,28783.711747353587
N-Glycan biosynthesis,ko00510,48,1425.5888579759242,105.46084873364862,3.692158734126307e-39,823.484170497814,116.19662414264742,2.1949816861769526e-12,0.034930827597281056,22706.235671167473
Various types of N-glycan biosynthesis,ko00513,55,1111.05569538505,362.0196322313378,0.002189931400380463,-575.3082889015884,398.87275366884745,0.14943819761039018,0.0007937307987114783,26063.437946541475
Mucin type O-glycan biosynthesis,ko00512,15,0.0,0.0,,0.0,0.0,,,-inf
Mannose type O-glycan biosynthesis,ko00515,21,545.2606464804355,72.05864256875815,7.014731513289461e-14,291.3485208320138,79.39411741259639,0.0002522804485248211,0.009083153068623395,21669.536073076186
Other types of O-glycan biosynthesis,ko00514,31,5197.96994663879,366.8828051248808,1.3299172987628463e-42,4729.362064710985,404.2309911535362,3.3987652408512825e-30,0.09083729687063824,26099.760374245667
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,ko00532,18,-6.401558665974878,10.346012345194973,0.5361870833161639,-11.622823487187429,11.399222766412674,0.3080923556455642,2.9128296106128992e-05,16386.46315521504
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,ko00534,22,10.479479193825885,12.860691536980415,0.4153034073872882,-2.4397190228756465,14.169892985701363,0.863324605166277,-0.0007140060138464133,16978.70047278973
Glycosaminoglycan biosynthesis - keratan sulfate,ko00533,14,0.0,0.0,,0.0,0.0,,,-inf
Glycosaminoglycan degradation,ko00531,15,3754.619574666105,742.7916674189805,4.897190696244595e-07,-784.5670570328206,818.4068802002291,0.33790480783283505,-5.955290578274486e-05,28019.78607941147
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,ko00563,27,-10.929254791371743,9.448413119228656,0.247586325893244,-18.772515073548057,10.410249122233555,0.07156685767206257,0.00165299206524816,16139.429783755033
Glycosphingolipid biosynthesis - lacto and neolacto series,ko00601,28,0.0,0.0,,0.0,0.0,,,-inf
Glycosphingolipid biosynthesis - globo and isoglobo series,ko00603,16,2180.916798039456,531.6766337008188,4.339897700323638e-05,-793.7202975505041,585.8006142885394,0.1756642410213006,0.0006142122986685372,27109.603342499075
Glycosphingolipid biosynthesis - ganglio series,ko00604,14,983.5545536809531,356.84858393052843,0.005925467151337754,-632.5900951684122,393.17529946619686,0.1078647070409848,0.0011667576484845066,26024.276843182193
Other glycan degradation,ko00511,22,8867.352846949183,1710.7165115148398,2.507788381593048e-07,799.8778032941873,1884.8651977488564,0.6713641087788761,-0.0006032395624921971,30290.619921882208
Lipopolysaccharide biosynthesis,ko00540,62,9007.630470258146,925.4451485497626,1.0895689158142037e-21,-664.617633045662,1019.6542449820369,0.5146359887121914,-0.00042308172799798704,28618.242962842294
O-Antigen repeat unit biosynthesis,ko00542,35,1195.018162941899,75.67938194644452,1.064100681486957e-51,622.3282385844334,83.3834432869791,1.4987362129367966e-13,0.038667547986455664,21802.98345797743
O-Antigen nucleotide sugar biosynthesis,ko00541,99,21935.819577255555,735.6654606191536,1.002470664400972e-150,6126.06208618362,810.5552349401614,7.498800742490761e-14,0.039630244738900644,27993.54563623286
Peptidoglycan biosynthesis,ko00550,53,31756.61736920826,1117.1558025896381,7.045561414093628e-140,7030.3431066021785,1230.880790938186,1.3727353336425776e-08,0.022723676809855542,29130.7041280982
Teichoic acid biosynthesis,ko00552,41,14290.504495098483,973.6577506547168,2.2114826930794184e-45,7241.507759960909,1072.7748264394943,2.179645567453246e-11,0.03172937023876843,28756.479714058474
Lipoarabinomannan (LAM) biosynthesis,ko00571,14,2407.2442165734938,422.28005138309277,1.4625243389357795e-08,1239.8481460423573,465.2676040700539,0.007794461787973066,0.004466136059418924,26482.545048056767
Arabinogalactan biosynthesis - Mycobacterium,ko00572,12,3219.3368296051976,494.76793805164453,1.0769370166547598e-10,387.65138339490306,545.1346620660809,0.4771373365449668,-0.0003636033430587382,26913.764608772235
Exopolysaccharide biosynthesis,ko00543,73,14057.138507763537,633.8312976908128,2.9074882192547267e-93,6588.8746195020885,698.354488438013,1.6337109845348278e-20,0.06078419831150317,27587.987639843002
Thiamine metabolism,ko00730,36,16328.943258831852,439.68942078361425,5.622960986621321e-209,5601.349356523257,484.4492243308765,1.4685317192636068e-29,0.08889130248256238,26592.513556850347
Riboflavin metabolism,ko00740,54,10235.748690718101,309.74506218745336,2.9640787523615146e-176,3132.5550894682747,341.2767012897458,1.572490847945953e-19,0.05768411844824706,25638.9451388975
Vitamin B6 metabolism,ko00750,24,6715.007314463535,259.2499897904553,1.4761634137934974e-120,1804.3955623348936,285.6412970726954,3.6058689643266577e-10,0.027810667076310525,25154.54680722785
Nicotinate and nicotinamide metabolism,ko00760,95,19057.37486502105,720.3599693306885,9.516479395455974e-125,4793.348159876442,793.6916648103972,1.9943805052281327e-09,0.025420220326273335,27936.317127656494
Pantothenate and CoA biosynthesis,ko00770,45,19043.34038627486,609.2769332684688,4.7881782333640245e-162,4864.18188708171,671.3005220788899,7.176191761790705e-13,0.036488181323290236,27480.441615071268
Biotin metabolism,ko00780,24,13644.726372258287,574.720647664521,1.6294298275711716e-104,4786.879875362934,633.2264521439041,7.40818169378567e-14,0.03964714236745237,27321.50728463427
Lipoic acid metabolism,ko00785,31,14500.150384134733,868.4049231017215,4.4633603582019837e-57,-451.3689797865022,956.8073997595292,0.637184636143727,-0.0005719863786093349,28445.078152257713
Folate biosynthesis,ko00790,84,22128.143436356302,652.7765697709816,4.690555606104806e-183,6892.852605542228,719.2283642470286,4.272558520821895e-21,0.06261644414084178,27668.15621263438
One carbon pool by folate,ko00670,42,14313.974128079853,402.86096905711855,4.154681672062844e-196,2098.497140932098,443.8716847566679,2.506766152685057e-06,0.015456787878959988,26354.400881591922
Retinol metabolism,ko00830,50,1319.219607110476,119.11754814277536,2.3601098025581263e-27,504.0165098025021,131.24355755278134,0.0001285331492489817,0.01000766787110774,23037.696396012347
Porphyrin metabolism,ko00860,139,53555.33095818221,1753.9643396072524,2.3697859229531035e-156,27301.794175866908,1932.5155977426175,2.1923849931964174e-42,0.1274158249264532,30358.578102048683
Ubiquinone and other terpenoid-quinone biosynthesis,ko00130,59,14659.49964955194,577.4098182160506,1.0649360612762608e-116,6724.7110615875445,636.1893767133879,3.7572742953197306e-25,0.07528989159343369,27334.21406698392
Terpenoid backbone biosynthesis,ko00900,63,16238.297465840298,642.3926291582061,7.156087061811332e-116,2057.7869762868754,707.7873521653833,0.00370418577005104,0.00545005739150084,27624.508337105806
Monoterpenoid biosynthesis,ko00902,42,0.0,0.0,,0.0,0.0,,,-inf
Sesquiterpenoid and triterpenoid biosynthesis,ko00909,75,921.2051870226801,91.98728792256098,7.959656551815488e-23,732.4394810029858,101.35147259846558,8.222507881835991e-13,0.03629865532848031,22334.167153648752
Diterpenoid biosynthesis,ko00904,68,0.0,0.0,,0.0,0.0,,,-inf
Carotenoid biosynthesis,ko00906,56,6313.033284746532,331.4974907089553,7.351203458732467e-72,4843.563501084827,365.2434983661316,7.804114926598892e-38,0.11392521831622937,25823.689078120744
Brassinosteroid biosynthesis,ko00905,12,0.0,0.0,,0.0,0.0,,,-inf
Insect hormone biosynthesis,ko00981,18,734.8972161483505,119.83240434392181,1.1306257791937757e-09,253.2985146535613,132.03118517306004,0.05526013066640661,0.0019671125022545644,23053.983023102188
Zeatin biosynthesis,ko00908,10,947.3649996841182,39.056050440824606,2.724294297198479e-108,0.9733661074546234,43.031904901793304,0.9819569996535755,-0.0007354584074208415,20002.358810208436
Limonene degradation,ko00903,9,807.4449577916174,181.34568365576416,9.181959816244991e-06,-50.61558667510001,199.80643524744423,0.8000568578339863,-0.000688582204646071,24181.737369518196
"Pinene, camphor and geraniol degradation",ko00907,25,4166.5333243164905,592.271727416122,3.1526910939847723e-12,-533.0718553228033,652.5642086827788,0.41413562481529564,-0.0002446878247370776,27403.38895341243
Type I polyketide structures,ko01052,127,31.66548173667554,157.0962455311537,0.8402850989186558,-37.12227030135756,173.0884362812864,0.8302127647657147,-0.0007019649352377755,23791.004020047214
"Biosynthesis of 12-, 14- and 16-membered macrolides",ko00522,59,0.7765984339754893,2.8945883781320965,0.7885143431636862,-2.0419254212973605,3.1892536601042605,0.5221168346997518,-0.0004340689389878971,12919.293205199352
Biosynthesis of ansamycins,ko01051,32,2704.773656495533,167.56891940381496,9.36007834253123e-54,161.09998171428862,184.62721455172792,0.38305218825277887,-0.00017548914515419511,23966.67122812653
Biosynthesis of enediyne antibiotics,ko01059,73,1446.72236726862,669.3950243896763,0.03085110623988246,-627.1944951578348,737.5385556436203,0.3952587813655515,-0.0002035995052955819,27736.585781103284
Biosynthesis of type II polyketide backbone,ko01056,9,-22.240025241945425,46.246233303722214,0.6306617313099409,-63.846543039767695,50.95403890383504,0.21041316700778376,0.00041898958624608795,20462.328395111486
Biosynthesis of type II polyketide products,ko01057,73,387.1910579010008,88.63235110357674,1.3460209828128205e-05,28.378437511703254,97.65500763294646,0.7714024424026347,-0.0006736537104499174,22233.035421447432
Tetracycline biosynthesis,ko00253,17,57.023842575715385,48.15566141539103,0.23655815820654888,8.140240334387276,53.057844280741676,0.8780882777077545,-0.000718502412829114,20572.456953354376
Polyketide sugar unit biosynthesis,ko00523,59,4215.361715144838,207.64569412580755,3.0825309610066564e-80,1330.6024766198623,228.7837521212489,7.50513076438186e-09,0.02356767425945283,24550.372846588383
Nonribosomal peptide structures,ko01054,51,893.1039464337792,1117.5412149451831,0.4243322545335697,-111.08563538781834,1231.3054377635717,0.9281274548252822,-0.0007298416577927735,29131.643040562813
Biosynthesis of siderophore group nonribosomal peptides,ko01053,36,2153.6633593725724,885.8293950005632,0.015175837589599468,239.92247370674664,976.0056599330966,0.80585808860898,-0.0006913394903627079,28499.154135058132
Biosynthesis of vancomycin group antibiotics,ko01055,29,1321.081716283385,157.2454130967345,1.0972441606691932e-16,418.97127494914594,173.25278890844797,0.015725449083572377,0.003552050419578179,23793.58741383448
Phenylpropanoid biosynthesis,ko00940,32,2031.3889494646446,149.09599929388793,1.0207862882623536e-39,406.39976428781154,164.27377552098858,0.013485471696139737,0.0037507813814138258,23648.729823564154
"Stilbenoid, diarylheptanoid and gingerol biosynthesis",ko00945,12,652.5453681445151,44.75566808062167,7.574323670801379e-45,334.85826247653984,49.31173610551274,1.663873365333789e-11,0.03210617384361003,20373.150446583233
Flavonoid biosynthesis,ko00941,27,652.5453681445151,44.75566808062167,7.574323670801379e-45,334.85826247653984,49.31173610551274,1.663873365333789e-11,0.03210617384361003,20373.150446583233
Flavone and flavonol biosynthesis,ko00944,15,167.84574865329836,68.88297343920469,0.014950452310367261,-19.189462154740056,75.89516935102633,0.8004287958171261,-0.0006887616282977849,21546.85215767716
Anthocyanin biosynthesis,ko00942,16,0.0,0.0,,0.0,0.0,,,-inf
Isoflavonoid biosynthesis,ko00943,18,0.0,0.0,,0.0,0.0,,,-inf
Degradation of flavonoids,ko00946,21,3656.955726441436,852.515109733145,1.9164589659267775e-05,-900.5640885870929,939.3000243320054,0.3378497710539393,-5.939884775441051e-05,28394.810504292258
Indole alkaloid biosynthesis,ko00901,31,105.30712222674387,59.61740219729774,0.07755620082725422,-82.71684760053094,65.68637516824946,0.2081492538455403,0.00043052018068179265,21153.6279194099
Indole diterpene alkaloid biosynthesis,ko00403,13,0.0,0.0,,0.0,0.0,,,-inf
Isoquinoline alkaloid biosynthesis,ko00950,63,2454.546062238363,155.15175162372964,7.141230968856565e-52,825.9031991439517,170.94599545683158,1.509828588912705e-06,0.016162516411907024,23757.101603464915
"Tropane, piperidine and pyridine alkaloid biosynthesis",ko00960,33,4042.8847619485423,189.9284899332544,5.268654336805713e-87,1081.153754061474,209.2629598922766,2.740999931003565e-07,0.018541311896673962,24307.6096403745
Biosynthesis of various alkaloids,ko00996,14,28.259041428054108,13.39602233325977,0.035083057002199484,11.92724786290193,14.75971975150293,0.41917762935092984,-0.00025519991384026497,17089.709976318078
Caffeine metabolism,ko00232,16,67.98419485586602,25.573552699595897,0.007943909328898654,8.080735941404566,28.17690665976043,0.774320073685083,-0.0006752747476270748,18849.75761988702
Betalain biosynthesis,ko00965,8,343.29256653675617,79.19814909247006,1.5678115092430125e-05,-171.92227695826426,87.26041629091219,0.049015836837267866,0.002114467742535875,21926.69065597514
Glucosinolate biosynthesis,ko00966,21,2946.0900159290277,119.79683144813364,9.026075817194048e-111,590.9551680590776,131.99199100336392,8.195734396967915e-06,0.013810540845583641,23053.174862756256
Benzoxazinoid biosynthesis,ko00402,8,0.0,0.0,,0.0,0.0,,,-inf
Penicillin and cephalosporin biosynthesis,ko00311,16,2613.5538593379224,237.2916627048879,4.394184414462107e-27,717.3434124927812,261.4476412297863,0.006154313764670329,0.004777135235321972,24913.64224308644
Carbapenem biosynthesis,ko00332,19,2510.6872834479036,113.1799686974319,2.6754231464574976e-93,853.033171207574,124.70154034533255,1.1889901041365325e-11,0.03257503936933326,22898.51615376458
Monobactam biosynthesis,ko00261,28,7717.500674827925,431.45017362795505,2.0047164835809923e-64,837.1006285252065,475.371232673684,0.0784732886887859,0.0015424060743181034,26541.022614015652
Clavulanic acid biosynthesis,ko00331,5,0.1432141647677723,12.042699677383363,0.9905133682261276,-3.4188645711117998,13.2686306328694,0.7967043036800616,-0.0006869485130867048,16799.81920387423
Streptomycin biosynthesis,ko00521,21,8475.710406125963,307.317449230708,2.4270582627416578e-133,2184.5263416056146,338.60196053347545,1.535212812532226e-10,0.029003671902590455,25617.527546877685
"Neomycin, kanamycin and gentamicin biosynthesis",ko00524,58,1617.2749525783843,111.39487034546026,1.6544589557309678e-44,670.8776888654529,122.73472133379991,5.467667529015767e-08,0.020792337232180214,22855.242026749394
Acarbose and validamycin biosynthesis,ko00525,27,2312.2719969949067,120.2673411316376,4.687244285559873e-73,679.8887928496085,132.5103979525405,3.3026042916450064e-07,0.01828122962732237,23063.84475143344
Novobiocin biosynthesis,ko00401,30,4695.523677537258,222.3534293522625,7.823055097810287e-86,1110.404737875845,244.98871540970276,6.342036611210072e-06,0.014166508098748531,24736.65266181934
Staurosporine biosynthesis,ko00404,40,278.1847171647082,213.52579563036193,0.19285846685014402,-128.15030977610365,235.2624402092893,0.5860408761765445,-0.0005173915798233342,24626.383102432723
Phenazine biosynthesis,ko00405,16,3503.3568081354288,157.69095468130828,1.5494795247805512e-93,1039.889632748252,173.74368603913,2.760957640441186e-09,0.024965573557329757,23801.289064874894
