#source,rank,lambda,phylum,pval
Bacillaceae,family,0.524848998056594,Firmicutes,1.8654728818545983e-09
Bacillales,order,0.379057554621981,Firmicutes,6.040418113219942e-08
Bacilli,class,0.40329434633428296,Firmicutes,4.384712479156387e-10
Firmicutes,phylum,0.587748930751315,Firmicutes,3.314907056479814e-13
Euryarchaeota,phylum,0.501120744784181,Euryarchaeota,4.506634983555037e-05
Cyanobacteria,phylum,1.0,Cyanobacteria,2.8234674307498957e-15
Sphingobacteriaceae,family,6.217942469306277e-137,Bacteroidetes,0.9999999048847479
Sphingobacteriales,order,1.2534928176049492e-217,Bacteroidetes,0.9999999048847479
Sphingobacteriia,class,1.0717742546507694e-195,Bacteroidetes,0.9999999048847479
Weeksellaceae,family,9.455120128498837e-193,Bacteroidetes,0.9999999048847479
Flavobacterium,genus,0.5506143762647571,Bacteroidetes,0.17941426904586233
Flavobacteriaceae,family,0.388873187754749,Bacteroidetes,0.1387735128087403
Flavobacteriales,order,0.46216256863141997,Bacteroidetes,1.594215851464225e-06
Flavobacteriia,class,0.462161996893652,Bacteroidetes,1.594215851464225e-06
Hymenobacteraceae,family,2.1422911389237489e-190,Bacteroidetes,0.9999999048847479
Cyclobacteriaceae,family,1.5161670390067593e-216,Bacteroidetes,0.9999999048847479
Cytophagales,order,0.5733690684514899,Bacteroidetes,4.307335133982093e-11
Cytophagia,class,0.573369068450693,Bacteroidetes,4.307335133982093e-11
Chitinophagaceae,family,7.490965617961288e-122,Bacteroidetes,0.9999999048847479
Chitinophagales,order,1.593216483037309e-216,Bacteroidetes,0.9999999048847479
Chitinophagia,class,1.2873444977079295e-162,Bacteroidetes,0.9999999048847479
Bacteroidales,order,0.956675917334356,Bacteroidetes,0.0007954659478751281
Bacteroidia,class,0.9406637009484928,Bacteroidetes,1.4981263898645492e-07
Bacteroidetes,phylum,0.617168870027566,Bacteroidetes,7.096088866701591e-32
Nocardioides,genus,1.0,Actinobacteria,0.3012227415935532
Nocardioidaceae,family,1.0,Actinobacteria,0.7092926274968498
Propionibacteriales,order,3.579027198900989e-216,Actinobacteria,0.9999999048847479
Micrococcaceae,family,0.186263610814963,Actinobacteria,0.7216774040981313
Microbacterium,genus,0.338062144140516,Actinobacteria,0.5799192847405168
Microbacteriaceae,family,0.846521756093384,Actinobacteria,0.0004045189645044775
Micrococcales,order,0.583819242432132,Actinobacteria,1.7038212167918985e-11
Corynebacteriales,order,1.3902363850919698e-16,Actinobacteria,0.9999999048847479
Actinomycetia,class,0.5516621144405229,Actinobacteria,3.7522212756984327e-13
Actinobacteria,phylum,0.49584393189344506,Actinobacteria,3.7522212756984327e-13
