taxon,rank,SV.lambda,phylum,SV.pval0_corrected
Hyphomicrobiales,order,0.7609664351028159,Proteobacteria,7.249103253986811e-17
Alphaproteobacteria,class,0.7576777815060569,Proteobacteria,7.774046081828484e-34
Proteobacteria,phylum,0.8486146629418051,Proteobacteria,2.684373974743072e-115
Eubacteriales,order,0.942816348655518,Firmicutes,0.005279289368289666
Clostridia,class,0.512954691158467,Firmicutes,0.0893027732632524
Lactobacillaceae,family,3.905704997491529e-86,Firmicutes,0.9999999048847479
Lactobacillales,order,0.16934374794691198,Firmicutes,0.06895396797631481
Paenibacillus,genus,1.86869575000076e-29,Firmicutes,0.9999999048847479
Paenibacillaceae,family,0.10145085485570099,Firmicutes,0.5266708575258441
Bacillaceae,family,0.524848998055998,Firmicutes,1.8654728818544916e-09
Bacillales,order,0.37905755462203494,Firmicutes,6.040418113219435e-08
Bacilli,class,0.403294346334887,Firmicutes,4.384712479157432e-10
Firmicutes,phylum,0.5877489307514879,Firmicutes,3.3149070564800087e-13
Euryarchaeota,phylum,0.501121029279024,Euryarchaeota,4.5066349843781025e-05
Cyanobacteria,phylum,1.0,Cyanobacteria,2.8234674307498957e-15
Sphingobacteriaceae,family,9.754588180510026e-218,Bacteroidetes,0.9999999048847479
Sphingobacteriales,order,5.7934870192321396e-24,Bacteroidetes,0.9999999048847479
Sphingobacteriia,class,1.3315652436106698e-104,Bacteroidetes,0.9999999048847479
Weeksellaceae,family,1.1936523959434398e-51,Bacteroidetes,0.9999999048847479
Flavobacterium,genus,0.55061437626572,Bacteroidetes,0.17941426904585808
Flavobacteriaceae,family,0.38887318774947904,Bacteroidetes,0.13877351280874478
Flavobacteriales,order,0.46216256863141997,Bacteroidetes,1.594215851464512e-06
Flavobacteriia,class,0.46216256863141997,Bacteroidetes,1.594215851464512e-06
Hymenobacteraceae,family,3.886071633574499e-176,Bacteroidetes,0.9999999048847479
Cyclobacteriaceae,family,2.0910613717950695e-65,Bacteroidetes,0.9999999048847479
Cytophagales,order,0.573369068450057,Bacteroidetes,4.307335133982348e-11
Cytophagia,class,0.573369068450611,Bacteroidetes,4.307335133982348e-11
Chitinophagaceae,family,2.4552807088645486e-210,Bacteroidetes,0.9999999048847479
Chitinophagales,order,9.176213307737138e-192,Bacteroidetes,0.9999999048847479
Chitinophagia,class,9.493997279727837e-195,Bacteroidetes,0.9999999048847479
Bacteroidales,order,0.956673147725489,Bacteroidetes,0.0007954659426662706
Bacteroidia,class,0.9406588292681551,Bacteroidetes,1.4981263898816542e-07
Bacteroidetes,phylum,0.6171688700271729,Bacteroidetes,7.096088866699537e-32
Nocardioides,genus,1.0,Actinobacteria,0.3012227415935532
Nocardioidaceae,family,1.0,Actinobacteria,0.7092926274968144
Propionibacteriales,order,6.99587488493843e-16,Actinobacteria,0.9999999048847479
Micrococcaceae,family,0.186263610814963,Actinobacteria,0.7216774040980934
Microbacterium,genus,0.338062144141935,Actinobacteria,0.5799192847405168
Microbacteriaceae,family,0.8465217560930329,Actinobacteria,0.00040451896450448017
Micrococcales,order,0.583819242431949,Actinobacteria,1.7038212167918985e-11
Corynebacteriales,order,3.1479415343495595e-131,Actinobacteria,0.9999999048847479
Actinomycetia,class,0.551662114495119,Actinobacteria,3.7522212756982283e-13
Actinobacteria,phylum,0.495843983014065,Actinobacteria,3.7522212756982283e-13
