taxid	length_gmean	width_gmean	volume_gmean	surface_gmean	length_amean	width_amean	volume_amean	surface_amean	shape	length_ranges	width_ranges	sources	species	genus	family	order	class	phylum	kingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
taxid144	9.486832980505138	0.316227766016838	0.7368152963798779	9.42477796076938	16.5	0.35	1.5762613890152035	18.14269757448105	helical	3.0,  30.0	0.2,  0.5	bm4	Borrelia coriaceae	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000568755	1730484.0	29.22	1807.0	85.25505003224532	1.0	-0.0765024456210823	0.0296669253202061
taxid147	15.811388300841893	0.3	1.110572596431484	14.901882398694148	27.5	0.3	1.936791870938108	25.9181393921158	helical	5.0,  50.0	0.3,  0.3	bm4	Spirochaeta aurantia	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N949	2516433.5	61.400000000000006	2270.5	94.22615785125471	2.0	-0.0507294052662155	0.0232046342126976
taxid148	41.747365255706114	0.2449489742783178	1.9630087556246023	32.1258457310467	93.75	0.25	4.597851748222562	73.63107781851079	helical	15.0,  300.0, 15.0,  45.0	0.2,  0.3, 0.2,  0.3	bacdive, bm4	Sediminispirochaeta bajacaliforniensis	Sediminispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	G000143985	4653970.0	48.97	4288.0	93.30079480529528	2.0	-0.110158033651017	0.0441712240454097
taxid149	21.213203435596427	0.4	2.6489746020758744	26.657297628950204	22.5	0.4	2.8106782274116684	28.27433388230813	helical	15.0,  30.0	0.4,  0.4	bm4	Spirochaeta halophila	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N949	2516433.5	61.400000000000006	2270.5	94.22615785125471	2.0	-0.0507294052662155	0.0232046342126976
taxid150	12.247448713915889	0.4	1.5223046353750913	15.390597961942364	12.5	0.4	1.5540411659757511	15.707963267948966	helical	10.0,  15.0	0.4,  0.4	bm4	Spirochaeta isovalerica	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N949	2516433.5	61.400000000000006	2270.5	94.22615785125471	2.0	-0.0507294052662155	0.0232046342126976
taxid151	6.2048368229954285	0.447213595499958	0.9512374398888244	8.717565823576447	6.25	0.45	0.970163081336698	8.835729338221293	helical	5.5,  7.0	0.4,  0.5	bm4	Oceanispirochaeta litoralis	Oceanispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	family	N769	3445611.5	56.625	2933.0	92.79106131371033	2.0	-0.1146765227031205	0.0478183767558875
taxid152	25.980762113533164	0.2449489742783178	1.2204669213676114	19.99297322171265	30.0	0.25	1.4685309409358538	23.561944901923447	helical	15.0,  45.0	0.2,  0.3	bm4	Treponema stenostreptum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N952	2830702.0	48.715	2561.0	91.25057008033882	1.0	-0.1957309160594985	0.0788657794925122
taxid154	28.2842712474619	0.223606797749979	1.107793728401658	19.869176531592203	33.0	0.225	1.3091237480742124	23.32632545290421	helical	16.0,  50.0	0.2,  0.25	bm4	Spirochaeta thermophila	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	N949	2516433.5	61.400000000000006	2270.5	94.22615785125471	2.0	-0.0507294052662155	0.0232046342126976
taxid156	11.31370849898476	0.264575131106459	0.6171550188276325	9.403810686831198	12.0	0.275	0.707304224140049	10.36725575684632	helical	8.0,  16.0	0.2,  0.35	bm4	Treponema zuelzerae	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N952	2830702.0	48.715	2561.0	91.25057008033882	1.0	-0.1957309160594985	0.0788657794925122
taxid158	8.289525201649111	0.1773816942221055	0.203362469916381	4.619429330939323	9.12	0.1875	0.2461081960544813	5.317930964364122	helical	6.8,  8.68, 5.0,  16.0	0.18,  0.22, 0.1,  0.25	bm4	Treponema denticola	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000008185	2843201.0	37.87	2578.0	91.79931352021894	2.0	-0.217862977038096	0.0989929762808683
taxid159	4.69041575982343	0.282842712474619	0.2887836699493171	4.167793630437726	6.5	0.3	0.4523893421169303	6.1261056745000975	helical	2.0,  11.0	0.2,  0.4	bm4	Brachyspira hyodysenteriae	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria	species	G001676785	3074045.0	27.04	2670.0	87.28017969808509	1.0	-0.226028412068488	0.139544261566126
taxid160	10.95445115010332	0.155401203846681	0.2067798967193107	5.348042803869422	13.0	0.16	0.2643419834534547	6.53451271946677	helical	6.0,  20.0, 6.0,  20.0	0.1,  0.18, 0.18,  0.18	pubmed, bm4	Treponema pallidum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000008605	1138011.0	52.78	1009.0	92.47344709321791	2.0	-0.0842534976969347	0.0350896395704454
taxid162	9.486832980505138	0.316227766016838	0.7368152963798779	9.42477796076938	16.5	0.35	1.5762613890152035	18.14269757448105	helical	3.0,  30.0	0.2,  0.5	bm4	Treponema phagedenis	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000513775	3250767.0	39.97	2796.0	83.2306344933365	2.0	-0.0735281147399649	0.0322965761485405
taxid163	10.954451150103326	0.2449489742783178	0.5123686993686074	8.429777677248872	11.0	0.25	0.5358706219013839	8.63937979737193	helical	10.0,  12.0	0.2,  0.3	bm4	Treponema bryantii	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	N2729	3309485.0	39.97	2867.0	92.90818964301717	0.0	-0.423079106311413	0.156667763399907
taxid164	10.246950765959596	0.2898275349237887	0.6696530098270619	9.330054170132566	11.0	0.29	0.7201868156899462	10.02168056495144	helical	7.0,  15.0	0.28,  0.3	bm4	Treponema pectinovorum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N952	2830702.0	48.715	2561.0	91.25057008033882	1.0	-0.1957309160594985	0.0788657794925122
taxid165	15.491933384829666	0.648074069840786	5.039021665938965	31.541339914940316	16.0	0.6499999999999999	5.237394927692407	32.67256359733384	helical	12.0,  20.0	0.6,  0.7	bm4	Treponema saccharophilum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000255555	3453898.0	53.18	2837.0	88.33810378882063	1.0	-0.746690248208591	0.284573822895406
taxid167	5.656854249492379	0.3	0.3927908809636758	5.331459525790038	6.0	0.3	0.4170464247640451	5.654866776461628	helical	4.0,  8.0	0.3,  0.3	bm4	Treponema succinifaciens	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000195275	2897425.0	39.13	2753.0	90.0514077154715	4.0	-0.372307260931355	0.153254817404854
taxid172	8.48528137423857	0.1	0.0663814446845763	2.6657297628950194	9.0	0.1	0.0704240353179712	2.827433388230814	rod	6.0,  12.0	0.1,  0.1	bm4	Leptospira biflexa	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	G000017685	3951448.0	38.89	3693.0	93.30270827301788	2.0	-0.263736289946325	0.126391176024654
taxid173	10.360080256445404	0.1	0.0811008297905773	3.2547152024249537	11.5	0.1	0.0900589894029074	3.612831551628262	rod	8.0,  20.0, 6.0,  12.0	0.1,  0.1, 0.1,  0.1	pubmed, bm4	Leptospira interrogans	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	N1848	4620652.5	35.0	4052.0	76.31694239168212	1.0	-0.1690688213412585	0.0852939393085334
taxid174	8.48528137423857	0.1	0.0663814446845763	2.6657297628950194	9.0	0.1	0.0704240353179712	2.827433388230814	rod	6.0,  12.0	0.1,  0.1	bm4	Leptospira borgpetersenii	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	G000013945	3931782.0	40.23	3612.0	81.96085133916377	2.0	-0.191221406177624	0.0903319036339301
taxid183	16.522711641858308	0.1414213562373095	0.2587976670675301	7.34084736457229	17.0	0.15	0.2995312245657019	8.011061266653973	rod	13.0,  21.0	0.1,  0.2	bm4	Leptonema illini	Leptonema	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	species	N592	4475256.0	54.3	4235.0	91.48700863316289	1.0	-0.1767927255979725	0.08595204009546105
taxid195	0.316227766016838	0.316227766016838	0.0165576471096601	0.3141592653589793	0.35	0.35	0.022449297503777	0.3848451000647496	sphere/rod	0.2,  0.5	0.2,  0.5	pubmed	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	N3456	1762969.0	31.34	1953.0	92.73771722032758	2.0	-0.200226218924013	0.0901821337025599
taxid197	1.118033988749895	1.118033988749895	0.7317515344834091	3.9269908169872414	1.5	1.5	1.7671458676442586	7.0685834705770345	sphere/spiral	0.5,  2.5	0.5,  2.5	pubmed	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	G000509875	1412401.0	30.33	1707.0	92.87610246665076	0.0	-0.121396776185512	0.0613365209688339
taxid198	1.7320508075688774	0.316227766016838	0.1277561287627363	1.7207211628636434	1.85	0.35	0.1667662100280581	2.034181243199391	rod-shaped	1.2,  2.5	0.2,  0.5	bacdive	Campylobacter hyointestinalis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	G001643955	1753385.0	33.96	1786.0	91.63612098883016	3.0	-0.249894114546312	0.102234871252464
taxid199	4.0	0.7071067811865476	1.4782362655832644	8.885765876316732	4.0	0.75	1.6566992509164924	9.42477796076938	spiral	4.0,  4.0	0.5,  1.0	pubmed	Campylobacter concisus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	G001298465	1840041.0	37.62	1850.0	92.2438684790176	3.0	-0.28807693193091	0.111185060611972
taxid204	3.162277660168379	0.6324555320336759	0.9272282381409692	6.283185307179585	3.5	0.65	1.0895108772496351	7.147123286916779	rod-shaped	2.0,  5.0	0.5,  0.8	bacdive	Campylobacter showae	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	genus	N2178	1751734.0	31.74	1786.0	92.7263059388888	3.0	-0.192023268032954	0.0874896195899703
taxid210	3.5355339059327378	0.7071067811865476	1.2958408569628572	7.853981633974482	3.75	0.75	1.5462526341887264	8.835729338221293	rod-shaped	2.5,  5.0	0.5,  1.0	bacdive	Helicobacter pylori	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	N4165	1647774.0	38.86	1562.0	91.27082503914043	2.0	-0.0778440811683325	0.0333553119531761
taxid287	7.415443344804141	0.6587867636800241	2.4527968357665784	15.347295621083548	7.805	0.6599999999999999	2.5949759522174163	16.183286236437098	rod-shaped	5.37,  10.24	0.62,  0.7	bacdive	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N6276	5045115.0	62.165000000000006	4601.5	89.02287347525258	4.0	-0.665008983716977	0.24596438826705852
taxid294	2.23606797749979	0.5	0.4063259972151518	3.512407365520364	2.25	0.5	0.409061543436171	3.5342917352885173	rod	2.0,  2.5	0.5,  0.5	pubmed	Pseudomonas fluorescens	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N6276	5045115.0	62.165000000000006	4601.5	89.02287347525258	4.0	-0.665008983716977	0.24596438826705852
taxid305	1.5	0.5	0.2617993877991494	2.356194490192345	1.5	0.5	0.2617993877991494	2.356194490192345	rod	1.5,  1.5	0.5,  0.5	pubmed	Ralstonia solanacearum	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000009125	5810922.0	66.98	5062.0	87.48269207537118	4.0	-0.490312215769781	0.1905470490436
taxid316	1.7320508075688774	0.5	0.3073624573190222	2.720699046351327	2.0	0.5	0.3599741582238304	3.141592653589793	rod	1.0,  3.0	0.5,  0.5	pubmed	Pseudomonas stutzeri	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N9190	4547930.0	62.96	4197.0	89.69861659406618	1.0	-0.496717925810027	0.196002284875039
taxid317	1.5	0.916515138991168	0.788049479951691	4.318975841337722	1.5	0.95	0.8387725135849998	4.476769531365456	rod	1.5,  1.5	0.7,  1.2	pubmed	Pseudomonas syringae	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000012245	6093698.0	59.23	5207.0	88.02088649618015	5.0	-0.651949067099002	0.2379523083875
taxid346	1.7320508075688772	0.6123724356957946	0.4500115479020364	3.3321622036187755	1.75	0.625	0.4729774095980726	3.436116964863836	rod	1.5,  2.0	0.5,  0.75	pubmed	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N9166	4965572.0	63.69	4831.0	85.45315894525577	2.0	-0.334073137380726	0.133033504092219
taxid347	1.1832159566199232	0.529150262212918	0.2214140388686074	1.9669481246914031	1.35	0.55	0.2771801018323495	2.332632545290422	rod	0.7,  2.0	0.4,  0.7	pubmed	Xanthomonas oryzae	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000007385	4941439.0	63.69	4831.0	85.11399209825316	2.0	-0.32158054484165	0.124234412027617
taxid384	1.43	0.84	0.6373034857072254	3.773681095492059	1.43	0.84	0.6373034857072254	3.773681095492059	rod	1.43,  1.43	0.84,  0.84	pubmed	Rhizobium leguminosarum	Rhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	N10293	6903379.0	60.12	6617.0	86.57964955703572	3.0	-0.520216832999524	0.175666956956633
taxid436	2.449489742783178	0.1414213562373095	0.0377360144151627	1.0882796185405308	2.5	0.15	0.0432950737572843	1.1780972450961726	rod-shaped	2.0,  3.0	0.1,  0.2	bacdive	Komagataeibacter hansenii	Komagataeibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000164395	3636659.0	59.5	3145.0	86.11219803671447	1.0	-0.302266512402564	0.11003523255565
taxid446	1.55	0.7	0.5067127150852536	3.408628029144926	1.55	0.7	0.5067127150852536	3.408628029144926	ovoid-shaped	1.55,  1.55	0.7,  0.7	bacdive	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N7894	3436178.0	38.27	3077.0	88.58077964663875	1.0	-0.150462901361848	0.0679806068120132
taxid485	0.7745966692414834	0.7745966692414834	0.2433467205584167	1.884955592153876	0.8	0.8	0.268082573106329	2.010619298297468	sphere	0.6,  1.0	0.6,  1.0	pubmed	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000006845	2153922.0	52.69	2142.0	83.31778030959339	4.0	-0.723964887189424	0.292990111477442
taxid487	0.9486832980505138	0.9486832980505138	0.4470564719608244	2.827433388230814	1.05	1.05	0.6061310326019806	3.463605900582747	sphere	0.6,  1.5	0.6,  1.5	pubmed	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000008805	2272360.0	51.53	2107.0	82.05931278494604	4.0	-0.620942481440344	0.25755456338458
taxid520	0.8	0.4	0.0837758040957278	1.005309649148734	0.8	0.4	0.0837758040957278	1.005309649148734	rod	0.8,  0.8	0.4,  0.4	pubmed	Bordetella pertussis	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000195715	4086189.0	67.72	3888.0	90.43869483276472	3.0	-0.499264517082545	0.219746651096051
taxid521	1.414213562373095	0.447213595499958	0.1987280978044492	1.9869176531592203	1.5	0.45	0.2147082229187774	2.1205750411731104	rod-shaped	1.0,  2.0	0.4,  0.5	bacdive	Bordetella avium	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N7451	4692555.5	67.39	4354.0	90.56208414210602	3.0	-0.5204682677370596	0.225831540711806
taxid536	1.75	0.4	0.2031563249321398	2.199114857512855	1.75	0.4	0.2031563249321399	2.199114857512855	rod-shaped	1.75,  1.75	0.4,  0.4	bacdive	Chromobacterium violaceum	Chromobacterium	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000007705	4751080.0	64.83	4298.0	88.58223814374837	8.0	-0.957418415870608	0.338231218840828
taxid550	7.372923436466706	0.6	2.028096321548927	13.897633262090288	9.35	0.6	2.587101550231195	17.624334786638737	rod	3.6,  15.1	0.6,  0.6	pubmed	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000025565	5598796.0	54.58	5457.0	88.99650924948864	8.0	-0.882708817610514	0.296328880418295
taxid562	2.85	0.65	0.8738209066266112	5.819800390775091	2.85	0.65	0.8738209066266112	5.819800390775092	rod-shaped	2.85,  2.85	0.65,  0.65	bacdive	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N10459	5013473.5	50.65	5012.0	87.77891223114793	7.0	-0.8114051628013614	0.2812897228028095
taxid573	2.0	0.5	0.3599741582238304	3.141592653589793	2.0	0.5	0.3599741582238304	3.141592653589793	rod	2.0,  2.0	0.5,  0.5	pubmed	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000240185	5682322.0	57.12	5455.0	87.70896827036553	8.0	-1.1297743960514	0.348256244380596
taxid615	1.3416407864998738	0.6324555320336759	0.3552582954238029	2.66572976289502	1.45	0.65	0.4092578929770203	2.96095107600838	rod	0.9,  2.0	0.5,  0.8	pubmed	Serratia marcescens	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000513215	5113802.0	59.51	4680.0	87.64093721266487	7.0	-1.19416214956093	0.379950529561968
taxid666	3.07408522978788	0.3794733192202055	0.3333650415760313	3.664772526228933	3.1	0.38	0.3372101778559188	3.700796145928776	rod	2.7,  3.5	0.36,  0.4	pubmed	Vibrio cholerae	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000006745	4033464.0	47.49	3594.0	86.53316355370967	8.0	-0.965386001004989	0.334471943993829
taxid670	1.833030277982336	0.6324555320336759	0.5096328570730556	3.6420802180984566	1.9	0.65	0.5585817187929603	3.8798669271833934	rod	1.4,  2.4	0.5,  0.8	pubmed	Vibrio parahaemolyticus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N10175	5168910.0	45.245	4799.0	86.56620387759168	5.5	-0.9302470538307965	0.299523010049481
taxid672	3.0000000000000004	0.7	1.0647381101791404	6.5973445725385655	3.0	0.7	1.0647381101791404	6.5973445725385655	rod	3.0,  3.0	0.7,  0.7	pubmed	Vibrio vulnificus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000009745	5260086.0	46.68	4639.0	87.03524999401151	9.0	-1.15377292495158	0.362032342535
taxid727	1.0	0.3	0.0636172512351933	0.942477796076938	1.0	0.3	0.0636172512351933	0.942477796076938	oval	1.0,  1.0	0.3,  0.3	pubmed	Haemophilus influenzae	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N9432	1890764.5	38.144999999999996	1865.0	88.93274340052854	3.5	-0.5429843162693065	0.2220189655683285
taxid747	0.8660254037844387	0.3535533905932738	0.0734518375470248	0.961912372621398	1.0	0.375	0.0966407896367954	1.1780972450961724	oval	0.5,  1.5	0.25,  0.5	pubmed	Pasteurella multocida	Pasteurella	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000754275	2271840.0	40.35	2077.0	88.95481195858864	6.0	-0.583202487045008	0.226172873608925
taxid781	1.095445115010332	0.4	0.1209025322099458	1.376576930290914	1.3	0.4	0.1466076571675237	1.6336281798666925	rod-shaped	0.6,  2.0	0.4,  0.4	bacdive	Rickettsia conorii	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000007025	1268755.0	32.44	1435.0	80.68602685309615	1.0	-0.0673006632026363	0.0322911616901101
